country,Climate change policy,Total electricity consumption,Climate change policy,Total electricity consumption,Climate change policy,Total electricity consumption,c1,c2,u1,u2
Austria,0.4957000017166137,0.5042999982833862,0.9740999937057496,0.025900000706315,0.2680000066757202,0.7319999933242798,67.13339,-59.83556,18.66191,7.444484
Belgium,0.4056000113487243,0.5943999886512756,0.9787999987602234,0.0211999993771314,0.1491000056266784,0.8508999943733215,64.169586,31.120405,17.87306,7.227296
Bulgaria,0.0876000002026557,0.9124000072479248,0.8284000158309937,0.1715999990701675,0.0577000007033348,0.942300021648407,-36.19241,-56.843193,-5.348911,5.8588996
Czechia,0.1797000020742416,0.8202999830245972,0.7818999886512756,0.2180999964475631,0.1040000021457672,0.8960000276565552,-57.49978,-41.4107,-6.57407,5.297627
Cyprus,0.4023999869823456,0.597599983215332,0.7300000190734863,0.270000010728836,0.1406999975442886,0.8593000173568726,-64.59185,30.62781,-6.6794815,4.7841115
Germany,0.32710000872612,0.6729000210762024,0.9531999826431274,0.046799998730421,0.1633999943733215,0.8366000056266785,46.757336,10.1596775,16.093992,7.653355
Denmark,0.436599999666214,0.5633999705314636,0.7932999730110168,0.2066999971866607,0.1068999990820884,0.8931000232696533,-45.26937,42.515587,-5.8690786,5.5167723
Estonia,0.3167000114917755,0.6833000183105469,0.8410999774932861,0.1588999927043914,0.1339000016450882,0.866100013256073,-8.730282,34.68818,-4.2702856,6.6744494
Croatia,0.2542999982833862,0.7457000017166138,0.9211000204086304,0.0789000019431114,0.1905000060796737,0.809499979019165,66.0248,-5.87447,18.250727,7.5291386
Finland,0.1850000023841858,0.8149999976158142,0.7279999852180481,0.2720000147819519,0.1128000020980835,0.8871999979019165,-60.248222,-20.521458,-6.338567,5.0391703
France,0.2046999931335449,0.7953000068664551,0.8453999757766724,0.1545999944210052,0.3418999910354614,0.6581000089645386,92.272964,-14.0773535,18.520664,6.861685
Malta,0.2984000146389007,0.7016000151634216,0.6805999875068665,0.3194000124931335,0.1039000004529953,0.8960999846458435,-79.33234,3.9334192,-6.1016,4.73712
Luxembourg,0.2400999963283538,0.7598999738693237,0.967199981212616,0.0328000001609325,0.2046999931335449,0.7953000068664551,51.13764,-19.11413,16.570454,8.039997
Lithuania,0.2626999914646148,0.7372999787330627,0.8773999810218811,0.1225999966263771,0.0531000010669231,0.9469000101089478,-3.4417691,-10.945591,-3.7457867,6.524943
Italy,0.3125999867916107,0.6873999834060669,0.9151999950408936,0.0847999975085258,0.124499998986721,0.8755000233650208,23.713657,3.3620217,-2.8435223,6.94754
Ireland,0.3858999907970428,0.6140999794006348,0.9646999835968018,0.035300001502037,0.1094999983906745,0.890500009059906,42.28999,36.36225,15.962362,8.0567465
Hungary,0.333400011062622,0.6665999889373779,0.852400004863739,0.147599995136261,0.070200003683567,0.9297999739646912,-7.206349,11.952273,-4.07059,6.9699388
Spain,0.626800000667572,0.373199999332428,0.910700023174286,0.0892999991774559,0.1067000031471252,0.8932999968528748,48.53057,-93.173485,16.53496,7.728028
Netherlands,0.7605999708175659,0.2393999993801117,0.90829998254776,0.0917000025510788,0.0991000011563301,0.9009000062942504,60.948093,-111.28652,17.580486,7.5243077
Poland,0.3373000025749206,0.6626999974250793,0.9239000082015992,0.0760999992489814,0.0692000016570091,0.9308000206947328,17.416082,25.597029,-3.102331,6.6887197
Portugal,0.5740000009536743,0.4259999990463257,0.9670000076293944,0.032999999821186,0.1729999929666519,0.8270000219345093,68.283356,-82.592224,18.694275,7.061781
Romania,0.1588999927043914,0.8410999774932861,0.8737999796867371,0.1262000054121017,0.0847000032663345,0.9153000116348268,-24.582117,-35.57138,-4.7799315,6.435085
Sweden,0.1770000010728836,0.8230000138282776,0.9513000249862672,0.048700001090765,0.0681999996304512,0.9318000078201294,11.813692,64.670364,-3.4095266,7.0709553
Slovenia,0.3691999912261963,0.6308000087738037,0.8507999777793884,0.1492000073194503,0.0988000035285949,0.901199996471405,-27.041739,22.197767,-4.8459587,6.0534906
Slovakia,0.2400999963283538,0.7598999738693237,0.7071999907493591,0.2928000092506408,0.1114000007510185,0.8885999917984009,-82.40387,-19.36279,-6.291926,4.5539837
