,word,topic_id,importance,word_count
30,consumption,1,0.013337191,3648
31,increase,1,0.012717724,4715
32,electricity,1,0.011395201,4722
33,target,1,0.011188609,3783
34,share,1,0.010559052,2624
35,total,1,0.010181203,2343
36,transport,1,0.009225476,4437
37,res,1,0.008489742,2761
0,use,0,0.008450655,5040
38,use,1,0.0084241275,5040
39,source,1,0.0083870245,2816
1,support,0,0.00820689,3325
2,plan,0,0.0076027885,3672
3,system,0,0.0069218683,3100
40,heat,1,0.006833456,2296
4,development,0,0.006774484,3579
5,climate,0,0.0067590675,3125
41,national,1,0.0065777698,3516
6,transport,0,0.0064794864,4437
42,period,1,0.0062264754,1891
43,waste,1,0.006198361,2457
44,year,1,0.0061667687,2120
7,electricity,0,0.0060583325,4722
8,new,0,0.006035283,2680
45,gas,1,0.0057993773,2392
46,production,1,0.0057339706,2792
47,scenario,1,0.0056566354,1245
48,figure,1,0.0055912645,1187
9,national,0,0.0055239806,3516
10,include,0,0.0054822173,3147
11,increase,0,0.0053383545,4715
49,final,1,0.0052348888,1159
50,ghg,1,0.0051945453,1328
51,table,1,0.0051791146,1119
12,promote,0,0.0051631564,2087
13,policy,0,0.0050564115,2647
52,biomass,1,0.0050374526,1805
53,project,1,0.004983671,2506
54,ghg emission,1,0.0049355323,1191
55,expect,1,0.004908041,1557
56,heating,1,0.004905876,1807
57,include,1,0.0048744534,3147
58,projection,1,0.0047717094,993
59,eu,1,0.0047165044,2018
14,reduce,0,0.0047147195,2187
15,area,0,0.0044652233,2109
16,production,0,0.0041159187,2792
17,vehicle,0,0.004039362,1736
18,project,0,0.0037810383,2506
19,develop,0,0.0037709828,1579
20,target,0,0.0037608724,3783
21,fuel,0,0.0036507887,2360
22,provide,0,0.0034950667,1613
23,public,0,0.003411785,1408
24,building,0,0.0032657688,1506
25,implementation,0,0.0032023124,1460
26,infrastructure,0,0.0031402288,1259
27,level,0,0.0031185031,1822
28,implement,0,0.0030788854,1380
29,change,0,0.0030756535,2014
