country,Public support system,Primary energy sources,National saving target,Public support system,Primary energy sources,National saving target,Public support system,Primary energy sources,National saving target,c1,c2,u1,u2
Austria,0.1727000027894973,0.4530999958515167,0.3741999864578247,0.5910000205039978,0.1591999977827072,0.2497999966144561,0.154799997806549,0.6452999711036682,0.1997999995946884,-5.967664,-5.789406,-1.9427019,5.895584
Belgium,0.3305999934673309,0.4447999894618988,0.2247000038623809,0.9524999856948853,0.034400001168251,0.0131000000983476,0.1458999961614608,0.7770000100135803,0.0771000012755394,-0.58446515,-7.1926904,-0.15917547,13.636964
Bulgaria,0.1746000051498413,0.2976999878883362,0.5277000069618225,0.3282000124454498,0.0373000018298625,0.6344000101089478,0.1331000030040741,0.6342999935150146,0.2326000034809112,-9.715673,-9.660909,-4.0870304,4.361596
Czechia,0.1889999955892563,0.4684000015258789,0.3425999879837036,0.5120999813079834,0.0727000012993812,0.4151999950408935,0.1111000031232833,0.7620999813079834,0.126800000667572,-7.862719,-9.022554,-2.9576347,4.4253263
Cyprus,0.2382999956607818,0.4192999899387359,0.3424000144004822,0.7121999859809875,0.0671000033617019,0.2205999940633773,0.1425999999046325,0.7010999917984009,0.1562999933958053,-3.4068692,-5.2503505,-1.9651997,13.676831
Germany,0.2303999960422516,0.3903999924659729,0.3792000114917755,0.7919999957084656,0.0882999971508979,0.1196999996900558,0.1894000023603439,0.578000009059906,0.2326000034809112,-4.5169344,-3.3635907,-2.2852292,12.622573
Denmark,0.2117999941110611,0.4223000109195709,0.3659000098705292,0.6863999962806702,0.091899998486042,0.2216999977827072,0.1468999981880188,0.6328999996185303,0.2202000021934509,-4.7212286,-5.1921496,-2.7812681,12.934795
Estonia,0.1469999998807907,0.5375999808311462,0.3152999877929687,0.5062000155448914,0.1067000031471252,0.3871000111103058,0.1738000065088272,0.5864999890327454,0.2397000044584274,-8.384684,-6.943528,-3.6028912,4.6467566
Croatia,0.1985999941825866,0.3145999908447265,0.4867999851703644,0.6916999816894531,0.0307999998331069,0.2775000035762787,0.1728000044822693,0.5619000196456909,0.2653000056743622,-4.833975,-6.5764103,-2.6785111,12.289726
Finland,0.1800000071525573,0.4253999888896942,0.3946000039577484,0.5688999891281128,0.124899998307228,0.3061999976634979,0.2208999991416931,0.4806999862194061,0.2984000146389007,-7.32146,-6.2802577,-3.1399963,5.562689
France,0.1916999965906143,0.5570999979972839,0.2511999905109405,0.6779000163078308,0.1715999990701675,0.1504999995231628,0.0769999995827674,0.8403000235557556,0.0826999992132186,-0.48020065,-5.4777446,-0.2788406,13.329102
Malta,0.1924999952316284,0.5626999735832214,0.2449000030755996,0.5849999785423279,0.1699000000953674,0.2451000064611435,0.1900999993085861,0.5511999726295471,0.2587000131607055,-7.7235236,-4.847084,-3.1991649,5.020517
Luxembourg,0.2010000050067901,0.4650999903678894,0.3339000046253204,0.6876000165939331,0.1127000004053115,0.1996999979019165,0.1031000018119812,0.762499988079071,0.1343999952077865,-2.1668432,-5.44608,-0.8028656,14.404614
Lithuania,0.2669000029563904,0.303299993276596,0.4298999905586242,0.3075999915599823,0.069700002670288,0.6226999759674072,0.191100001335144,0.3486000001430511,0.4602000117301941,-10.46181,-8.725107,-4.152846,4.045408
Latvia,0.2319999933242797,0.3596999943256378,0.4081999957561493,0.5335000157356262,0.1101000010967254,0.3564000129699707,0.1172999963164329,0.6237000226974487,0.2590000033378601,-6.8548727,-7.82673,-2.4691615,5.367182
Italy,0.2090000063180923,0.6233999729156494,0.167600005865097,0.7767999768257141,0.1028999984264373,0.1203000023961067,0.0866999998688697,0.8195000290870667,0.0938000008463859,-0.05902163,-5.985215,0.122688375,13.528791
Ireland,0.3034000098705292,0.355100005865097,0.3415000140666961,0.7005000114440918,0.0856000036001205,0.2140000015497207,0.1550000011920929,0.6146000027656555,0.2303999960422516,-4.7984905,-4.3925104,-2.528232,12.720391
Hungary,0.2335000038146972,0.3291000127792358,0.4374000132083893,0.5091999769210815,0.1177999973297119,0.3731000125408172,0.1159000024199485,0.7303000092506409,0.1537999957799911,-6.9138393,-8.902161,-2.55006,5.648727
Spain,0.2312999963760376,0.3321000039577484,0.436599999666214,0.8421000242233276,0.0690999999642372,0.0888999998569488,0.0860000029206276,0.7720999717712402,0.1418000012636184,-1.8129838,-3.1257935,-0.73029846,13.884019
Netherlands,0.2091999948024749,0.3783000111579895,0.4124999940395355,0.6820999979972839,0.1262000054121017,0.1916999965906143,0.1158000007271766,0.7293000221252441,0.1548999994993209,-2.7197037,-4.5340586,-1.336196,14.131177
Poland,0.1997999995946884,0.3865000009536743,0.4138000011444092,0.3456000089645386,0.0671999976038932,0.5871999859809875,0.0864000022411346,0.7853999733924866,0.1281999945640564,-8.84797,-10.027199,-3.6739042,4.1387134
Portugal,0.2212000042200088,0.3474999964237213,0.431300014257431,0.725600004196167,0.099600002169609,0.1747999936342239,0.0966000035405159,0.8093000054359436,0.0940999984741211,-1.8097898,-4.0188966,-0.42144367,14.188714
Romania,0.1928000003099441,0.4514000117778778,0.3558000028133392,0.4859000146389007,0.1059999987483024,0.4081000089645386,0.1618999987840652,0.645799994468689,0.1923999935388565,-7.9888883,-8.008576,-3.3161108,4.493661
Sweden,0.1844999939203262,0.5583999752998352,0.257099986076355,0.7026000022888184,0.1513999998569488,0.1459999978542328,0.1776999980211258,0.5949000120162964,0.2275000065565109,-7.010295,-4.121209,-2.810302,5.8296614
