country,NO&T Energy production and consumption,NO&T National Oil Plan,NO&T Renewable energy infrastructure,"NO&T Market, capacity, network",NO&T Gas market regulation,P&M Energy production and consumption,P&M National Oil Plan,P&M Renewable energy infrastructure,"P&M Market, capacity, network",P&M Gas market regulation,CS&RP Energy production and consumption,CS&RP National Oil Plan,CS&RP Renewable energy infrastructure,"CS&RP Market, capacity, network",CS&RP Gas market regulation,c1,c2,u1,u2
Austria,0.210899993777275,0.1977999955415725,0.1943999975919723,0.2242999970912933,0.1724999994039535,0.1677999943494796,0.2030999958515167,0.2083999961614608,0.2275999933481216,0.1930000036954879,0.4417999982833862,0.1401000022888183,0.1498000025749206,0.1324999928474426,0.1358000040054321,2.9991357,27.66131,4.8082604,1.8450885
Belgium,0.153899997472763,0.2012999951839447,0.2232999950647354,0.2370000034570694,0.1844999939203262,0.1152999997138977,0.232800006866455,0.1858000010251999,0.2531000077724457,0.2129999995231628,0.4688000082969665,0.1269000023603439,0.1492000073194503,0.1335999965667724,0.1213999986648559,8.259021,20.104902,3.8066394,1.8040738
Bulgaria,0.2326000034809112,0.2113000005483627,0.1962999999523162,0.1880999952554702,0.1717000007629394,0.0746999979019165,0.4544000029563904,0.148499995470047,0.2044000029563903,0.1181000024080276,0.6751999855041504,0.0863000005483627,0.0857999995350837,0.0776999965310096,0.0750000029802322,27.51925,23.868956,1.8287495,0.45545408
Czechia,0.2264000028371811,0.1409000009298324,0.1765999943017959,0.1624000072479248,0.2937000095844269,0.048700001090765,0.0502000004053115,0.0549000017344951,0.0557999983429908,0.7904999852180481,0.4088000059127807,0.0791999995708465,0.215499997138977,0.1084000021219253,0.1880999952554702,-28.387135,-41.337635,6.684407,7.5848246
Cyprus,0.1720999926328659,0.277999997138977,0.2048999965190887,0.1754000037908554,0.1695999950170517,0.1366000026464462,0.3226000070571899,0.1808000057935714,0.1694999933242797,0.1905000060796737,0.2858000099658966,0.186499997973442,0.190200001001358,0.1697999984025955,0.1677999943494796,-8.670495,0.69363034,5.6300387,5.150713
Germany,0.127700001001358,0.1551000028848648,0.135000005364418,0.1580000072717666,0.4242999851703644,0.0399999991059303,0.0579000003635883,0.0538999997079372,0.0662000030279159,0.7820000052452087,0.493800014257431,0.1090999990701675,0.1404000073671341,0.1298000067472458,0.1269000023603439,-32.05519,-34.476757,6.345215,7.7980113
Denmark,0.2079000025987625,0.337799996137619,0.1781000047922134,0.1464000046253204,0.1298999935388565,0.1508000046014785,0.3370999991893768,0.1745000034570694,0.1757999956607818,0.1617999970912933,0.3930999934673309,0.1507000029087066,0.1624000072479248,0.1532000005245208,0.1405999958515167,-13.375163,9.061345,6.023939,6.3294706
Estonia,0.1665000021457672,0.196600005030632,0.1852000057697296,0.1808999925851822,0.270900011062622,0.099600002169609,0.3635999858379364,0.1121999993920326,0.1818999946117401,0.2425999939441681,0.328900009393692,0.1794999986886978,0.1715999990701675,0.1615999937057495,0.158500000834465,-6.851355,-11.044241,5.7347536,4.8024445
Croatia,0.1211000010371208,0.1890999972820282,0.1706999987363815,0.1450999975204467,0.374099999666214,0.1638000011444091,0.2406000047922134,0.1940000057220459,0.1888999938964843,0.2126999944448471,0.3111999928951263,0.1436000019311905,0.1849000006914138,0.1571000069379806,0.2031999975442886,-6.210574,-23.513992,5.3774323,4.620912
Finland,0.2229000031948089,0.1993999928236007,0.1972000002861023,0.2101999968290329,0.1703999936580658,0.1193000003695488,0.255400002002716,0.12950000166893,0.1747999936342239,0.3210000097751617,0.4483999907970428,0.1252000033855438,0.183799996972084,0.1348000019788742,0.1077999994158744,4.573262,8.656527,4.2489905,1.7296519
France,0.1921000033617019,0.1924999952316284,0.2088000029325485,0.1949999928474426,0.2116000056266784,0.1513999998569488,0.1733999997377395,0.2793000042438507,0.1956000030040741,0.2002999931573867,0.0701000019907951,0.0340000018477439,0.7804999947547913,0.0741000026464462,0.0412999987602233,16.272135,-24.83855,2.0675006,1.1080003
Malta,0.1677999943494796,0.2876000106334686,0.2072000056505203,0.1976999938488006,0.1396999955177307,0.0425000004470348,0.7458000183105469,0.0551999993622303,0.062899999320507,0.0935999974608421,0.3339000046253204,0.2031999975442886,0.1943999975919723,0.1456000059843063,0.1229000017046928,-32.694683,-0.7937106,6.3881054,7.4611363
Luxembourg,0.1932999938726425,0.2195000052452087,0.186599999666214,0.2010000050067901,0.1995999962091446,0.1189000010490417,0.2761000096797943,0.1561000049114227,0.1791000068187713,0.2696999907493591,0.3316999971866607,0.1318999975919723,0.1903000026941299,0.1668999940156936,0.1791000068187713,0.72277,-3.7138126,4.7022443,2.5950944
Lithuania,0.1545999944210052,0.13680000603199,0.2065999954938888,0.1482000052928924,0.3537999987602234,0.1116999983787536,0.2795000076293945,0.1596000045537948,0.122699998319149,0.3265999853610992,0.3192000091075897,0.1340000033378601,0.2635000050067901,0.1330000013113021,0.150299996137619,3.663062,-20.834766,4.5065846,2.0245945
Latvia,0.2745999991893768,0.1723999977111816,0.1872999966144561,0.1937000006437301,0.1720000058412552,0.1451999992132187,0.2261999994516372,0.1958000063896179,0.2436999976634979,0.1890999972820282,0.4555000066757202,0.123999997973442,0.1342999935150146,0.124899998307228,0.161200001835823,-3.4504313,20.654905,5.3239274,4.052351
Italy,0.0650999993085861,0.1412999927997589,0.5730000138282776,0.1263000071048736,0.0944000035524368,0.0813999995589256,0.3526000082492828,0.2064999938011169,0.1622000038623809,0.1973000019788742,0.3986999988555908,0.1503999978303909,0.1675000041723251,0.1442999988794326,0.1392000019550323,32.675648,-5.5971456,2.1384175,0.3578721
Ireland,0.1195999979972839,0.4268999993801117,0.1457999944686889,0.1583999991416931,0.1492999941110611,0.0947000011801719,0.4769000113010406,0.127700001001358,0.1466999948024749,0.1539999991655349,0.5425000190734863,0.1111999973654747,0.1278000026941299,0.1152999997138977,0.1032000035047531,34.895607,12.556496,1.7140826,0.1945852
Hungary,0.124899998307228,0.0812999978661537,0.0989999994635582,0.6050999760627747,0.0896999984979629,0.031700000166893,0.0351000018417835,0.0348999984562397,0.8507000207901001,0.047699999064207,0.60589998960495,0.0676999986171722,0.0869999974966049,0.1691000014543533,0.0703999996185302,16.873537,40.291187,1.8293194,1.3993175
Spain,0.2529999911785126,0.2083999961614608,0.2043000012636184,0.1783999949693679,0.1559000015258789,0.0694999992847442,0.4212000072002411,0.124499998986721,0.1648000031709671,0.2199999988079071,0.3490999937057495,0.2092999964952469,0.1583999991416931,0.1465000063180923,0.13680000603199,-17.872206,-5.05634,6.304085,6.810476
Netherlands,0.2301999926567077,0.1579000055789947,0.2651000022888183,0.1972000002861023,0.1497000008821487,0.179199993610382,0.2046999931335449,0.2270999997854232,0.182899996638298,0.2061000019311905,0.4878999888896942,0.0910999998450279,0.193800002336502,0.1252000033855438,0.1019999980926513,-6.530007,31.333483,5.764563,4.464062
Poland,0.1965000033378601,0.1186000034213066,0.3962000012397766,0.1483000069856643,0.1404000073671341,0.0474000014364719,0.0764999985694885,0.6251999735832214,0.1027999967336654,0.1480000019073486,0.7712000012397766,0.0454000011086463,0.0825000032782554,0.0555999986827373,0.0452000014483928,-16.382767,44.269558,5.818605,6.772527
Portugal,0.186599999666214,0.2178000062704086,0.2563999891281128,0.1921000033617019,0.1471000015735626,0.0727000012993812,0.4314999878406524,0.1247999966144561,0.218199998140335,0.1527999937534332,0.4979000091552734,0.1430999934673309,0.137700006365776,0.1105000004172325,0.1107999980449676,22.243938,14.105674,1.6544136,0.87699825
Romania,0.1738999933004379,0.2084999978542328,0.2639999985694885,0.2004999965429306,0.1530999988317489,0.0749000012874603,0.2863999903202057,0.3925999999046325,0.138600006699562,0.1075000017881393,0.3952000141143799,0.165800005197525,0.167600005865097,0.1374000012874603,0.1340000033378601,-19.500637,26.424599,6.0471425,7.124943
Sweden,0.1127000004053115,0.2926999926567077,0.1844000071287155,0.163000002503395,0.2472999989986419,0.0852999985218048,0.3499000072479248,0.1275999993085861,0.1467999964952469,0.2903999984264374,0.4984000027179718,0.1080000028014183,0.1720000058412552,0.1167000010609626,0.1049999967217445,15.008605,2.3224034,2.4365132,1.3799974
Slovenia,0.2786999940872192,0.1590999960899353,0.1772000044584274,0.2289000004529953,0.1561000049114227,0.190200001001358,0.2108000069856643,0.1967999935150146,0.1991000026464462,0.2030999958515167,0.6470999717712402,0.0740000009536743,0.0892999991774559,0.093699999153614,0.0958999991416931,1.3863763,41.39147,5.006349,2.164431
Slovakia,0.0540999993681907,0.0850000008940696,0.1106999963521957,0.0980999991297721,0.6521000266075134,0.1112999990582466,0.2538000047206878,0.1563999950885772,0.2176000028848648,0.2610000073909759,0.3012000024318695,0.1368999928236007,0.2448000013828277,0.1486999988555908,0.1684000045061111,-2.1275847,-35.427143,5.161686,3.5068293
