country,National energy policy,renewable energy consumption,Fuel consumption table,Investment in biomass,Electricity investment emissions,Wam scenario policy,Climate change effects,c1,c2,u1,u2
Austria,0.1773000061511993,0.1053000018000602,0.0935000032186508,0.1124999970197677,0.0961999967694282,0.155699998140335,0.2594999969005584,10.555778,0.14415781,15.871391,-1.5828334
Belgium,0.0746000036597251,0.5297999978065491,0.0531000010669231,0.1713999956846237,0.0529999993741512,0.0579999983310699,0.0601000003516674,-42.688786,8.113586,12.577605,-0.25903785
Bulgaria,0.0555999986827373,0.0443000011146068,0.0861999988555908,0.6281999945640564,0.0631999969482421,0.0833000019192695,0.0392000004649162,-29.373207,-25.887033,14.204619,0.21040416
Czechia,0.7261000275611877,0.0379000008106231,0.048200000077486,0.0615999996662139,0.0401999987661838,0.0397000014781951,0.0463000014424324,12.966198,-24.193296,16.756908,-0.98273087
Cyprus,0.0282000005245208,0.0260000005364418,0.0414999984204769,0.0274000000208616,0.8113999962806702,0.0307999998331069,0.0346999987959861,-1.9655983,-50.692196,15.044407,0.39024165
Germany,0.0781999975442886,0.0564999990165233,0.1308999955654144,0.1088000014424324,0.066600002348423,0.0650999993085861,0.4939000010490417,39.32145,-12.383204,17.718012,-1.9716804
Denmark,0.1881999969482422,0.0971999987959861,0.1064999997615814,0.1360000073909759,0.1158000007271766,0.1758999973535537,0.1803999990224838,1.3971097,6.244644,14.996291,-1.7511925
Estonia,0.0913000032305717,0.0929000005125999,0.0903000012040138,0.3828999996185303,0.1689999997615814,0.0659999996423721,0.1076000034809112,-20.723284,-15.100861,14.088382,-0.23165843
Croatia,0.1896000057458877,0.1243999972939491,0.1070000007748603,0.097300000488758,0.1266999989748001,0.1598999947309494,0.1949999928474426,3.3585808,-6.482378,15.532399,-1.1229556
Finland,0.0934000015258789,0.0851999968290329,0.1446000039577484,0.1160999983549118,0.1177000030875206,0.3048999905586242,0.1380999982357025,-7.905529,17.25147,13.983257,-1.884022
France,0.089599996805191,0.1588000059127807,0.0786999985575676,0.230100005865097,0.099200002849102,0.2360000014305114,0.1076000034809112,-13.845093,7.77116,13.902852,-1.2831645
Malta,0.0438000001013278,0.0975999981164932,0.0684999972581863,0.0412000007927417,0.6646000146865845,0.0502000004053115,0.0340000018477439,-7.671027,-45.349564,14.5876465,0.5544231
Luxembourg,0.0522999987006187,0.123999997973442,0.0780000016093254,0.0434000007808208,0.0852999985218048,0.0626000016927719,0.5544000267982483,37.426247,-24.6372,18.130953,-1.5598078
Lithuania,0.063799999654293,0.2596000134944916,0.1863999962806701,0.1730999946594238,0.1779000014066696,0.0586999990046024,0.0806000009179115,-23.510138,0.5928041,13.619866,-0.67454004
Latvia,0.0575999990105629,0.589900016784668,0.0957999974489212,0.0566000007092952,0.0790999978780746,0.0544000007212162,0.0666999965906143,-43.392857,18.446259,12.574154,-0.6563119
Italy,0.6449000239372253,0.0511999987065792,0.0878999978303909,0.0425999984145164,0.0694999992847442,0.0480999983847141,0.0557999983429908,29.033833,5.934685,16.515558,-2.1128027
Ireland,0.0264999996870756,0.0337999984622001,0.0355000011622905,0.033900000154972,0.0449000000953674,0.7975000143051147,0.0280000008642673,-13.924819,30.389542,13.621851,-2.081163
Hungary,0.0582000017166137,0.60589998960495,0.0793000012636184,0.046399999409914,0.0579999983310699,0.1064999997615814,0.0458000004291534,-51.710747,13.343211,12.290367,-0.35712388
Greece,0.2217999994754791,0.0820000022649765,0.0939000025391578,0.2890999913215637,0.119499996304512,0.0755999982357025,0.1180000007152557,-10.136414,-13.400852,14.607485,-0.38845372
Spain,0.2594999969005584,0.1474000066518783,0.1128000020980835,0.092299997806549,0.1288000047206878,0.0725999996066093,0.186599999666214,-5.0239496,-2.2106764,14.851909,-1.0615295
Netherlands,0.0509999990463256,0.0507999993860721,0.0604999996721744,0.0549000017344951,0.0753000006079673,0.0621999986469745,0.6453999876976013,47.562157,-20.731379,17.927883,-1.8853123
Poland,0.018300000578165,0.018300000578165,0.8863000273704529,0.0179999992251396,0.02449999935925,0.0151000004261732,0.0195000004023313,7.8957257,34.62947,13.868023,-2.4938946
Portugal,0.0388999991118907,0.0357999987900257,0.0357000008225441,0.7781999707221985,0.0399999991059303,0.0370000004768371,0.034400001168251,-38.349636,-25.356142,13.794595,0.36469018
Romania,0.397599995136261,0.0755999982357025,0.0671000033617019,0.2266999930143356,0.0604999996721744,0.1181999966502189,0.0542999990284442,16.984964,12.776688,15.737701,-2.185439
Sweden,0.0878999978303909,0.0758000016212463,0.096400000154972,0.2097000032663345,0.1067000031471252,0.1133999973535537,0.3102000057697296,17.403944,-9.05979,16.672144,-1.447258
Slovenia,0.1111000031232833,0.1111999973654747,0.1263000071048736,0.0872000008821487,0.0799999982118606,0.0606999993324279,0.4235000014305115,29.075644,-15.586359,17.521093,-1.5064591
Slovakia,0.1454000025987625,0.0658000037074089,0.208199992775917,0.0957999974489212,0.0877000018954277,0.2912000119686126,0.1059999987483024,1.44397,21.108135,14.21984,-2.3189573
