country,"energy poverty, energy efficiency, new developments",Gas Transmission Capacity,Natural gas prices,"Grid, consumption, development",EU energy poverty,Renewable energy development,National Grid Interconnector,Natural gas production,"energy poverty, energy efficiency, new developments",Gas Transmission Capacity,Natural gas prices,"Grid, consumption, development",EU energy poverty,Renewable energy development,National Grid Interconnector,Natural gas production,"energy poverty, energy efficiency, new developments",Gas Transmission Capacity,Natural gas prices,"Grid, consumption, development",EU energy poverty,Renewable energy development,National Grid Interconnector,Natural gas production,c1,c2,u1,u2
Austria,0.1312000006437301,0.0934000015258789,0.1229000017046928,0.1097000017762184,0.1379999965429306,0.1172999963164329,0.189300000667572,0.0982000008225441,0.2413000017404556,0.0675999969244003,0.0715999975800514,0.1615000069141388,0.1477999985218048,0.1366000026464462,0.0953999981284141,0.0781999975442886,0.1098999977111816,0.1357000023126602,0.1344999969005584,0.1152999997138977,0.1128999963402748,0.1154000014066696,0.138600006699562,0.1377999931573867,-8.526688,8.466508,-5.2160316,6.771105
Belgium,0.275299996137619,0.048700001090765,0.0869000032544136,0.1177000030875206,0.151199996471405,0.1340000033378601,0.1213999986648559,0.0648000016808509,0.5856999754905701,0.0372000001370906,0.0416000001132488,0.1356000006198883,0.0480000004172325,0.0597000010311603,0.0443000011146068,0.0478000007569789,0.0908999964594841,0.1089999973773956,0.1172000020742416,0.1330000013113021,0.0763000026345253,0.0860999971628189,0.2396000027656555,0.1480000019073486,-25.30697,34.94909,-6.58781,7.1961813
Bulgaria,0.101400002837181,0.2856000065803528,0.0671999976038932,0.0636999979615211,0.179199993610382,0.0762000009417533,0.1298999935388565,0.0967999994754791,0.5432999730110168,0.091399997472763,0.0494999997317791,0.0617000013589859,0.0745000019669532,0.0604999996721744,0.0575999990105629,0.0612999983131885,0.0502000004053115,0.5533000230789185,0.0659999996423721,0.0667999982833862,0.0441999994218349,0.0531999990344047,0.0654999986290931,0.1008000001311302,-44.54886,-23.018702,-7.736403,6.6929336
Czechia,0.0489999987185001,0.1036999970674514,0.050900001078844,0.0542000010609626,0.5467000007629395,0.0571999996900558,0.0644000023603439,0.0741000026464462,0.0653999969363212,0.0659999996423721,0.0384000018239021,0.049100000411272,0.6395000219345093,0.0551999993622303,0.0403999984264373,0.0461000017821788,0.0366999991238117,0.7225000262260437,0.0258000008761882,0.0461999997496604,0.0516999997198581,0.0364000014960765,0.0294000003486871,0.0513000003993511,33.51362,64.86992,11.876544,9.51789
Cyprus,0.1171000003814697,0.0769999995827674,0.0904000028967857,0.0803999975323677,0.1331000030040741,0.3287999927997589,0.1037999987602233,0.0693999975919723,0.1978999972343444,0.0754000023007392,0.0797000005841255,0.0826999992132186,0.1441999971866607,0.2572000026702881,0.0952000021934509,0.0676999986171722,0.1046999990940094,0.1648000031709671,0.1243000030517578,0.1165999993681907,0.1054000034928321,0.1261000037193298,0.1351999938488006,0.1229000017046928,6.4868155,-20.990105,-2.8628402,7.215357
Germany,0.1468999981880188,0.0645999982953071,0.0710999965667724,0.1275999993085861,0.1415999978780746,0.094200000166893,0.2752000093460083,0.0786999985575676,0.4643999934196472,0.0423999987542629,0.0395999997854232,0.1234000027179718,0.0953999981284141,0.0755999982357025,0.0958999991416931,0.0632999986410141,0.1096000000834465,0.1518999934196472,0.1145000010728836,0.1185000017285347,0.0986000001430511,0.1094999983906745,0.1676999926567077,0.1298000067472458,-15.956142,24.47016,-5.893194,6.8911705
Denmark,0.0760999992489814,0.066500000655651,0.0762000009417533,0.1155000030994415,0.1301999986171722,0.121799997985363,0.3258000016212463,0.0878999978303909,0.1856999993324279,0.0617999993264675,0.1018999963998794,0.098300002515316,0.154799997806549,0.162100002169609,0.1675000041723251,0.0678000003099441,0.0701000019907951,0.1727000027894973,0.1213999986648559,0.0952000021934509,0.0763999968767166,0.0944999977946281,0.1908999979496002,0.1788000017404556,-13.798673,-5.802807,-5.7202697,6.464123
Estonia,0.0768999978899955,0.0593999996781349,0.4189999997615814,0.0763999968767166,0.1199000030755996,0.0912000015377998,0.0935000032186508,0.0636999979615211,0.1464000046253204,0.066500000655651,0.2343000024557113,0.1027999967336654,0.168500006198883,0.13230000436306,0.0804999992251396,0.0687000006437301,0.0443000011146068,0.2694999873638153,0.3702000081539154,0.0615999996662139,0.0443000011146068,0.0557999983429908,0.0627000033855438,0.0916000008583068,40.708138,4.9823184,12.530902,9.269221
Croatia,0.1031000018119812,0.1158000007271766,0.096400000154972,0.0944000035524368,0.2003999948501587,0.1340000033378601,0.1308999955654144,0.125,0.2558000087738037,0.0750999972224235,0.0841000005602836,0.0817999988794326,0.1439999938011169,0.1677999943494796,0.0984999984502792,0.0930000022053718,0.0535000003874301,0.220100000500679,0.0692000016570091,0.0728999972343444,0.0570000000298023,0.0617000013589859,0.0824000015854835,0.3831000030040741,-40.15505,0.28858307,-7.442949,7.227366
Finland,0.0803000032901763,0.0722000002861023,0.2754000127315521,0.0767000019550323,0.151199996471405,0.0982000008225441,0.163000002503395,0.0829999968409538,0.1534000039100647,0.0803999975323677,0.1665000021457672,0.0878999978303909,0.185599997639656,0.1300999969244003,0.1190000027418136,0.0771000012755394,0.0741000026464462,0.1573999971151352,0.2073000073432922,0.0996999964118003,0.0763999968767166,0.0863000005483627,0.1367000043392181,0.1622000038623809,23.357273,4.507263,11.428121,8.381191
