country,Climate change in Slovenia,energy efficiency measures,Renewable electricity supply,Energy Efficiency Standards,energy efficiency measures,Renewable energy production,EU Electricity Market,Climate policy measures,Climate policy agreement,Czech emissions policy,c1,c2,u1,u2
Austria,0.0285999998450279,0.031199999153614,0.0328000001609325,0.0297999996691942,0.7465999722480774,0.0264999996870756,0.0315000005066394,0.0200999993830919,0.0256999991834163,0.0272000003606081,-16.301603,-14.679661,6.6585784,2.6662629
Belgium,0.0531999990344047,0.0579999983310699,0.1254999935626983,0.0375999994575977,0.0447000004351139,0.0480000004172325,0.0383000001311302,0.0403999984264373,0.5069000124931335,0.0476000010967254,41.1625,6.1451745,9.162247,5.977891
Bulgaria,0.0417000018060207,0.0644999966025352,0.046399999409914,0.3903000056743622,0.0548000000417232,0.2161000072956085,0.049600001424551,0.0472000017762184,0.032600000500679,0.0568000003695488,-2.0419436,-12.907173,7.5000405,2.8609693
Czechia,0.031700000166893,0.0333999991416931,0.035300001502037,0.0350000001490116,0.0307000000029802,0.0373999997973442,0.0384999997913837,0.0414999984204769,0.0288999993354082,0.6876000165939331,28.496914,-24.200542,8.113213,4.075833
Cyprus,0.0428000018000602,0.0958999991416931,0.0520000010728836,0.1512999981641769,0.3745000064373016,0.0762000009417533,0.0379999987781047,0.0838000029325485,0.033500000834465,0.05180000141263,-11.600315,-7.781135,6.9889293,2.3685572
Germany,0.0348999984562397,0.0306000001728534,0.0324000008404254,0.0320000015199184,0.0384000018239021,0.0286999996751546,0.7032999992370605,0.0226000007241964,0.0526000000536441,0.0245999991893768,-17.778543,14.727111,7.1579366,0.4637322
Denmark,0.0529000014066696,0.0509999990463256,0.0474999994039535,0.0555000007152557,0.0544000007212162,0.0544999986886978,0.0671000033617019,0.1062999963760376,0.4683000147342682,0.0423999987542629,34.52215,12.762826,8.590012,6.042091
Estonia,0.0581000000238418,0.0608000010251998,0.0723000019788742,0.0803000032901763,0.069300003349781,0.0672999992966651,0.1438000053167343,0.2958999872207641,0.0529999993741512,0.099200002849102,-7.162865,6.0823956,7.3685246,1.0666393
Croatia,0.0233999993652105,0.0291000008583068,0.0245999991893768,0.7757999897003174,0.0296999998390674,0.0245999991893768,0.0227000005543231,0.0209999997168779,0.0186999998986721,0.0303000006824731,-23.69383,-2.9592144,6.719182,2.0191562
Finland,0.046399999409914,0.0428000018000602,0.0487999990582466,0.0425999984145164,0.0439000017940998,0.0419000014662742,0.0456999987363815,0.5992000102996826,0.0465000011026859,0.0421999990940094,-7.1578174,28.262396,7.7048454,0.16537194
France,0.0335999988019466,0.0324000008404254,0.6887999773025513,0.0386000014841556,0.0414000004529953,0.0331000015139579,0.0465000011026859,0.0211999993771314,0.0417000018060207,0.0227000005543231,-4.7589664,-35.679058,7.127459,3.3913653
Malta,0.0428999997675418,0.0706000030040741,0.045899998396635,0.0709000006318092,0.0553999990224838,0.0675999969244003,0.0441999994218349,0.51910001039505,0.034800000488758,0.048599999397993,-1.3208112,24.453043,8.157344,0.24090289
Luxembourg,0.6011000275611877,0.0372000001370906,0.0447000004351139,0.0406000018119812,0.0472999997437,0.0372000001370906,0.0577999986708164,0.0315000005066394,0.0719999969005584,0.0305000003427267,17.289392,-2.5396729,8.842684,3.086217
Lithuania,0.0807000026106834,0.0979000031948089,0.062399998307228,0.0998999997973442,0.0557000003755092,0.0957000032067298,0.0803000032901763,0.2250999957323074,0.046799998730421,0.1554999947547912,0.31151524,6.518211,8.015904,1.4261554
Latvia,0.0595999993383884,0.0703999996185302,0.0759000033140182,0.0667999982833862,0.0571000017225742,0.099600002169609,0.2249000072479248,0.1653999984264373,0.045499999076128,0.1348000019788742,-7.74434,13.155595,7.602533,0.6293132
Italy,0.0264999996870756,0.7401999831199646,0.0298999994993209,0.0307000000029802,0.0351999998092651,0.0373000018298625,0.0261000003665685,0.02449999935925,0.023199999704957,0.026300000026822,17.408447,21.887115,8.925403,1.0372194
Ireland,0.0513000003993511,0.0555000007152557,0.064300000667572,0.0595000013709068,0.0537000000476837,0.0568000003695488,0.0544999986886978,0.0658999979496002,0.4932000041007995,0.0452999994158744,33.99044,5.573657,8.912138,5.5743656
Hungary,0.1287000030279159,0.0940999984741211,0.1076000034809112,0.1155000030994415,0.100100003182888,0.1164000034332275,0.0776000022888183,0.0869000032544136,0.0511999987065792,0.121799997985363,6.0906835,0.54818535,8.612351,2.468751
Greece,0.1243000030517578,0.2155999988317489,0.091899998486042,0.0882999971508979,0.0873000025749206,0.0929000005125999,0.0621000006794929,0.0908999964594841,0.050500001758337,0.0961999967694282,9.401696,7.278681,8.735703,1.9140881
Spain,0.0527999997138977,0.4551999866962433,0.1181999966502189,0.0570000000298023,0.050900001078844,0.0687000006437301,0.0405000001192092,0.0531000010669231,0.0342000015079975,0.0693999975919723,15.059893,15.17502,8.837515,1.4429028
Netherlands,0.0416000001132488,0.0322999991476535,0.0372000001370906,0.0274999998509883,0.0384000018239021,0.0307000000029802,0.0419999994337558,0.0307000000029802,0.6858000159263611,0.0337000004947185,42.604095,13.732957,8.85064,5.8469696
Poland,0.0754999965429306,0.0939000025391578,0.0838999971747398,0.0993999987840652,0.0671000033617019,0.2267999947071075,0.0728999972343444,0.0648000016808509,0.0549000017344951,0.1607999950647354,6.876338,-7.365441,8.356363,3.0372055
Portugal,0.0348999984562397,0.069700002670288,0.6335999965667725,0.035300001502037,0.033900000154972,0.0419000014662742,0.0291000008583068,0.0441999994218349,0.0283000003546476,0.049100000411272,0.9106696,-35.038563,7.420467,3.6505876
Romania,0.0248000007122755,0.0318999998271465,0.0266999993473291,0.0309999994933605,0.0270000007003545,0.761900007724762,0.0236000008881092,0.0232999995350837,0.0208999998867511,0.0289999991655349,9.521559,-16.864359,8.089864,3.4248755
Sweden,0.1112999990582466,0.0625,0.0700000002980232,0.0644000023603439,0.0650999993085861,0.0577000007033348,0.0949999988079071,0.2515999972820282,0.1439999938011169,0.0782999992370605,0.94552535,13.806719,8.252855,0.87378025
Slovenia,0.3741999864578247,0.0723000019788742,0.0719000026583671,0.0725999996066093,0.0560999996960163,0.062899999320507,0.0480000004172325,0.0812000036239624,0.0417999997735023,0.1190999969840049,-0.6919048,-2.6727896,7.9118586,2.4213245
Slovakia,0.0313999988138675,0.0456999987363815,0.048599999397993,0.0577999986708164,0.0474999994039535,0.0406999997794628,0.0292000006884336,0.0372000001370906,0.0291000008583068,0.6327000260353088,28.770552,-18.317854,8.560324,4.013216
