country,National energy policy,Renewable energy consumption,National development plan,Electricity consumption,energy production costs,Climate change policy,Electricity target increase,Transport emissions,Electricity transport system,transport policy,National energy policy,Renewable energy consumption,National development plan,Electricity consumption,energy production costs,Climate change policy,Electricity target increase,Transport emissions,Electricity transport system,transport policy,National energy policy,Renewable energy consumption,National development plan,Electricity consumption,energy production costs,Climate change policy,Electricity target increase,Transport emissions,Electricity transport system,transport policy,c1,c2,u1,u2
Austria,0.0901999995112419,0.1097000017762184,0.0800999999046325,0.1404999941587448,0.0825999975204467,0.1519999951124191,0.1050999984145164,0.0781999975442886,0.0869000032544136,0.0747999995946884,0.0962999984622001,0.0240000002086162,0.0623000003397464,0.0256999991834163,0.0293000005185604,0.6050000190734863,0.0285999998450279,0.0190999992191791,0.0461000017821788,0.0636999979615211,0.0901999995112419,0.1230000033974647,0.0869999974966049,0.1041999980807304,0.0957999974489212,0.0925000011920929,0.1001999974250793,0.1324999928474426,0.0879999995231628,0.0864999964833259,-133.54893,197.13219,-0.11330503,8.482317
Belgium,0.0579999983310699,0.065200001001358,0.0505999997258186,0.1726000010967254,0.2190999984741211,0.1844999939203262,0.0967999994754791,0.0621000006794929,0.0493000000715255,0.0417999997735023,0.0196000002324581,0.0125000001862645,0.017400000244379,0.0137000000104308,0.0256999991834163,0.8289999961853027,0.0141000002622604,0.0159000009298324,0.0289999991655349,0.0230999998748302,0.0718000009655952,0.1083000004291534,0.0621999986469745,0.0879999995231628,0.1635999977588653,0.0793000012636184,0.0789000019431114,0.2076999992132187,0.0746999979019165,0.0653000026941299,-161.42706,-203.8778,-0.6463042,8.219799
Bulgaria,0.0544000007212162,0.121299996972084,0.0524000003933906,0.1142000034451484,0.0557000003755092,0.045499999076128,0.1022000014781951,0.3348999917507171,0.0610000006854534,0.0582999996840953,0.0908000022172927,0.0487999990582466,0.1552000045776367,0.0515000000596046,0.0566000007092952,0.0742999985814094,0.0706000030040741,0.0401999987661838,0.225500002503395,0.186599999666214,0.0452999994158744,0.0869999974966049,0.0430000014603138,0.0780000016093254,0.0582000017166137,0.0384999997913837,0.0654999986290931,0.4851999878883362,0.0524000003933906,0.0467000007629394,107.217094,-217.03146,5.79902,15.896776
Czechia,0.0700000002980232,0.1167000010609626,0.0500999987125396,0.2720000147819519,0.0718000009655952,0.0595999993383884,0.1067000031471252,0.1011999994516372,0.0653000026941299,0.0864999964833259,0.1111000031232833,0.0511000007390975,0.2619999945163727,0.0778999999165535,0.0472999997437,0.0873000025749206,0.0546999983489513,0.0498000010848045,0.1133999973535537,0.1453000009059906,0.0626000016927719,0.0863000005483627,0.05180000141263,0.0883999988436698,0.0648000016808509,0.0524000003933906,0.0741999968886375,0.4014999866485595,0.0604999996721744,0.0575000010430812,126.24451,21.521727,6.1591883,16.596539
Cyprus,0.1053000018000602,0.0873999968171119,0.0966000035405159,0.1143999993801117,0.0777999982237815,0.0829999968409538,0.2111999988555908,0.0720999985933303,0.0798000022768974,0.0724000036716461,0.1444000005722046,0.0606000013649463,0.182899996638298,0.0614000000059604,0.0769999995827674,0.1037999987602233,0.0820999965071678,0.0737000033259391,0.0930999964475631,0.1209999993443489,0.0957000032067298,0.1536999940872192,0.0683000013232231,0.1040999963879585,0.0914999991655349,0.0619000010192394,0.1133000031113624,0.1761000007390976,0.0698999986052513,0.0654999986290931,-111.47627,-0.8797075,0.38534337,8.596208
Germany,0.0747999995946884,0.1228000000119209,0.1064999997615814,0.1898999959230423,0.0782999992370605,0.0856000036001205,0.1439000070095062,0.0684999972581863,0.0694999992847442,0.0603000000119209,0.0599000006914138,0.0265999995172023,0.3607000112533569,0.0305000003427267,0.0432000011205673,0.3066000044345855,0.0302000008523464,0.0233999993652105,0.0443000011146068,0.0746000036597251,0.0741999968886375,0.1636999994516372,0.0781999975442886,0.1396999955177307,0.0935999974608421,0.0719000026583671,0.1090999990701675,0.1307000070810318,0.0706999972462654,0.0683000013232231,-54.911266,96.19581,1.6929367,9.351499
Denmark,0.0570000000298023,0.0640000030398368,0.1387999951839447,0.3589000105857849,0.0599999986588954,0.0856999978423118,0.0842999964952468,0.0441000014543533,0.0513000003993511,0.0560999996960163,0.0678000003099441,0.0538999997079372,0.4081000089645386,0.0833000019192695,0.0723000019788742,0.0839999988675117,0.060199998319149,0.0432000011205673,0.0586999990046024,0.0684999972581863,0.0709000006318092,0.1374000012874603,0.0701000019907951,0.1014999970793724,0.0782999992370605,0.063400000333786,0.0952000021934509,0.2506000101566314,0.0659999996423721,0.066600002348423,109.70179,122.10166,6.5331426,16.382435
Estonia,0.0807000026106834,0.1319999992847442,0.1018999963998794,0.1330000013113021,0.0876000002026557,0.0759999975562095,0.1583999991416931,0.0753000006079673,0.0754000023007392,0.0798000022768974,0.0531000010669231,0.0403000004589557,0.3016000092029571,0.0416000001132488,0.0562000013887882,0.096000000834465,0.066500000655651,0.0405000001192092,0.0654999986290931,0.2387000024318695,0.0617000013589859,0.1076999977231025,0.0692000016570091,0.0754999965429306,0.0736000016331672,0.0702999979257583,0.0781999975442886,0.3269999921321869,0.0674000009894371,0.0694999992847442,78.61273,-34.134693,6.3313437,15.4615965
Croatia,0.0803999975323677,0.1280999928712844,0.0720999985933303,0.1550000011920929,0.0722000002861023,0.0692000016570091,0.158500000834465,0.0869999974966049,0.0873000025749206,0.0901999995112419,0.0419000014662742,0.0240000002086162,0.0350000001490116,0.0296000000089406,0.0291000008583068,0.0441999994218349,0.0295000001788139,0.0269000008702278,0.0454000011086463,0.6942999958992004,0.0910999998450279,0.1289000064134597,0.0821999981999397,0.1085999980568885,0.0883999988436698,0.0782999992370605,0.1077999994158744,0.1432999968528747,0.0856000036001205,0.0857999995350837,295.60614,-25.710827,5.2202497,17.374296
Finland,0.0674000009894371,0.1738999933004379,0.0705000013113021,0.155699998140335,0.0800999999046325,0.064300000667572,0.1726000010967254,0.0802000015974044,0.0668999999761581,0.0685999989509582,0.0723000019788742,0.0790999978780746,0.1959999948740005,0.1067000031471252,0.0636999979615211,0.1203000023961067,0.0957999974489212,0.0526000000536441,0.1002999991178512,0.1133000031113624,0.0663999989628791,0.1661999970674514,0.0630000010132789,0.1328999996185302,0.0948999971151351,0.0654999986290931,0.1037999987602233,0.1763000041246414,0.0623000003397464,0.0687000006437301,-72.76354,-57.526604,1.2360728,9.098222
France,0.0623000003397464,0.0993999987840652,0.0666999965906143,0.1218999996781349,0.2748000025749206,0.0672999992966651,0.1103999987244606,0.0797000005841255,0.0614000000059604,0.0560000017285347,0.0766000002622604,0.032999999821186,0.1040999963879585,0.036200001835823,0.2497999966144561,0.2424000054597854,0.0416000001132488,0.0335999988019466,0.1023000031709671,0.0803000032901763,0.0222999993711709,0.0173000004142522,0.0186999998986721,0.0171000007539987,0.8194000124931335,0.0225000008940696,0.0173000004142522,0.0208999998867511,0.0237000007182359,0.0208000000566244,-193.70137,-82.12451,-0.2913062,7.5338864
Malta,0.0788000002503395,0.0881000012159347,0.1023000031709671,0.0771000012755394,0.1173999980092048,0.0705000013113021,0.2560999989509582,0.0828000009059906,0.066600002348423,0.0604000017046928,0.1036999970674514,0.0529999993741512,0.2002999931573867,0.0469000004231929,0.0737000033259391,0.1085999980568885,0.1554999947547912,0.0714000016450882,0.0975999981164932,0.0891000032424926,0.0540000014007091,0.0590000003576278,0.0529999993741512,0.0469000004231929,0.0844999998807907,0.050500001758337,0.0649000033736229,0.492000013589859,0.0478999987244606,0.0472999997437,172.56332,-72.61198,5.8995113,17.123755
