,word,topic_id,importance,word_count
30,consumption,1,0.021325167,3648
90,target,3,0.019434929,3783
31,increase,1,0.01890481,4715
32,share,1,0.018839573,2624
120,heat,4,0.01803128,2296
240,promote,8,0.017438622,2087
210,increase,7,0.016950754,4715
211,total,7,0.016849047,2343
60,support,2,0.016553648,3325
121,target,4,0.01548916,3783
33,electricity,1,0.014640339,4722
212,consumption,7,0.014167616,3648
213,ghg emission,7,0.013631904,1191
34,target,1,0.013045958,3783
180,electricity,6,0.012728755,4722
214,projection,7,0.012516798,993
181,target,6,0.012413611,3783
241,use,8,0.012349504,5040
215,share,7,0.012290398,2624
91,electricity,3,0.012248701,4722
216,ghg,7,0.012117159,1328
35,transport,1,0.0117487265,4437
242,plan,8,0.011660702,3672
61,include,2,0.011580563,3147
270,development,9,0.011429885,3579
92,consumption,3,0.011408431,3648
36,res,1,0.011196033,2761
182,increase,6,0.011081108,4715
217,transport,7,0.011022233,4437
183,transport,6,0.0108927535,4437
0,res,0,0.0106128575,2761
150,climate,5,0.010578824,3125
93,increase,3,0.010479142,4715
37,use,1,0.010433468,5040
218,source,7,0.010375111,2816
62,electricity,2,0.010327385,4722
38,total,1,0.009955096,2343
219,waste,7,0.00989258,2457
94,share,3,0.00981991,2624
184,consumption,6,0.009767465,3648
271,use,9,0.009695153,5040
220,year,7,0.009635743,2120
122,twh,4,0.009557654,578
123,electricity,4,0.009504019,4722
221,figure,7,0.009481368,1187
95,source,3,0.009474692,2816
63,climate,2,0.009315306,3125
243,electricity,8,0.009309853,4722
39,source,1,0.009276293,2816
64,national,2,0.009244286,3516
272,implementation,9,0.009241259,1460
244,system,8,0.009240715,3100
185,use,6,0.009112797,5040
96,national,3,0.009097088,3516
40,national,1,0.008840846,3516
186,national,6,0.008702539,3516
151,support,5,0.008702472,3325
124,cost,4,0.00861968,1397
1,system,0,0.008526937,3100
2,use,0,0.008514455,5040
97,use,3,0.008497889,5040
65,development,2,0.008485893,3579
3,national,0,0.008475883,3516
125,production,4,0.008468975,2792
222,electricity,7,0.008456647,4722
98,biomass,3,0.008452412,1805
187,share,6,0.008395069,2624
273,res,9,0.008345588,2761
223,decrease,7,0.008327949,702
4,plant,0,0.008279708,1617
224,res,7,0.0081769815,2761
274,transport,9,0.00810482,4437
245,national,8,0.008087623,3516
99,total,3,0.00796357,2343
225,gas,7,0.007931899,2392
226,table,7,0.0078573795,1119
188,include,6,0.007849458,3147
227,use,7,0.007843931,5040
275,ministry,9,0.0078154765,717
41,share renewable,1,0.00776143,792
228,scenario,7,0.0077386983,1245
229,project,7,0.00770223,2506
42,eu,1,0.0076707304,2018
66,plan,2,0.007662918,3672
276,reduce,9,0.007654875,2187
189,res,6,0.007626309,2761
126,waste,4,0.0075696358,2457
100,expect,3,0.0075666476,1557
230,period,7,0.0075284736,1891
67,transport,2,0.0075126556,4437
190,eu,6,0.0075012357,2018
101,reduction,3,0.0074942615,1927
5,plan,0,0.0074786358,3672
102,transport,3,0.007424236,4437
231,trend,7,0.007391493,621
277,production,9,0.00734601,2792
103,period,3,0.007337695,1891
6,new,0,0.007331968,2680
68,use,2,0.0073251165,5040
127,consumption,4,0.0072990526,3648
43,final,1,0.0072964076,1159
191,plan,6,0.007236953,3672
192,biomass,6,0.007229767,1805
7,increase,0,0.0071183373,4715
128,gas,4,0.0070502902,2392
8,development,0,0.0068914024,3579
246,transport,8,0.0068812864,4437
278,system,9,0.0068059736,3100
152,transport,5,0.00678433,4437
193,source,6,0.0067804763,2816
279,plan,9,0.0067646587,3672
247,new,8,0.0067340154,2680
129,project,4,0.0067032203,2506
194,heating,6,0.0066744164,1807
195,technology,6,0.0066660186,2037
69,new,2,0.006653,2680
70,policy,2,0.0066294814,2647
280,change,9,0.00662404,2014
232,lulucf,7,0.0066044526,747
104,eu,3,0.0065709096,2018
153,use,5,0.006537566,5040
196,development,6,0.006529999,3579
248,action,8,0.006384903,1193
44,heating,1,0.006297343,1807
9,objective,0,0.006293498,1520
45,scenario,1,0.006283042,1245
46,figure,1,0.006223553,1187
197,total,6,0.006206079,2343
154,plan,5,0.006198839,3672
130,installation,4,0.0061454633,1083
131,year,4,0.006082161,2120
155,new,5,0.0060210577,2680
10,include,0,0.006002593,3147
105,heating,3,0.005955453,1807
71,government,2,0.0059517967,1226
47,biomass,1,0.0059441095,1805
106,scenario,3,0.0059199636,1245
132,mw,4,0.005895921,636
48,biofuel,1,0.005890115,1205
11,integrated national energy,0,0.0058705476,810
133,wind,4,0.005867966,884
134,potential,4,0.005858924,1313
49,heat,1,0.0058562546,2296
12,policy,0,0.0058460496,2647
281,fuel,9,0.005829394,2360
50,period,1,0.0058198352,1891
51,reduction,1,0.005795747,1927
135,use,4,0.005790765,5040
282,area,9,0.0057801823,2109
198,period,6,0.0057208496,1891
233,greenhouse gas emission,7,0.0057202014,861
52,transport sector,1,0.005686738,1383
156,government,5,0.005662822,1226
136,generation,4,0.0056531075,1674
157,system,5,0.0056492384,3100
283,increase,9,0.005636687,4715
158,develop,5,0.0056146923,1579
249,source,8,0.005608347,2816
137,development,4,0.005547287,3579
284,policy,9,0.005471181,2647
234,transport sector,7,0.0054269657,1383
285,electricity,9,0.005425362,4722
72,increase,2,0.0054253424,4715
159,vehicle,5,0.005394811,1736
13,electricity,0,0.00534589,4722
53,table,1,0.0053372676,1119
235,ktoe,7,0.005328816,464
286,climate,9,0.0053188996,3125
73,project,2,0.0053071547,2506
107,transport sector,3,0.0053050807,1383
54,year,1,0.0053046257,2120
108,base,3,0.005300754,1743
109,table,3,0.005295822,1119
110,final,3,0.0052951816,1159
250,energy efficiency,8,0.0052545266,1443
199,change,6,0.0052540535,2014
200,production,6,0.0052383323,2792
111,trajectory,3,0.0052310852,598
160,reduce,5,0.005224028,2187
287,climate change,9,0.0052169,957
161,mobility,5,0.005188797,877
74,system,2,0.0051631653,3100
112,production,3,0.0051510883,2792
201,heat,6,0.0051502865,2296
138,solar,4,0.0051370845,788
236,base,7,0.00513102,1743
75,fuel,2,0.0051285904,2360
76,provide,2,0.0051151747,1613
113,include,3,0.005107202,3147
237,account,7,0.0050990134,1110
14,power,0,0.00509714,1361
55,production,1,0.005096708,2792
288,vehicle,9,0.005085773,1736
289,activity,9,0.005051698,802
15,specific,0,0.005042878,1112
202,trajectory,6,0.0050425013,598
251,consumption,8,0.005036921,3648
252,support,8,0.0050361212,3325
238,compare,7,0.0050289715,1018
114,level,3,0.0050239246,1822
115,achieve,3,0.005011632,1677
253,production,8,0.004992692,2792
203,expect,6,0.0049705603,1557
16,policy measure,0,0.0049590855,1137
17,promote,0,0.00491591,2087
204,climate,6,0.0049125543,3125
162,increase,5,0.004903074,4715
290,support,9,0.004900938,3325
205,base,6,0.0048330524,1743
163,policy,5,0.0048142415,2647
116,gas,3,0.0048126457,2392
239,result,7,0.004811586,1239
56,estimate,1,0.004800088,864
117,climate,3,0.004785738,3125
164,building,5,0.004761545,1506
18,market,0,0.004745224,1383
206,project,6,0.0047306134,2506
291,energy efficiency,9,0.004725358,1443
207,objective,6,0.0047185887,1520
139,france,4,0.004692269,235
118,generation,3,0.0046831504,1674
77,scheme,2,0.004678736,694
254,decarbonisation,8,0.004667555,492
208,generation,6,0.0046555824,1674
78,target,2,0.004638459,3783
209,level,6,0.0046345578,1822
255,network,8,0.0046303826,1196
140,produce,4,0.004630296,1008
141,include,4,0.004628989,3147
119,res,3,0.0046145837,2761
57,fuel,1,0.0046056504,2360
142,geothermal,4,0.0046000737,442
292,technology,9,0.0045992318,2037
293,infrastructure,9,0.0045889793,1259
256,reduce,8,0.0045805206,2187
294,promote,9,0.004573207,2087
257,renewable source,8,0.0045680883,1266
79,eu,2,0.0045666755,2018
258,waste,8,0.0045592193,2457
165,area,5,0.004532998,2109
58,policy,1,0.0045317435,2647
166,public,5,0.0045255143,1408
295,implement,9,0.004513213,1380
143,increase,4,0.0045059337,4715
259,increase,8,0.0044830875,4715
59,compare,1,0.0044806,1018
144,fuel,4,0.004455151,2360
145,source,4,0.004449298,2816
260,development,8,0.004421141,3579
80,set,2,0.0043912525,1727
261,capacity,8,0.0043688077,1449
19,provide,0,0.0043681217,1613
262,policy measure,8,0.0043624844,1137
296,gas,9,0.0043624286,2392
297,waste,9,0.0043426645,2457
81,area,2,0.004340256,2109
146,total,4,0.004312065,2343
