,word,topic_id,importance,word_count
30,final,1,0.01926378,1769
31,primary energy,1,0.01249331,1137
32,increase,1,0.011531187,1571
33,target,1,0.011182929,1661
0,public,0,0.010614805,1720
34,heat,1,0.009209589,1076
35,electricity,1,0.009171026,1332
1,system,0,0.009045324,1639
36,use,1,0.009012423,1663
2,saving,0,0.008877453,1928
37,transport,1,0.008742802,1368
3,renovation,0,0.008542372,1553
38,source,1,0.008419192,911
39,total,1,0.008314726,993
40,national,1,0.0081459815,1418
4,support,0,0.007944913,1295
41,year,1,0.007380679,1319
42,scenario,1,0.007288663,656
5,plan,0,0.00712621,1389
43,primary,1,0.007067565,637
44,industry,1,0.006730366,751
45,period,1,0.0065630507,1310
46,heating,1,0.006488014,1020
47,ktoe,1,0.0064860857,605
48,figure,1,0.006471173,579
49,include,1,0.006343412,1426
50,level,1,0.006306548,1018
51,saving,1,0.0061658085,1928
6,programme,0,0.006150452,983
7,new,0,0.006078469,1410
52,eu,1,0.006010121,893
8,investment,0,0.0059358533,959
9,service,0,0.00589359,1161
53,fuel,1,0.0058287457,673
10,project,0,0.0057840603,1016
11,implementation,0,0.00573263,928
12,use,0,0.0055927983,1663
13,include,0,0.0055707544,1426
14,promote,0,0.0055633904,904
54,gas,1,0.0054683303,894
55,requirement,1,0.0054111555,794
56,directive,1,0.0054014386,831
57,potential,1,0.005308296,792
58,new,1,0.0052524493,1410
15,fund,0,0.005234497,822
59,table,1,0.0052236933,556
16,implement,0,0.005123815,857
17,period,0,0.004706804,1310
18,policy,0,0.004696553,968
19,national,0,0.004511847,1418
20,improve,0,0.004425286,745
21,provide,0,0.0043839524,745
22,development,0,0.004377264,1014
23,target,0,0.00436652,1661
24,year,0,0.0043071844,1319
25,achieve,0,0.0042911866,915
26,reduce,0,0.0041219583,804
27,objective,0,0.0040565496,753
28,information,0,0.00393971,657
29,transport,0,0.0038587127,1368
