country,Renewable energy sources,National gas supply.,Market Capacity Development,Renewable energy sources,National gas supply.,Market Capacity Development,Renewable energy sources,National gas supply.,Market Capacity Development,c1,c2,u1,u2
Austria,0.3346999883651733,0.3005000054836273,0.3648000061511993,0.2870000004768371,0.3226999938488006,0.3903000056743622,0.5550000071525574,0.2213999927043914,0.2234999984502792,0.128085,2.1783638,5.7237225,-2.075116
Belgium,0.2811000049114227,0.3492000102996826,0.369700014591217,0.2083999961614608,0.4005999863147735,0.3910000026226043,0.5964999794960022,0.1959999948740005,0.2074999958276748,1.6941819,5.2375717,5.9473658,-1.6597406
Bulgaria,0.3569999933242798,0.2946000099182129,0.3483999967575073,0.1129999980330467,0.3165999948978424,0.5705000162124634,0.7516000270843506,0.1221000030636787,0.1263000071048736,-8.034944,-1.4901465,-3.0376143,-1.622713
Czechia,0.362199991941452,0.3043000102043152,0.3334999978542328,0.1006999984383583,0.7680000066757202,0.131300002336502,0.6062999963760376,0.1636999994516372,0.2299000024795532,17.164513,18.354715,3.5315862,2.1196609
Cyprus,0.3102000057697296,0.3562000095844269,0.3336000144481659,0.2373999953269958,0.4377999901771545,0.3248000144958496,0.4305000007152557,0.2867000102996826,0.2827999889850616,5.9225287,8.303993,5.3356395,-0.8362913
Germany,0.2137999981641769,0.5601000189781189,0.2260999977588653,0.0749000012874603,0.8179000020027161,0.1072999984025955,0.614799976348877,0.1844999939203262,0.2005999982357025,22.36237,16.852156,3.7085166,2.5550573
Denmark,0.3664999902248382,0.3862999975681305,0.24719999730587,0.2793000042438507,0.4208999872207641,0.2998000085353851,0.5246999859809875,0.2311999946832656,0.2440000027418136,7.0592012,4.6950264,5.0136356,-0.46780917
Estonia,0.2843999862670898,0.425599992275238,0.2899999916553497,0.1613000035285949,0.6158000230789185,0.2229000031948089,0.459199994802475,0.2802999913692474,0.2605000138282776,12.517754,13.831392,3.276741,0.7333012
Croatia,0.2098000049591064,0.5109000205993652,0.2793000042438507,0.2630000114440918,0.3671999871730804,0.3698000013828277,0.4614000022411346,0.2919999957084656,0.2466000020503997,9.78852,-0.027513567,4.1415687,-0.20986664
Finland,0.3705999851226806,0.3203000128269195,0.3091000020503998,0.1996999979019165,0.5620999932289124,0.2381999939680099,0.5971999764442444,0.1759999990463256,0.2266999930143356,14.580173,9.753098,3.6760285,1.6039963
France,0.32710000872612,0.3391999900341034,0.3337999880313873,0.3075000047683716,0.3262999951839447,0.3662000000476837,0.5120000243186951,0.0975999981164932,0.3903999924659729,3.2099822,-0.85757756,5.726534,-1.3299298
Malta,0.306300014257431,0.3244000077247619,0.3693000078201294,0.0810000002384185,0.8039000034332275,0.1151999980211258,0.4828999936580658,0.2486999928951263,0.2684000134468078,15.293654,21.308529,3.9282272,1.8410411
Luxembourg,0.3199000060558319,0.369700014591217,0.3104000091552734,0.2048999965190887,0.5419999957084656,0.2531000077724457,0.487199991941452,0.2640999853610992,0.2486000061035156,9.008966,12.12701,4.5942664,-0.143056
Lithuania,0.3075000047683716,0.4111999869346618,0.2813000082969665,0.1861999928951263,0.535099983215332,0.2786999940872192,0.5271999835968018,0.2169000059366226,0.2558000087738037,10.6355,9.175358,3.9848015,0.24636419
Latvia,0.4149999916553497,0.2764999866485595,0.3084000051021576,0.2436999976634979,0.3095999956130981,0.4467000067234039,0.5741000175476074,0.2238000035285949,0.2020999938249588,-3.0619395,0.75888366,-2.1616666,-2.2973385
Italy,0.159400001168251,0.210099995136261,0.6305000185966492,0.1595000028610229,0.5304999947547913,0.3100000023841858,0.531499981880188,0.2304999977350235,0.2380000054836273,1.8614769,13.833346,5.4878874,-1.6167209
Ireland,0.2222999930381775,0.5203999876976013,0.2574000060558319,0.1798000037670135,0.5817999839782715,0.2383999973535537,0.6636999845504761,0.1664000004529953,0.1699000000953674,21.234352,10.172636,3.618344,2.9214027
Hungary,0.2197999954223632,0.1508000046014785,0.6294999718666077,0.0595999993383884,0.0877000018954277,0.8526999950408936,0.7098000049591064,0.1026000007987022,0.1876000016927719,-8.37641,-8.429577,-3.2312744,-1.7849337
Spain,0.4043999910354614,0.3009999990463257,0.2946000099182129,0.130400002002716,0.6553999781608582,0.2142000049352646,0.4934999942779541,0.2863000035285949,0.2202000021934509,11.880115,17.712135,3.7872615,0.63983214
Netherlands,0.4320000112056732,0.2483000010251999,0.3197000026702881,0.3208000063896179,0.3598000109195709,0.3194000124931335,0.6682999730110168,0.1492000073194503,0.1825000047683715,-4.038809,5.692415,-2.52462,-1.792677
Poland,0.3406000137329101,0.2037000060081482,0.455700010061264,0.0865999981760978,0.1388999968767166,0.7745000123977661,0.8367000222206116,0.0644999966025352,0.098700001835823,-10.309327,-5.5324955,-3.4990838,-1.4488782
Portugal,0.3458000123500824,0.287200003862381,0.367000013589859,0.1335999965667724,0.5390999913215637,0.3273000121116638,0.6254000067710876,0.1988999992609024,0.1756999939680099,13.993146,6.218167,3.3097327,1.3786224
Romania,0.2919999957084656,0.2574999928474426,0.4505000114440918,0.1224000006914138,0.2056999951601028,0.6718999743461609,0.5195000171661377,0.2304999977350235,0.25,-4.7287297,-5.2129264,-2.5822957,-2.1550725
Sweden,0.209099993109703,0.5023999810218811,0.2885000109672546,0.1500999927520752,0.641700029373169,0.208199992775917,0.6351000070571899,0.1657000035047531,0.1992000043392181,20.159122,13.097143,3.9975548,2.6667414
Slovenia,0.4041000008583069,0.2549999952316284,0.3409000039100647,0.3174999952316284,0.3488999903202057,0.3336000144481659,0.7310000061988831,0.1273999959230423,0.1414999961853027,-7.1469364,4.5917826,-3.1543496,-2.1742942
Slovakia,0.1010999977588653,0.599399983882904,0.2994999885559082,0.1756999939680099,0.3986999988555908,0.425599992275238,0.4293000102043152,0.2284000068902969,0.3422999978065491,12.2537,-2.5877757,3.501229,0.35471305
