,word,topic_id,importance,word_count
180,increase,6,0.016530734,1370
240,source,8,0.015655054,1370
181,source,6,0.013769323,1370
182,import,6,0.013761219,1090
60,increase,2,0.0131012,1370
150,market,5,0.012839726,1357
30,measure,1,0.012806996,1241
120,market,4,0.012773913,1357
0,production,0,0.012636078,1088
121,gas supply,4,0.012512919,588
1,increase,0,0.012270686,1370
183,consumption,6,0.011851847,1086
210,source,7,0.011649678,1370
61,capacity,2,0.011597866,1225
184,production,6,0.01136677,1088
185,fuel,6,0.011263978,808
211,market,7,0.011094103,1357
31,plan,1,0.0108746085,1056
32,national,1,0.010846604,1111
2,import,0,0.0107139675,1090
122,measure,4,0.0107015055,1241
241,production,8,0.010623642,1088
90,market,3,0.010455434,1357
91,capacity,3,0.010241603,1225
151,increase,5,0.010223082,1370
3,consumption,0,0.010147931,1086
242,national,8,0.009932587,1111
123,capacity,4,0.009925175,1225
124,plan,4,0.009824696,1056
243,increase,8,0.009775152,1370
125,act,4,0.009538172,330
152,measure,5,0.009482903,1241
92,consumption,3,0.009437898,1086
212,increase,7,0.009401951,1370
213,oil,7,0.009233948,858
214,import,7,0.009218835,1090
186,coal,6,0.009175866,387
153,plan,5,0.009132391,1056
62,source,2,0.009107484,1370
154,source,5,0.009067359,1370
215,measure,7,0.009037927,1241
63,market,2,0.009025485,1357
216,national,7,0.008886588,1111
4,power,0,0.0087991785,910
5,fuel,0,0.008713837,808
126,regulation,4,0.00868782,578
93,use,3,0.00867153,760
155,capacity,5,0.0086608175,1225
6,national,0,0.008534632,1111
187,renewable,6,0.008509977,789
188,power,6,0.00848098,910
7,source,0,0.008457008,1370
156,sector,5,0.008291729,909
33,project,1,0.008270077,692
244,oil,8,0.008170214,858
64,import,2,0.008140095,1090
65,power,2,0.008104677,910
66,demand,2,0.0079995515,675
157,development,5,0.007877012,879
67,consumption,2,0.007870919,1086
245,measure,8,0.007864633,1241
246,development,8,0.007689205,879
127,source,4,0.007663857,1370
189,oil,6,0.0076343315,858
190,sector,6,0.007527124,909
128,emergency,4,0.0075214603,420
217,capacity,7,0.0075111985,1225
191,market,6,0.007453067,1357
68,plan,2,0.0074328585,1056
218,ensure,7,0.007334098,775
94,storage,3,0.0072854725,819
247,sector,8,0.007276202,909
158,natural,5,0.0072728833,785
34,risk,1,0.00725038,467
219,plan,7,0.0072085173,1056
95,production,3,0.00719939,1088
159,consumption,5,0.007197801,1086
248,import,8,0.007184795,1090
69,storage,2,0.0071383966,819
8,measure,0,0.0071214004,1241
192,capacity,6,0.007111984,1225
249,market,8,0.0070646624,1357
129,sector,4,0.007061788,909
9,renewable,0,0.0069741895,789
250,include,8,0.006932672,815
35,source,1,0.0068939305,1370
10,natural,0,0.0068708165,785
160,storage,5,0.006848033,819
251,consumption,8,0.0068426887,1086
161,national,5,0.006764666,1111
96,renewable,3,0.006710265,789
11,capacity,0,0.006678439,1225
220,sector,7,0.0066154688,909
36,include,1,0.006600663,815
252,capacity,8,0.0065923347,1225
130,operator,4,0.0065795947,394
70,development,2,0.0065591433,879
71,new,2,0.006553674,604
37,ensure,1,0.0065042023,775
162,ensure,5,0.006469611,775
97,nuclear,3,0.006454711,509
253,natural,8,0.0064456407,785
163,include,5,0.0064162356,815
193,measure,6,0.006392873,1241
38,sector,1,0.006367011,909
72,production,2,0.006345335,1088
194,national,6,0.0063237543,1111
164,production,5,0.0063031847,1088
12,market,0,0.0062770783,1357
195,share,6,0.0061808005,441
221,power,7,0.0061758924,910
39,malta,1,0.006166444,118
222,include,7,0.0061463746,815
73,renewable,2,0.0061157625,789
74,national,2,0.0061130812,1111
223,project,7,0.0060727876,692
75,measure,2,0.006066509,1241
98,network,3,0.0060212137,734
76,level,2,0.0060002017,693
131,network,4,0.0059502246,734
165,import,5,0.0059182285,1090
13,demand,0,0.005874476,675
40,emergency,1,0.005854564,420
77,oil,2,0.005843383,858
254,renewable,8,0.0057763862,789
132,storage,4,0.005771838,819
133,national,4,0.005769514,1111
41,network,1,0.0057572564,734
196,primary energy,6,0.0057487492,318
255,power,8,0.005731619,910
42,oil,1,0.00571804,858
78,project,2,0.005698425,692
99,import,3,0.0056706113,1090
256,ensure,8,0.00565014,775
224,eu,7,0.0056462055,583
100,development,3,0.005641347,879
166,network,5,0.0056208977,734
14,country,0,0.0055984384,608
101,demand,3,0.0055982512,675
134,transmission,4,0.0055582128,434
257,country,8,0.0055301767,608
15,oil,0,0.005528767,858
16,use,0,0.005526208,760
225,country,7,0.0055075213,608
167,use,5,0.0054883924,760
197,development,6,0.0054867733,879
258,fuel,8,0.0054745344,808
17,development,0,0.0054713795,879
168,project,5,0.0054685483,692
135,oil,4,0.005418056,858
102,necessary,3,0.0054085436,427
103,base,3,0.005396513,487
169,country,5,0.0053649144,608
198,total,6,0.005336431,396
226,level,7,0.0053360704,693
227,natural,7,0.005323268,785
199,domestic,6,0.0053229355,505
43,demand,1,0.0053201523,675
136,ensure,4,0.0052903956,775
104,measure,3,0.0052813184,1241
170,renewable,5,0.00528037,789
79,include,2,0.0052682143,815
105,supply security,3,0.005266095,216
106,increase,3,0.0052546524,1370
200,figure,6,0.005244099,293
137,include,4,0.0052306023,815
107,flexibility,3,0.0052249036,357
108,generation,3,0.005206951,513
109,term,3,0.0051984233,395
18,plan,0,0.0051932563,1056
44,eu,1,0.005189873,583
259,use,8,0.0051890733,760
228,development,7,0.005185465,879
19,domestic,0,0.005154718,505
80,fuel,2,0.0051428825,808
138,natural,4,0.005139955,785
139,increase,4,0.0051362645,1370
81,infrastructure,2,0.005126372,554
82,use,2,0.005120872,760
201,resource,6,0.0050971955,404
83,country,2,0.005079793,608
140,development,4,0.005067243,879
229,domestic,7,0.005049635,505
230,storage,7,0.0050405925,819
110,power,3,0.0050075254,910
20,sector,0,0.005002348,909
260,level,8,0.0049959826,693
111,national,3,0.0049792486,1111
45,level,1,0.0049774353,693
171,year,5,0.004975982,584
231,consumption,7,0.0049641565,1086
172,regulation,5,0.004958122,578
84,network,2,0.0049539604,734
173,fuel,5,0.0049535646,808
261,year,8,0.0049201935,584
174,power,5,0.0049169404,910
112,ensure,3,0.0049082316,775
85,natural,2,0.00490664,785
262,eu,8,0.004903672,583
21,plant,0,0.004865485,551
113,level,3,0.004841376,693
263,share,8,0.0048407977,441
175,eu,5,0.0048169917,583
176,new,5,0.00481379,604
232,network,7,0.0048073344,734
233,year,7,0.0047970754,584
114,new,3,0.0047880006,604
234,regulation,7,0.0047727926,578
202,include,6,0.0047726072,815
46,gas supply,1,0.004767539,588
203,plan,6,0.0047475994,1056
204,plant,6,0.004736668,551
47,power,1,0.0047189086,910
86,sector,2,0.0046811495,909
48,develop,1,0.0046666544,363
205,new,6,0.004647816,604
49,production,1,0.0046351426,1088
22,objective,0,0.0046256445,476
87,ensure,2,0.004621354,775
88,plant,2,0.0046169246,551
23,include,0,0.0046151783,815
264,domestic,8,0.0046129855,505
50,development,1,0.004600795,879
51,capacity,1,0.0045992346,1225
24,share,0,0.0045733787,441
115,biomass,3,0.004570962,235
235,production,7,0.004547911,1088
265,plan,8,0.004547407,1056
206,expect,6,0.004535353,460
236,fuel,7,0.0045221467,808
207,natural,6,0.0045047244,785
52,security supply,1,0.004491615,528
89,generation,2,0.004473297,513
141,use,4,0.0044640866,760
142,regional,4,0.0044576,401
116,hungary,3,0.004441803,205
143,level,4,0.0044362876,693
177,level,5,0.0044329334,693
237,expect,7,0.0044292705,460
144,security supply,4,0.0044196504,528
25,total,0,0.0044100555,396
117,plan,3,0.0044042477,1056
145,transmission system operator,4,0.0043937867,138
53,storage,1,0.0043884777,819
54,infrastructure,1,0.0043848436,554
266,storage,8,0.0043821963,819
55,european,1,0.00436582,483
267,expect,8,0.004353297,460
118,infrastructure,3,0.0043432917,554
119,plant,3,0.004330833,551
26,year,0,0.0043110857,584
56,member states,1,0.0042890133,207
208,nuclear,6,0.0042617805,509
57,identify,1,0.004256249,186
27,storage,0,0.004243158,819
28,generation,0,0.0042315945,513
29,network,0,0.0042010634,734
268,plant,8,0.0041919798,551
238,security supply,7,0.0041808877,528
178,reduce,5,0.004177344,424
58,new,1,0.0041731074,604
239,infrastructure,7,0.004166117,554
269,exist,8,0.0041171275,378
146,area,4,0.004106141,357
147,consumption,4,0.004102654,1086
209,country,6,0.004089917,608
148,power,4,0.004000294,910
59,market,1,0.003988193,1357
179,necessary,5,0.003962799,427
149,fuel,4,0.0039557056,808
