country,National Energy Development Plan,Renewable consumption target,energy consumption,Investment funds,"energy efficiency, emission reduction, fuel demand",Investment policy impact,Climate change policy,Electricity demand increase,Climate impact investment,Reducing Emissions,c1,c2,u1,u2
Austria,0.1195999979972839,0.0926999971270561,0.0832000002264976,0.0868000015616417,0.0876000002026557,0.1290999948978424,0.1299999952316284,0.0799999982118606,0.1071000024676323,0.0838000029325485,8.939417,-1.1476077,9.743173,-0.5893107
Belgium,0.0540000014007091,0.0640999972820282,0.0590999983251094,0.0879999995231628,0.0666999965906143,0.0498999990522861,0.048700001090765,0.0644999966025352,0.4424000084400177,0.0627000033855438,-20.330765,-47.143497,11.007011,1.6609244
Bulgaria,0.0625,0.0478999987244606,0.092299997806549,0.2680999934673309,0.0653999969363212,0.0705000013113021,0.0781999975442886,0.1397999972105026,0.0692000016570091,0.1062000021338462,-22.682566,1.050172,11.959374,0.056390334
Czechia,0.4652999937534332,0.0443999990820884,0.0579999983310699,0.0864000022411346,0.048599999397993,0.0668999999761581,0.0719999969005584,0.0478000007569789,0.0483999997377395,0.0621999986469745,12.714877,-53.413094,9.9539,1.7458721
Cyprus,0.0271000005304813,0.0295000001788139,0.0386999994516372,0.0291000008583068,0.7261999845504761,0.0278999991714954,0.0296000000089406,0.0386000014841556,0.0269000008702278,0.026300000026822,26.550274,16.21943,8.913322,-1.0702356
Germany,0.0684999972581863,0.0926000028848648,0.119499996304512,0.0806000009179115,0.0718000009655952,0.125900000333786,0.2567000091075897,0.0592000000178813,0.0723000019788742,0.0529000014066696,-1.9532679,20.61629,10.477466,-1.3046533
Denmark,0.1088000014424324,0.0839999988675117,0.0887999981641769,0.1018000021576881,0.0948000028729438,0.1328999996185302,0.1080000028014183,0.0916000008583068,0.1072999984025955,0.0819000005722045,-0.17659989,-4.3930964,10.714378,-0.3851084
Estonia,0.0579000003635883,0.0581000000238418,0.0694999992847442,0.0856999978423118,0.0666999965906143,0.0745000019669532,0.0544999986886978,0.0516999997198581,0.2371000051498413,0.2442000061273574,-15.245413,-27.01649,11.215496,1.1940995
Croatia,0.1185000017285347,0.1032000035047531,0.0888999998569488,0.0797000005841255,0.09740000218153,0.1303000003099441,0.1123000010848045,0.0929000005125999,0.0873999968171119,0.0895000025629997,5.222507,-12.509698,10.111862,0.089066274
Finland,0.0744000002741813,0.0775000005960464,0.1079000011086463,0.0763000026345253,0.090499997138977,0.2284999936819076,0.0847000032663345,0.0838999971747398,0.0869999974966049,0.0892999991774559,14.4312315,-22.584915,9.747849,0.7534739
France,0.063799999654293,0.0676999986171722,0.0687000006437301,0.0953999981284141,0.0807000026106834,0.0747999995946884,0.065600000321865,0.0929000005125999,0.3300999999046325,0.0604000017046928,-12.92144,-40.829227,10.766457,1.6116292
Malta,0.0322999991476535,0.0351000018417835,0.0471000000834465,0.031599998474121,0.0551999993622303,0.0287999995052814,0.0335999988019466,0.6772000193595886,0.0289999991655349,0.0300999991595745,45.818886,-31.769896,8.811803,0.8655941
Luxembourg,0.0582999996840953,0.4005999863147735,0.0746000036597251,0.047699999064207,0.0868000015616417,0.0674000009894371,0.0847999975085258,0.0658000037074089,0.0557999983429908,0.0582000017166137,54.516506,13.138586,7.711358,-0.19324514
Lithuania,0.0340999998152256,0.0373999997973442,0.0615000016987323,0.0384000018239021,0.0432000011205673,0.0337999984622001,0.0355000011622905,0.0406000018119812,0.032600000500679,0.6430000066757202,-26.656143,25.736528,12.50458,0.07091006
