,word,topic_id,importance,word_count
30,consumption,1,0.025918733,1758
270,plan,9,0.024587186,1613
150,investment,5,0.022406831,2230
31,renewable,1,0.021102149,1378
120,cost,4,0.02030057,1235
210,project,7,0.020205926,1271
32,target scenario,1,0.019800128,378
33,increase,1,0.018802818,2204
151,policy,5,0.018091215,1676
121,electricity,4,0.017394554,2217
90,investment,3,0.016269041,2230
271,res,9,0.015855962,727
60,fuel,2,0.015475996,1093
0,source,0,0.014911022,1230
180,investment,6,0.0148736155,2230
181,increase,6,0.014391035,2204
122,investment,4,0.014267838,2230
182,climate,6,0.013799777,1071
211,electricity,7,0.013685112,2217
212,figure,7,0.013588535,977
272,emission,9,0.013493132,1991
34,emission,1,0.013364521,1991
152,emission,5,0.013287633,1991
273,transport,9,0.012527741,1459
240,climate,8,0.012124994,1071
1,investment,0,0.012124344,2230
241,increase,8,0.012063377,2204
183,emission,6,0.012034665,1991
213,increase,7,0.0120148035,2204
242,impact,8,0.011829574,1740
61,electricity,2,0.011806695,2217
153,electricity,5,0.011795555,2217
2,policy,0,0.011713692,1676
214,demand,7,0.011579207,942
35,investment,1,0.011496461,2230
123,emission,4,0.011348355,1991
36,electricity,1,0.011345979,2217
62,consumption,2,0.011319035,1758
184,plan,6,0.011250324,1613
243,investment,8,0.011239148,2230
154,plan,5,0.011200344,1613
37,target,1,0.011179389,883
215,expect,7,0.011098704,791
185,effect,6,0.011059006,691
274,increase,9,0.01096461,2204
275,use,9,0.010799411,1093
276,ghg,9,0.010782073,327
277,plan policy measure,9,0.01076894,681
3,impact,0,0.010495732,1740
155,climate,5,0.01044756,1071
186,electricity,6,0.010441512,2217
38,impact,1,0.01037371,1740
4,integrated national energy,0,0.0103715025,282
156,increase,5,0.01032141,2204
5,development,0,0.010314019,1151
187,policy,6,0.009944632,1676
216,investment,7,0.009859905,2230
157,wam,5,0.009836974,542
124,energy efficiency,4,0.009810126,1236
188,total,6,0.009761584,1230
189,national,6,0.0097329235,1095
278,impact,9,0.009728019,1740
91,fund,3,0.009727862,652
63,table,2,0.0096462015,935
39,transport,1,0.00962438,1459
158,transport,5,0.0095397,1459
190,include,6,0.0095309,1148
64,price,2,0.009491237,876
6,national,0,0.0094713755,1095
65,source,2,0.009441463,1230
125,table,4,0.009437651,935
126,increase,4,0.009329982,2204
40,figure,1,0.009314996,977
217,consumption,7,0.009300141,1758
279,electricity,9,0.009269408,2217
159,energy efficiency,5,0.0092028,1236
160,plan policy measure,5,0.009175816,681
280,reduce,9,0.009168925,773
92,policy,3,0.008957402,1676
161,impact,5,0.008728917,1740
244,emission,8,0.0087100575,1991
66,gas,2,0.008684455,1133
