country,energy efficiency measures,Transmission of natural gas,EU energy project,Renewable energy grid,Energy poverty project,renewable energy sources,Project plan development.,Natural gas industry,Project cost increase,energy efficiency measures,Transmission of natural gas,EU energy project,Renewable energy grid,Energy poverty project,renewable energy sources,Project plan development.,Natural gas industry,Project cost increase,energy efficiency measures,Transmission of natural gas,EU energy project,Renewable energy grid,Energy poverty project,renewable energy sources,Project plan development.,Natural gas industry,Project cost increase,c1,c2,u1,u2
Austria,0.1090999990701675,0.093699999153614,0.1186999976634979,0.1143999993801117,0.1228000000119209,0.1008000001311302,0.1198000013828277,0.0945999994874,0.1262000054121017,0.1525000035762787,0.0711999982595443,0.0864999964833259,0.1555999964475631,0.1254000067710876,0.1251000016927719,0.0944000035524368,0.0786999985575676,0.1107999980449676,0.1022000014781951,0.1169999986886978,0.1159000024199485,0.1080999970436096,0.1067000031471252,0.1059999987483024,0.1141000017523765,0.1184000000357627,0.1115999966859817,6.808885,0.77566326,13.433396,12.812468
Belgium,0.1719000041484832,0.0573000013828277,0.0910999998450279,0.1129999980330467,0.1459999978542328,0.1256999969482422,0.097800001502037,0.0706999972462654,0.1264999955892563,0.4467999935150146,0.0421000011265277,0.048599999397993,0.0706000030040741,0.0692000016570091,0.1591999977827072,0.0577999986708164,0.0524999983608722,0.0533000007271766,0.090999998152256,0.1052000001072883,0.1083000004291534,0.0974999964237213,0.0899000018835067,0.1278000026941299,0.1298000067472458,0.1416999995708465,0.1089000031352043,-1.4769775,-8.259436,7.788894,12.791862
Bulgaria,0.0943000018596649,0.2055000066757202,0.0865999981760978,0.0916000008583068,0.100500002503395,0.0663999989628791,0.1018999963998794,0.1015999987721443,0.1516000032424926,0.4372999966144562,0.0776999965310096,0.0627999976277351,0.0671999976038932,0.0683000013232231,0.0706999972462654,0.0727000012993812,0.0650999993085861,0.0781000033020973,0.0581000000238418,0.4165000021457672,0.0732000023126602,0.063799999654293,0.0557999983429908,0.0754000023007392,0.0736000016331672,0.1149000003933906,0.0685999989509582,-7.4283686,-6.90837,5.5291467,10.326794
Czechia,0.0690999999642372,0.1599999964237213,0.0785999968647956,0.0830999985337257,0.2755999863147735,0.0649000033736229,0.0900000035762786,0.0798999965190887,0.0986000001430511,0.099200002849102,0.1037999987602233,0.0562000013887882,0.0807000026106834,0.4122999906539917,0.060199998319149,0.068800002336502,0.0542999990284442,0.0644999966025352,0.0403999984264373,0.652999997138977,0.0357000008225441,0.0465000011026859,0.0445000007748603,0.0472999997437,0.0399000011384487,0.0548000000417232,0.0379000008106231,-13.923999,-2.5598013,5.2372046,11.088176
Cyprus,0.1171000003814697,0.0776000022888183,0.1125999987125396,0.1000000014901161,0.1307999938726425,0.0934000015258789,0.1084999963641166,0.0763000026345253,0.1836999952793121,0.1601999998092651,0.0800999999046325,0.1008000001311302,0.1133000031113624,0.13230000436306,0.0947000011801719,0.1063999980688095,0.0764999985694885,0.1358000040054321,0.0996999964118003,0.1325999945402145,0.1107999980449676,0.1072999984025955,0.1044000014662742,0.1080999970436096,0.1134999990463256,0.1128999963402748,0.1106999963521957,3.186239,-4.038497,11.162808,13.100409
Germany,0.0901999995112419,0.068400003015995,0.0828000009059906,0.1917999982833862,0.1133999973535537,0.090999998152256,0.0992999970912933,0.0800999999046325,0.1829999983310699,0.1418000012636184,0.0408000014722347,0.0434999987483024,0.4284000098705292,0.0784000009298324,0.065600000321865,0.0560999996960163,0.0535999983549118,0.0917999967932701,0.0971999987959861,0.1229000017046928,0.1083000004291534,0.1130999997258186,0.1011999994516372,0.1077999994158744,0.1190000027418136,0.1164999976754188,0.1140000000596046,14.645344,3.146376,13.869176,13.541756
Denmark,0.0820999965071678,0.0763999968767166,0.1042999997735023,0.1154000014066696,0.124499998986721,0.1124999970197677,0.1272999942302703,0.0971999987959861,0.160300001502037,0.1324999928474426,0.0705000013113021,0.1084999963641166,0.1254000067710876,0.139500007033348,0.0979000031948089,0.1092000007629394,0.0773999989032745,0.1392000019550323,0.0780000016093254,0.1441999971866607,0.1172000020742416,0.0944000035524368,0.0882999971508979,0.1022000014781951,0.1204999983310699,0.1492000073194503,0.1059999987483024,1.0797076,1.1499417,9.352781,12.8264885
Estonia,0.0813999995589256,0.0728999972343444,0.2768000066280365,0.0878000035881996,0.1071000024676323,0.0863000005483627,0.1033999994397163,0.0769999995827674,0.1072999984025955,0.1128999963402748,0.0746999979019165,0.1703999936580658,0.1128999963402748,0.1289000064134597,0.1088000014424324,0.1019999980926513,0.0775000005960464,0.1118000000715255,0.0549000017344951,0.2327000051736831,0.248099997639656,0.0650999993085861,0.0577999986708164,0.0762000009417533,0.0869000032544136,0.1116999983787536,0.066600002348423,4.3195105,9.24554,11.842382,13.067533
Croatia,0.1005999967455864,0.1108999997377395,0.1084000021219253,0.1105000004172325,0.1253000050783157,0.0929000005125999,0.1164000034332275,0.1080999970436096,0.1269000023603439,0.1794999986886978,0.0802000015974044,0.0989999994635582,0.1140000000596046,0.124499998986721,0.0869999974966049,0.1068999990820884,0.0864999964833259,0.1225000023841857,0.0604000017046928,0.2075999975204467,0.0856000036001205,0.0746000036597251,0.0648000016808509,0.0790999978780746,0.098700001835823,0.2531999945640564,0.0759000033140182,-2.9371054,2.63188,7.0189376,12.375017
Finland,0.0824000015854835,0.0803999975323677,0.1706999987363815,0.1001999974250793,0.1271000057458877,0.0847000032663345,0.1171000003814697,0.0930000022053718,0.1444000005722046,0.1168999969959259,0.0843999981880188,0.1221000030636787,0.1140000000596046,0.1324999928474426,0.0907000005245208,0.1127000004053115,0.0839999988675117,0.1429000049829483,0.0795999988913536,0.1340000033378601,0.1381999999284744,0.0938000008463859,0.0891000032424926,0.1018999963998794,0.1158000007271766,0.1410000026226043,0.1066000014543533,3.9444146,2.9018764,11.982663,13.346101
