country,Climate policy agreement,energy efficiency measures,Renewable electricity policy,energy efficiency measures,EU energy efficiency,EU energy efficiency,Climate market cooperation,c1,c2,u1,u2
Austria,0.0370999984443187,0.0410000011324882,0.0428999997675418,0.0386999994516372,0.7754999995231628,0.0308999996632337,0.0340000018477439,-87.849945,-42.82173,3.5540512,11.706638
Belgium,0.4564000070095062,0.0741000026464462,0.2363999933004379,0.0527999997138977,0.0617999993264675,0.0599999986588954,0.0586000010371208,46.474514,-113.11332,6.02304,11.935731
Bulgaria,0.0493000000715255,0.0980999991297721,0.06700000166893,0.4111000001430511,0.0855000019073486,0.2293999940156936,0.0597000010311603,-28.854542,77.72605,2.1073456,9.904188
Czechia,0.0516000017523765,0.0529000014066696,0.0709000006318092,0.0640000030398368,0.0612999983131885,0.6330999732017517,0.066100001335144,23.008963,80.97807,2.3594563,9.557714
Cyprus,0.0511999987065792,0.1428000032901764,0.0732000023126602,0.1885000020265579,0.3914999961853027,0.0865999981760978,0.0662000030279159,-69.31993,-15.950745,3.269527,11.433864
Germany,0.1000000014901161,0.0540999993681907,0.0612999983131885,0.0564000010490417,0.0742999985814094,0.0450000017881393,0.6089000105857849,110.7143,8.039532,5.3266106,9.063088
Denmark,0.4805000126361847,0.0728000029921531,0.0671999976038932,0.0763000026345253,0.0740000009536743,0.0698999986052513,0.1592999994754791,88.97086,-88.099075,6.954571,11.993114
Estonia,0.0703999996185302,0.0935000032186508,0.1014999970793724,0.1228000000119209,0.0991000011563301,0.1164000034332275,0.3964000046253204,71.729034,3.87149,5.253346,9.4443245
Croatia,0.0266999993473291,0.0399000011384487,0.0333000011742115,0.7972999811172485,0.0410000011324882,0.0328000001609325,0.0289999991655349,-30.23189,112.69284,1.8482646,10.276439
Finland,0.0734999999403953,0.0737000033259391,0.0811000019311904,0.0759000033140182,0.0680000036954879,0.0700000002980232,0.557699978351593,93.767845,31.027548,4.964797,9.003733
France,0.0522000007331371,0.046399999409914,0.7134000062942505,0.0522999987006187,0.0557000003755092,0.0359000004827976,0.0439999997615814,-32.865974,-113.485275,4.892863,11.949364
Malta,0.0860999971628189,0.1414999961853027,0.09740000218153,0.1272000074386596,0.1036999970674514,0.2901999950408935,0.153899997472763,6.4817863,34.280968,3.1583307,9.502826
Luxembourg,0.4171999990940094,0.0847000032663345,0.093199998140335,0.0992999970912933,0.1115000024437904,0.0697999969124794,0.1243999972939491,59.901962,-83.8763,6.428694,12.158587
Lithuania,0.0795999988913536,0.1483000069856643,0.099600002169609,0.1607999950647354,0.0896999984979629,0.2267999947071075,0.1950999945402145,11.243904,0.8781252,3.8909905,9.678628
Latvia,0.0667999982833862,0.1067999973893165,0.1159999966621398,0.1088000014424324,0.0891999974846839,0.1934999972581863,0.3188000023365021,42.804844,14.839191,4.5296183,9.328428
Italy,0.033900000154972,0.7591999769210815,0.0421000011265277,0.0417000018060207,0.0489999987185001,0.0403000004589557,0.0337000004947185,-113.07741,90.54007,1.6378695,10.968436
Ireland,0.5216000080108643,0.0791999995708465,0.0882999971508979,0.0829999968409538,0.0749000012874603,0.0732999965548515,0.0795999988913536,75.936615,-115.94447,6.599863,11.749322
Hungary,0.0838999971747398,0.133200004696846,0.1485999971628189,0.1979999989271164,0.1513999998569488,0.1685999929904937,0.1163000017404556,-43.081024,12.820823,3.0671792,10.682328
Greece,0.0825999975204467,0.2939000129699707,0.1319999992847442,0.1315000057220459,0.1212000027298927,0.1357000023126602,0.1030000001192092,-66.3627,39.032097,2.5237966,11.041985
Spain,0.0511999987065792,0.5252000093460083,0.1317999958992004,0.0786999985575676,0.0733999982476234,0.0829999968409538,0.0566999986767768,-94.50059,71.7234,1.9098542,11.083583
Netherlands,0.725600004196167,0.0430999994277954,0.0515000000596046,0.0388000011444091,0.0511000007390975,0.0417999997735023,0.0480000004172325,106.79688,-120.86962,6.774704,11.539434
Poland,0.0785999968647956,0.1252000033855438,0.1151999980211258,0.130400002002716,0.09740000218153,0.3600000143051147,0.093199998140335,-18.082691,-19.765427,3.7306995,10.56686
Portugal,0.0401999987661838,0.099200002849102,0.6563000082969666,0.0535000003874301,0.050000000745058,0.0575000010430812,0.0432000011205673,-54.52694,-118.78664,4.5273314,11.80545
Romania,0.0361000001430511,0.0794000029563903,0.0496999993920326,0.0632999986410141,0.0564999990165233,0.6782000064849854,0.0368999987840652,-115.77858,17.714151,2.4461224,11.479185
Sweden,0.2119999974966049,0.096400000154972,0.1099999994039535,0.0988999977707862,0.1001999974250793,0.0984999984502792,0.2840000092983246,48.2131,-23.1307,4.9365096,9.635067
Slovenia,0.0930000022053718,0.169400006532669,0.1356000006198883,0.1416999995708465,0.1074000000953674,0.1831000000238418,0.1697999984025955,-14.48143,12.858636,3.326877,10.13731
Slovakia,0.0551000013947486,0.1042999997735023,0.1433999985456466,0.2303999960422516,0.1656000018119812,0.2311999946832656,0.0700000002980232,-29.164722,42.48776,2.655846,10.319661
