,word,topic_id,importance,word_count
0,climate,0,0.02228427,2408
90,energy efficiency,3,0.019623794,2469
30,energy efficiency,1,0.0151448855,2469
31,sector,1,0.014957942,2003
150,target,5,0.014351616,1662
91,development,3,0.014047449,1820
180,climate,6,0.013423073,2408
92,measure,3,0.013104465,2374
181,market,6,0.011946726,1752
151,development,5,0.011524443,1820
182,cooperation,6,0.01151561,837
60,sector,2,0.011466716,2003
32,electricity,1,0.011333923,2338
183,electricity,6,0.011321331,2338
184,policy,6,0.011302778,1928
120,energy efficiency,4,0.011248767,2469
121,measure,4,0.011228071,2374
33,system,1,0.011194351,1539
1,policy,0,0.010724595,1928
122,electricity,4,0.010716505,2338
123,climate,4,0.0106368875,2408
93,gas,3,0.010479398,1558
152,eu,5,0.010134942,1437
153,measure,5,0.010081432,2374
154,policy,5,0.010011739,1928
34,measure,1,0.009942017,2374
94,system,3,0.009751369,1539
155,energy efficiency,5,0.009726327,2469
185,eu,6,0.009595002,1437
156,source,5,0.009474343,949
35,renewable,1,0.009288569,1834
61,renewable,2,0.00914074,1834
36,objective,1,0.009008461,884
124,austria,4,0.0090047205,320
2,agreement,0,0.00895764,440
3,government,0,0.008594439,771
37,gas,1,0.008530684,1558
38,development,1,0.008418986,1820
125,renewable,4,0.008300768,1834
62,electricity,2,0.008184865,2338
186,measure,6,0.008158373,2374
126,gas,4,0.00814466,1558
95,emission,3,0.008134453,1328
96,electricity,3,0.008105047,2338
157,electricity,5,0.008096526,2338
97,market,3,0.00796388,1752
158,czech republic,5,0.007835428,303
39,efficiency,1,0.0078206835,1105
63,policy,2,0.0078104017,1928
40,market,1,0.007770042,1752
98,sector,3,0.007708605,2003
159,res,5,0.007441049,718
127,sector,4,0.0074028266,2003
99,efficiency,3,0.0073805335,1105
160,increase,5,0.0073674023,1355
4,electricity,0,0.007235667,2338
64,supply,2,0.0071635554,958
161,market,5,0.0071130013,1752
65,measure,2,0.007089669,2374
128,increase,4,0.0070752017,1355
5,country,0,0.0070458427,775
100,building,3,0.007045106,665
162,level,5,0.0069666277,967
66,consumption,2,0.006952636,1213
67,target,2,0.0068873265,1662
187,nordic,6,0.006856847,221
6,support,0,0.006854182,1003
129,system,4,0.006817757,1539
130,integrated national energy,4,0.006811419,600
41,res,1,0.0067564948,718
101,consumption,3,0.0067214747,1213
131,market,4,0.006629222,1752
188,necp,6,0.006624736,654
102,use,3,0.0066218884,1171
163,include,5,0.0065006143,1324
103,implementation,3,0.0064851707,789
7,renewable,0,0.0064782733,1834
164,sector,5,0.0064324136,2003
189,renewable,6,0.006416888,1834
42,transport,1,0.0063763363,1045
104,project,3,0.0062072603,1015
105,increase,3,0.0061404114,1355
