country,NO&T Poland's energy sector,NO&T Climate change policy,NO&T New Climate Plan,NO&T National electricity sector investment,NO&T Electricity cost and tax,P&M Poland's energy sector,P&M Climate change policy,P&M New Climate Plan,P&M National electricity sector investment,P&M Electricity cost and tax,CS&RP Poland's energy sector,CS&RP Climate change policy,CS&RP New Climate Plan,CS&RP National electricity sector investment,CS&RP Electricity cost and tax,c1,c2,u1,u2
Austria,0.1588000059127807,0.1986999958753585,0.3574999868869781,0.1368999928236007,0.1481000036001205,0.0832000002264976,0.1067999973893165,0.682699978351593,0.0639000013470649,0.063400000333786,0.3680000007152557,0.1356000006198883,0.1328999996185302,0.1651999950408935,0.1983000040054321,-0.96405554,0.604693,2.5648153,15.513251
Belgium,0.1550000011920929,0.3472000062465668,0.1704999953508377,0.1756000071763992,0.1517000049352646,0.0432999990880489,0.8118000030517578,0.0595000013709068,0.0430999994277954,0.0423999987542629,0.1815000027418136,0.2495000064373016,0.1791000068187713,0.1986999958753585,0.1912000030279159,5.9205136,-1.2286578,1.4860096,3.363764
Bulgaria,0.1799000054597854,0.2021999955177307,0.2063000053167343,0.2193000018596649,0.1923000067472458,0.1853999942541122,0.2269999980926513,0.2345999926328659,0.1943999975919723,0.1586000025272369,0.216399997472763,0.1410000026226043,0.1246000006794929,0.1986999958753585,0.3192999958992004,1.8455623,-3.0840836,5.817895,9.58115
Czechia,0.2401999980211258,0.1968999952077865,0.1840000003576278,0.1900999993085861,0.1888000071048736,0.2869000136852264,0.2320999950170517,0.2036000043153762,0.1181999966502189,0.1591999977827072,0.1204999983310699,0.0705000013113021,0.061099998652935,0.0866999998688697,0.6610999703407288,1.3126014,-8.267035,3.9493515,10.617612
Cyprus,0.1588000059127807,0.2123000025749206,0.1782000064849853,0.3160000145435333,0.1347000002861023,0.1288000047206878,0.2619000077247619,0.2322999984025955,0.2563000023365021,0.1208000034093856,0.1791000068187713,0.125,0.1162000000476837,0.2624000012874603,0.3172999918460846,3.4689145,-4.240033,1.0873613,2.6225827
Germany,0.1720999926328659,0.2066999971866607,0.2930000126361847,0.1859000027179718,0.1421999931335449,0.0894000008702278,0.1377999931573867,0.6107000112533569,0.0888999998569488,0.0732000023126602,0.1921000033617019,0.1211000010371208,0.1190000027418136,0.2203000038862228,0.3474999964237213,-0.02916776,0.71262574,2.4885316,15.993803
Denmark,0.1852000057697296,0.2005999982357025,0.219200000166893,0.2050999999046325,0.1898999959230423,0.1824000030755996,0.1442999988794326,0.4056999981403351,0.1317999958992004,0.1358000040054321,0.201100006699562,0.123099997639656,0.1254999935626983,0.1913000047206878,0.3591000139713287,0.85252434,-1.3232795,3.8841155,11.604988
Estonia,0.181099995970726,0.2161999940872192,0.2152000069618225,0.2293999940156936,0.1580000072717666,0.1799000054597854,0.2105000019073486,0.2392999976873397,0.1965000033378601,0.1738000065088272,0.216399997472763,0.0943000018596649,0.1075000017881393,0.1178999990224838,0.4638000130653381,1.3833654,-5.9660497,4.2785797,10.915585
Croatia,0.181999996304512,0.2013999968767166,0.1895000040531158,0.2506000101566314,0.176499992609024,0.1206000000238418,0.262499988079071,0.2500999867916107,0.2335000038146972,0.1333999931812286,0.1521999984979629,0.0900000035762786,0.0860000029206276,0.1589999943971634,0.5127999782562256,1.9187059,-6.560771,4.945709,9.209079
Finland,0.1788000017404556,0.2113000005483627,0.2197999954223632,0.2152999937534332,0.1747999936342239,0.155799999833107,0.2703000009059906,0.2495000064373016,0.1820999979972839,0.1422999948263168,0.2143999934196472,0.1749999970197677,0.1608999967575073,0.2090000063180923,0.240799993276596,2.6704001,-2.1992776,0.16416451,2.2965868
