,word,topic_id,importance,word_count
90,national,3,0.015040722,1573
150,price,5,0.01432129,930
210,electricity,7,0.013506319,1322
151,electricity,5,0.013501987,1322
30,support,1,0.013378351,1426
60,system,2,0.012888252,1479
61,climate,2,0.012685888,1068
120,sector,4,0.012236979,1522
0,price,0,0.011901685,930
31,project,1,0.011372847,1327
62,plan,2,0.011359669,1191
211,national,7,0.011044627,1573
180,system,6,0.01056371,1479
1,power,0,0.010482595,448
212,sector,7,0.0103062615,1522
91,sector,3,0.010211312,1522
32,research innovation,1,0.010146662,861
2,increase,0,0.010034912,898
240,national,8,0.009987791,1573
121,system,4,0.009918217,1479
122,support,4,0.00978546,1426
63,new,2,0.009768604,1050
33,plan,1,0.009735798,1191
241,project,8,0.0096782725,1327
123,national,4,0.009428938,1573
3,fuel,0,0.009271449,645
34,transition,1,0.009185813,512
213,include,7,0.009130915,1032
181,climate,6,0.009080087,1068
64,programme,2,0.009013855,1047
242,sector,8,0.008963166,1522
4,sector,0,0.008812994,1522
152,sector,5,0.008771767,1522
124,project,4,0.008750677,1327
214,support,7,0.008446177,1426
153,gas,5,0.008437602,775
65,project,2,0.008432799,1327
35,system,1,0.008347613,1479
243,system,8,0.00830057,1479
5,source,0,0.008228661,745
154,total,5,0.008215532,606
36,business,1,0.008166044,575
244,support,8,0.008163422,1426
66,area,2,0.008071858,1120
92,plan,3,0.007956487,1191
182,plan,6,0.007952043,1191
125,electricity,4,0.007933086,1322
37,national,1,0.0078442395,1573
38,area,1,0.007780263,1120
245,electricity,8,0.0077263014,1322
93,electricity,3,0.0075518037,1322
39,policy,1,0.0075431145,777
40,climate,1,0.007485842,1068
41,european,1,0.0074837534,734
94,project,3,0.007462981,1327
42,develop,1,0.0074433284,774
6,electricity,0,0.0073968046,1322
183,support,6,0.007395406,1426
67,national,2,0.0073765405,1573
184,policy,6,0.0072994563,777
155,tax,5,0.0072395517,369
7,national,0,0.007239504,1573
8,use,0,0.0072364644,1035
185,set,6,0.007226484,801
126,use,4,0.0071626203,1035
127,include,4,0.0071398388,1032
9,poland,0,0.007132232,197
186,develop,6,0.0071114036,774
68,european,2,0.0070890277,734
215,investment,7,0.007015755,811
187,programme,6,0.007007718,1047
216,system,7,0.0070000943,1479
95,include,3,0.006996177,1032
96,new,3,0.006984159,1050
156,national,5,0.006979696,1573
188,renewable,6,0.0069705565,966
10,cost,0,0.0069523784,629
97,support,3,0.006932241,1426
128,renewable,4,0.0069239247,966
246,fund,8,0.0068990765,812
98,renewable,3,0.0068958583,966
99,investment,3,0.006874513,811
129,area,4,0.0068628364,1120
247,plan,8,0.0067883674,1191
100,system,3,0.0067513506,1479
69,sector,2,0.006654351,1522
157,support,5,0.006528661,1426
43,use,1,0.006523444,1035
189,new,6,0.0065035005,1050
70,set,2,0.0064797737,801
248,climate,8,0.006447515,1068
11,area,0,0.0063598133,1120
12,gas,0,0.006340372,775
71,measure,2,0.006332544,781
158,source,5,0.0062835636,745
159,table,5,0.0062400997,359
130,low,4,0.0062384675,679
217,fund,7,0.006150849,812
218,gas,7,0.006131625,775
101,public,3,0.0061140023,650
72,support,2,0.0061101257,1426
160,subsidy,5,0.006092785,346
219,increase,7,0.0060906396,898
190,sector,6,0.006082762,1522
220,programme,7,0.0060806763,1047
73,objective,2,0.006077137,717
102,area,3,0.006067947,1120
131,plan,4,0.0060240547,1191
132,high,4,0.005952653,541
191,national,6,0.0059207734,1573
249,new,8,0.0058497298,1050
221,renewable,7,0.005844293,966
103,fund,3,0.005840384,812
250,energy efficiency,8,0.005824514,690
192,research innovation,6,0.005775356,861
193,funding,6,0.0057519483,569
161,investment,5,0.005751159,811
251,include,8,0.005705605,1032
194,area,6,0.0057041035,1120
13,country,0,0.0057028537,444
104,measure,3,0.005695123,781
74,industry,2,0.0056819445,697
75,include,2,0.0056805992,1032
195,project,6,0.00567273,1327
222,use,7,0.0056618797,1035
14,renewable,0,0.0056324163,966
162,fuel,5,0.0055845943,645
196,use,6,0.0055816188,1035
15,system,0,0.005572497,1479
16,nuclear,0,0.005560843,304
252,area,8,0.005560231,1120
223,act,7,0.005559519,270
44,sector,1,0.005520973,1522
45,programme,1,0.0055029164,1047
105,energy efficiency,3,0.005477426,690
46,new,1,0.005440805,1050
47,set,1,0.0054336907,801
48,priority,1,0.005430013,489
133,new,4,0.005404024,1050
106,set,3,0.0053815567,801
76,use,2,0.005367339,1035
17,generation,0,0.005367326,341
18,low,0,0.0053647086,679
19,total,0,0.0053505255,606
134,climate,4,0.00534774,1068
163,natural gas,5,0.005323399,387
107,research innovation,3,0.005304253,861
108,climate,3,0.0052845757,1068
253,relate,8,0.0052573476,583
224,target,7,0.005255169,728
164,household,5,0.005245675,239
197,include,6,0.005239705,1032
225,project,7,0.005236199,1327
254,programme,8,0.005227738,1047
255,measure,8,0.0052198446,781
226,cost,7,0.0052172155,629
49,measure,1,0.0052054375,781
256,source,8,0.0052021374,745
77,promote,2,0.0051787402,564
78,implementation,2,0.00517527,525
50,industry,1,0.005154278,697
109,increase,3,0.005143667,898
257,increase,8,0.0051406804,898
258,competitiveness,8,0.0051397253,599
110,programme,3,0.0051319003,1047
111,production,3,0.0051209605,689
259,storage,8,0.005104824,664
198,production,6,0.005087799,689
51,competitiveness,1,0.0050798445,599
260,research innovation,8,0.005068046,861
20,project,0,0.00506511,1327
79,initiative,2,0.0050550126,319
199,transition,6,0.0050502406,512
80,develop,2,0.0050452836,774
165,project,5,0.005029558,1327
21,support,0,0.00502924,1426
52,eur,1,0.0050183446,346
200,target,6,0.0050173,728
261,renewable,8,0.0049893544,966
227,source,7,0.004985086,745
22,programme,0,0.0049810526,1047
135,set,4,0.0049708053,801
112,use,3,0.0049538924,1035
262,production,8,0.004946792,689
81,research innovation,2,0.004943216,861
53,level,1,0.0049419417,628
136,gas,4,0.004936751,775
228,price,7,0.0048921397,930
23,include,0,0.004881583,1032
137,programme,4,0.004877608,1047
201,objective,6,0.004874778,717
24,eu,0,0.004857856,553
25,high,0,0.0048565995,541
166,relate,5,0.004840669,583
263,public,8,0.004833039,650
229,new,7,0.004831785,1050
264,objective,8,0.0048284265,717
265,set,8,0.004828316,801
82,policy,2,0.0048277797,777
113,objective,3,0.0048259096,717
83,action,2,0.0048233205,403
202,market,6,0.0048224283,711
114,relate,3,0.004821324,583
266,market,8,0.004808946,711
267,use,8,0.004805498,1035
138,storage,4,0.0047668894,664
26,energy efficiency,0,0.004761474,690
268,investment,8,0.004719013,811
167,renewable,5,0.0047161905,966
139,cost,4,0.004708551,629
54,budget,1,0.0047006207,326
115,target,3,0.0047003045,728
140,market,4,0.004699193,711
168,supply,5,0.0046557877,393
169,production,5,0.0046518063,689
203,process,6,0.004640684,486
230,area,7,0.004634382,1120
170,new,5,0.004632016,1050
27,plant,0,0.0046207826,248
269,target,8,0.0046130405,728
28,investment,0,0.0045858724,811
55,cooperation,1,0.004585122,436
171,system,5,0.004580588,1479
56,objective,1,0.0045471117,717
231,year,7,0.004542405,536
29,figure,0,0.00452046,287
172,increase,5,0.004446121,898
232,plan,7,0.0044458164,1191
173,cost,5,0.004429669,629
174,fund,5,0.004415098,812
233,excise,7,0.0044009103,158
204,fund,6,0.0043971697,812
141,total,4,0.004381647,606
84,cooperation,2,0.0043742177,436
234,relate,7,0.004367413,583
85,public,2,0.004365083,650
175,fossil fuel,5,0.004350787,279
86,market,2,0.004333846,711
87,storage,2,0.0043336293,664
205,focus,6,0.004330747,454
57,sustainable,1,0.0043286695,413
142,investment,4,0.004328478,811
58,cluster,1,0.0042662662,150
59,include,1,0.0042584003,1032
176,czech republic,5,0.0042501665,171
143,measure,4,0.00422992,781
144,funding,4,0.004228789,569
88,target,2,0.0042020837,728
235,measure,7,0.0041965414,781
236,competitiveness,7,0.0041928873,599
237,duty,7,0.004188677,179
145,develop,4,0.0041630785,774
238,research innovation,7,0.004148964,861
146,target,4,0.004132087,728
239,company,7,0.004124419,468
89,fund,2,0.0041224556,812
206,smart,6,0.0041069216,459
177,area,5,0.0041008266,1120
147,fuel,4,0.004100551,645
148,network,4,0.004018479,555
178,number,5,0.0040139477,354
116,industry,3,0.004011605,697
149,price,4,0.0040103937,930
179,programme,5,0.0039941347,1047
117,carbon,3,0.003991384,573
118,low,3,0.0039904453,679
207,transport,6,0.003894976,582
119,company,3,0.0038569907,468
208,european,6,0.0038243206,734
209,innovative,6,0.0037173778,448
