country,Promoting electricity plans.,Electricity consumption.,National energy policy,Renewable energy sources,Wind energy potential,"transport: system, vehicle",transport policy,GHG emissions projections,Promoting electricity plans.,Electricity consumption.,National energy policy,Renewable energy sources,Wind energy potential,"transport: system, vehicle",transport policy,GHG emissions projections,Promoting electricity plans.,Electricity consumption.,National energy policy,Renewable energy sources,Wind energy potential,"transport: system, vehicle",transport policy,GHG emissions projections,c1,c2,u1,u2
Austria,0.1123000010848045,0.1622000038623809,0.1022000014781951,0.139500007033348,0.1152999997138977,0.1678999960422516,0.0917999967932701,0.1089000031352043,0.092299997806549,0.033900000154972,0.093699999153614,0.0432000011205673,0.0390000008046627,0.6177999973297119,0.0542999990284442,0.0256999991834163,0.1115999966859817,0.1406999975442886,0.1098000034689903,0.123099997639656,0.1225999966263771,0.1147999987006187,0.1118000000715255,0.1655000001192093,-34.56553,-20.677065,-11.375679,13.833842
Belgium,0.0674000009894371,0.1280999928712844,0.0644000023603439,0.0773999989032745,0.3217000067234039,0.1872999966144561,0.0577999986708164,0.0961000025272369,0.0296999998390674,0.0160000007599592,0.0219000000506639,0.0199999995529651,0.0308999996632337,0.8407999873161316,0.0211999993771314,0.0194000005722045,0.0929000005125999,0.120399996638298,0.0802000015974044,0.096900001168251,0.1870999932289123,0.0970000028610229,0.0895000025629997,0.2361000031232834,-44.539974,-19.12673,-10.864412,13.698007
Bulgaria,0.067900002002716,0.1500999927520752,0.0687000006437301,0.0997999981045723,0.0764999985694885,0.0582999996840953,0.0821999981999397,0.3964999914169311,0.1588999927043914,0.068800002336502,0.2517000138759613,0.1142000034451484,0.0710000023245811,0.0944000035524368,0.1891999989748001,0.05180000141263,0.0584999993443489,0.097300000488758,0.0555000007152557,0.0807999968528747,0.0762000009417533,0.0494000017642974,0.0666999965906143,0.515500009059906,11.419551,34.45463,9.368775,12.355969
Czechia,0.0820000022649765,0.216399997472763,0.0676999986171722,0.2281000018119812,0.0971999987959861,0.0737999975681305,0.0957000032067298,0.1391000002622604,0.0878000035881996,0.0577000007033348,0.3686000108718872,0.1759999990463256,0.0573999993503093,0.0935000032186508,0.1033999994397163,0.0555999986827373,0.0719000026583671,0.0979999974370002,0.068400003015995,0.1167000010609626,0.0829000025987625,0.065700002014637,0.0729999989271164,0.4232999980449676,-6.2336054,19.213531,-12.604915,11.784344
Cyprus,0.1212000027298927,0.2060000002384185,0.1184000000357627,0.133200004696846,0.1089999973773956,0.1037999987602233,0.099200002849102,0.1093000024557113,0.1527999937534332,0.0883999988436698,0.2017000019550323,0.1014999970793724,0.0970000028610229,0.1283999979496002,0.1368999928236007,0.093299999833107,0.1022000014781951,0.1748999953269958,0.0855000019073486,0.1158000007271766,0.1168000027537345,0.0785000026226043,0.0913000032305717,0.2349999994039535,-9.008469,-1.816832,-12.078355,11.936904
Germany,0.0920000001788139,0.2508000135421753,0.13680000603199,0.1291999965906143,0.1106000021100044,0.0970999971032142,0.0816000029444694,0.1018000021576881,0.0645999982953071,0.034400001168251,0.4607000052928924,0.0483000017702579,0.0516999997198581,0.2517000138759613,0.0582000017166137,0.0303000006824731,0.0898000001907348,0.1845999956130981,0.1001999974250793,0.1270000040531158,0.1242000013589859,0.088699996471405,0.0922000035643577,0.1932000070810318,15.565159,-13.191033,8.780175,13.087559
Denmark,0.0702999979257583,0.2775999903678894,0.1542000025510788,0.1495999991893768,0.0980999991297721,0.1102999970316886,0.0710999965667724,0.068800002336502,0.0797000005841255,0.0874999985098838,0.3892000019550323,0.0979999974370002,0.1023999974131584,0.1071000024676323,0.0794999971985817,0.0564999990165233,0.0856999978423118,0.1465000063180923,0.0879999995231628,0.1053000018000602,0.1031000018119812,0.0815000012516975,0.0910999998450279,0.2989000082015991,-11.767827,9.675111,-11.729533,12.395619
Estonia,0.0979999974370002,0.2311999946832656,0.1180000007152557,0.1185000017285347,0.1177999973297119,0.0949999988079071,0.1137000024318695,0.1079000011086463,0.0720999985933303,0.0559000000357627,0.2976999878883362,0.0694999992847442,0.068800002336502,0.1260000020265579,0.2623000144958496,0.0476000010967254,0.0804999992251396,0.1181999966502189,0.0847000032663345,0.0926999971270561,0.095499999821186,0.0876000002026557,0.092799998819828,0.3479000031948089,5.2127395,0.3750278,10.853322,11.647293
Croatia,0.1045000031590461,0.210999995470047,0.0947000011801719,0.170300006866455,0.0992999970912933,0.0887999981641769,0.1067000031471252,0.1247000023722648,0.0756999999284744,0.0203000009059906,0.0513000003993511,0.5116000175476074,0.0274000000208616,0.1123000010848045,0.181099995970726,0.0203000009059906,0.1098999977111816,0.1512999981641769,0.1045000031590461,0.1260000020265579,0.1141000017523765,0.0995000004768371,0.1114000007510185,0.1832000017166137,-9.42925,-20.01809,-12.281183,12.320866
Finland,0.0839999988675117,0.3052999973297119,0.0886000022292137,0.1271000057458877,0.1108999997377395,0.0813999995589256,0.0922000035643577,0.1106000021100044,0.1044000014662742,0.1280999928712844,0.2043000012636184,0.1578000038862228,0.0848999992012977,0.1372999995946884,0.1172999963164329,0.0658000037074089,0.0803000032901763,0.185599997639656,0.0800999999046325,0.134100005030632,0.1243999972939491,0.0828000009059906,0.0907000005245208,0.2220000028610229,-2.8592882,-8.583332,-12.377864,11.2666445
France,0.0758000016212463,0.1462000012397766,0.0844999998807907,0.1036000028252601,0.3255000114440918,0.0821999981999397,0.0747999995946884,0.1072999984025955,0.1280999928712844,0.0447999984025955,0.1289999932050705,0.0614000000059604,0.2590000033378601,0.2572000026702881,0.0782999992370605,0.0423000007867813,0.0309999994933605,0.0211999993771314,0.0245999991893768,0.0241999998688697,0.8155999779701233,0.0304000005125999,0.0271000005304813,0.025900000706315,-30.4298,4.1551814,-11.448726,13.398131
Malta,0.1005999967455864,0.1816000044345855,0.1275999993085861,0.097800001502037,0.1752000004053115,0.0904000028967857,0.0850000008940696,0.1419000029563903,0.1357000023126602,0.09009999781847,0.2409999966621399,0.0859000012278556,0.1035000011324882,0.1270000040531158,0.1058999970555305,0.1107999980449676,0.0640000030398368,0.0680999979376792,0.0631000027060508,0.0595000013709068,0.1008000001311302,0.0621999986469745,0.0644999966025352,0.5177000164985657,6.6194053,22.856474,10.584051,11.87002
Luxembourg,0.1019999980926513,0.1641999930143356,0.1035000011324882,0.1315000057220459,0.133200004696846,0.1123000010848045,0.1046999990940094,0.1486999988555908,0.088699996471405,0.0397000014781951,0.1145000010728836,0.0471000000834465,0.049600001424551,0.5663999915122986,0.0640999972820282,0.0299999993294477,0.1023000031709671,0.1474000066518783,0.1022000014781951,0.1273999959230423,0.1326999962329864,0.1045999974012374,0.1062000021338462,0.1773000061511993,-35.31766,-12.755836,-11.010798,13.340695
Lithuania,0.0833000019192695,0.2249999940395355,0.0694999992847442,0.0879999995231628,0.0984999984502792,0.0737000033259391,0.2392999976873397,0.1228000000119209,0.0296000000089406,0.0178999993950128,0.0266999993473291,0.0189999993890523,0.0216000005602836,0.0571000017225742,0.809499979019165,0.0186000000685453,0.049100000411272,0.0625,0.0476000010967254,0.0582999996840953,0.0640999972820282,0.0449000000953674,0.0874999985098838,0.5860000252723694,29.2307,20.341124,8.758076,12.517869
Italy,0.1561000049114227,0.2666999995708465,0.0724999979138374,0.1228000000119209,0.1147999987006187,0.0870999991893768,0.0746000036597251,0.1054000034928321,0.5579000115394592,0.0370000004768371,0.0738999992609024,0.0494999997317791,0.0741000026464462,0.1107999980449676,0.066600002348423,0.0302000008523464,0.1020999997854232,0.1880999952554702,0.0838999971747398,0.1167000010609626,0.1260000020265579,0.0820999965071678,0.093699999153614,0.2073999941349029,6.61352,-42.155483,10.316458,11.5908575
Ireland,0.0900000035762786,0.2113000005483627,0.1791000068187713,0.1155999973416328,0.1048000007867813,0.0940999984741211,0.0982000008225441,0.1068999990820884,0.0515000000596046,0.025399999693036,0.7321000099182129,0.0296000000089406,0.0337000004947185,0.0667999982833862,0.0368999987840652,0.0240000002086162,0.0785999968647956,0.1432999968528747,0.096000000834465,0.1063999980688095,0.1062999963760376,0.0782999992370605,0.0804999992251396,0.3106000125408172,28.160809,-11.293887,8.369297,12.430257
Hungary,0.1071000024676323,0.2114000022411346,0.1040000021457672,0.1282999962568283,0.1127000004053115,0.09740000218153,0.121299996972084,0.1177000030875206,0.1263000071048736,0.0891999974846839,0.2452999949455261,0.1046999990940094,0.0957000032067298,0.1292999982833862,0.1445000022649765,0.0649999976158142,0.0737999975681305,0.1543000042438507,0.0722000002861023,0.0979000031948089,0.1108999997377395,0.067500002682209,0.0780000016093254,0.3454000055789947,-2.1929295,5.8067265,-12.57317,10.848762
Spain,0.2047999948263168,0.1182999983429908,0.1106999963521957,0.1160999983549118,0.1001999974250793,0.1124999970197677,0.1421000063419342,0.0952999964356422,0.6287999749183655,0.0320999994874,0.0476000010967254,0.0538999997079372,0.0608000010251998,0.0749000012874603,0.0681999996304512,0.0337000004947185,0.095100000500679,0.1490000039339065,0.0672999992966651,0.1499000042676925,0.1539999991655349,0.0662999972701072,0.0780000016093254,0.2405000030994415,-0.19738726,-48.435577,-12.905706,11.051204
Netherlands,0.0998999997973442,0.1080000028014183,0.1573999971151352,0.1279000043869018,0.1280000060796737,0.2366999983787536,0.0746999979019165,0.067500002682209,0.1039000004529953,0.0768999978899955,0.1651999950408935,0.1106000021100044,0.0886000022292137,0.3188999891281128,0.0799999982118606,0.0557999983429908,0.0698999986052513,0.1497000008821487,0.0703999996185302,0.1300999969244003,0.1190000027418136,0.0754999965429306,0.067500002682209,0.317900002002716,-20.601463,-7.000264,-11.606557,12.88958
Poland,0.1107999980449676,0.1916999965906143,0.1084000021219253,0.1578000038862228,0.1039000004529953,0.0957000032067298,0.1134999990463256,0.1182999983429908,0.1096000000834465,0.0383000001311302,0.3946999907493591,0.0741000026464462,0.0498999990522861,0.122699998319149,0.1748999953269958,0.0357000008225441,0.0619000010192394,0.0898000001907348,0.061999998986721,0.0775000005960464,0.0888999998569488,0.0542000010609626,0.066100001335144,0.4997000098228454,-2.22882,27.677183,-13.017646,11.297896
Portugal,0.2657000124454498,0.1714999973773956,0.101400002837181,0.1103999987244606,0.1037999987602233,0.0979999974370002,0.0742999985814094,0.0749000012874603,0.689300000667572,0.0285000000149011,0.0496999993920326,0.0361000001430511,0.0333000011742115,0.0860000029206276,0.0507999993860721,0.026300000026822,0.120399996638298,0.1589999943971634,0.0857999995350837,0.1120000034570694,0.1036999970674514,0.0844999998807907,0.0966999977827072,0.2379000037908554,8.052852,-51.2514,9.813012,11.805706
Romania,0.0892999991774559,0.290800005197525,0.0826999992132186,0.1211000010371208,0.1061000004410743,0.0768999978899955,0.0817999988794326,0.1512999981641769,0.185599997639656,0.0800999999046325,0.1444000005722046,0.0868000015616417,0.0626000016927719,0.1671999990940094,0.2268999963998794,0.0463000014424324,0.0812999978661537,0.1776999980211258,0.0728999972343444,0.100500002503395,0.0979000031948089,0.0750999972224235,0.0834999978542327,0.3111000061035156,7.7175446,9.765842,10.3836355,12.3130245
Sweden,0.0799999982118606,0.3091999888420105,0.092799998819828,0.1416999995708465,0.1032999977469444,0.0824000015854835,0.0829000025987625,0.1077999994158744,0.069300003349781,0.0524999983608722,0.3890999853610992,0.0685999989509582,0.0524999983608722,0.2515000104904175,0.0833000019192695,0.0333999991416931,0.0640999972820282,0.3147999942302704,0.0687000006437301,0.1028999984264373,0.1133999973535537,0.0640000030398368,0.0680999979376792,0.2040999978780746,7.8449874,-17.225119,9.966299,12.199182
