country,Renewable energy sources,National gas supply,Increasing capacity,Market capacity increase,Renewable energy sources,National gas supply,Increasing capacity,Market capacity increase,Renewable energy sources,National gas supply,Increasing capacity,Market capacity increase,c1,c2,u1,u2
Austria,0.2529999911785126,0.231000006198883,0.2538999915122986,0.2621999979019165,0.231900006532669,0.2407000064849853,0.2540000081062317,0.2734000086784363,0.3759999871253967,0.2026000022888183,0.2233999967575073,0.1979999989271164,-16.83352,-12.065509,10.436993,-7.187227
Belgium,0.2226999998092651,0.2422000020742416,0.2551999986171722,0.2799000144004822,0.1895000040531158,0.2768999934196472,0.2369000017642974,0.2967000007629394,0.4036999940872192,0.182899996638298,0.2177000045776367,0.195700004696846,-0.29365677,-8.493728,8.636071,-8.133489
Bulgaria,0.2651999890804291,0.2345999926328659,0.258899986743927,0.2414000034332275,0.123599998652935,0.3433000147342682,0.2533000111579895,0.2797999978065491,0.5806000232696533,0.1309999972581863,0.1553999930620193,0.1331000030040741,14.987192,-31.53052,3.3445282,4.880673
Czechia,0.2513000071048736,0.2365999966859817,0.2888999879360199,0.2231999933719635,0.0903000012040138,0.6299999952316284,0.133200004696846,0.1464000046253204,0.3562999963760376,0.1473000049591064,0.341399997472763,0.1550000011920929,68.21762,60.151825,2.347569,7.744398
Cyprus,0.2390999943017959,0.257099986076355,0.266400009393692,0.2372999936342239,0.2082999944686889,0.3012999892234802,0.2497999966144561,0.2407000064849853,0.2939000129699707,0.2324000000953674,0.2445999979972839,0.229200005531311,-34.14241,-19.409952,11.280406,-5.988707
Germany,0.1912000030279159,0.3578999936580658,0.1933999955654144,0.2574999928474426,0.0828000009059906,0.5986999869346619,0.0961000025272369,0.2223999947309494,0.4221999943256378,0.1736000031232834,0.212799996137619,0.1914999932050705,58.16425,42.235733,2.2124586,7.3286376
Denmark,0.2879999876022339,0.2628999948501587,0.2413000017404556,0.2078000009059906,0.2285999953746795,0.2802000045776367,0.2419999986886978,0.249099999666214,0.3497999906539917,0.2057999968528747,0.2291000038385391,0.2152999937534332,-15.272917,6.157446,10.88856,-7.275304
Estonia,0.2285999953746795,0.2845000028610229,0.2412000000476837,0.2457000017166137,0.1535000056028366,0.3711000084877014,0.1863999962806701,0.289000004529953,0.3113999962806701,0.2243999987840652,0.2396000027656555,0.224600002169609,-1.4241685,34.007843,8.261279,-7.4824758
Croatia,0.1811999976634979,0.3546000123023987,0.2354000061750412,0.2287999987602234,0.2187999933958053,0.2651000022888183,0.2628999948501587,0.2533000111579895,0.3190999925136566,0.2312999963760376,0.2304999977350235,0.2189999967813491,-49.72455,-29.440536,10.7686405,-5.4193077
Finland,0.2671999931335449,0.2357999980449676,0.2450000047683715,0.2520000040531158,0.1811999976634979,0.3616000115871429,0.1982000023126602,0.2590000033378601,0.4056999981403351,0.1706999987363815,0.2352000027894973,0.1882999986410141,15.529337,8.008247,3.564962,5.3517737
France,0.2457000017166137,0.2508000135421753,0.2542999982833862,0.2492000013589859,0.2355999946594238,0.2423000037670135,0.2727000117301941,0.2495000064373016,0.2964000105857849,0.0773999989032745,0.4952999949455261,0.1308999955654144,-63.580555,2.1948128,11.13571,-5.169667
Malta,0.2369000017642974,0.2542999982833862,0.2628999948501587,0.2459000051021576,0.0810000002384185,0.7088000178337097,0.0982000008225441,0.1120000034570694,0.329800009727478,0.2216999977827072,0.2486000061035156,0.1997999995946884,53.57747,61.729343,2.4411721,7.1495285
Luxembourg,0.2460999935865402,0.2563999891281128,0.2442000061273574,0.2533999979496002,0.1863999962806701,0.3418000042438507,0.2175000011920929,0.2542000114917755,0.3382999897003174,0.2061000019311905,0.2304999977350235,0.2250999957323074,-0.041752845,16.91376,8.693161,-7.6452975
Lithuania,0.2289000004529953,0.2768999934196472,0.2642000019550323,0.230100005865097,0.1706999987363815,0.388399988412857,0.2384999990463256,0.2022999972105026,0.336899995803833,0.1903000026941299,0.2779000103473663,0.1949000060558319,15.405379,28.678051,3.5152752,5.1294856
Latvia,0.2861999869346618,0.2243999987840652,0.2484000027179718,0.2409999966621399,0.2047999948263168,0.2309000045061111,0.2678000032901764,0.2966000139713287,0.3957000076770782,0.1916999965906143,0.2189999967813491,0.1934999972581863,-29.651644,-1.4971023,11.325445,-6.450867
Italy,0.1380999982357025,0.1898999959230423,0.4485000073909759,0.2234999984502792,0.1525000035762787,0.3835000097751617,0.2248000055551529,0.2392999976873397,0.3510000109672546,0.2075999975204467,0.232800006866455,0.2085999995470047,1.8896604,59.996655,8.154732,-8.015817
Ireland,0.1916999965906143,0.3551999926567077,0.2185000032186508,0.2345999926328659,0.1727000027894973,0.3912999927997589,0.2040999978780746,0.2318000048398971,0.4702999889850616,0.1645999997854232,0.1917999982833862,0.1732999980449676,46.673347,9.333139,2.3722456,6.6785393
Hungary,0.1840000003576278,0.1348000019788742,0.1743000000715255,0.5069000124931335,0.0621999986469745,0.0649999976158142,0.0692000016570091,0.8036999702453613,0.5386999845504761,0.1128000020980835,0.150299996137619,0.1982000023126602,40.54142,-28.652723,1.9735025,6.343006
Spain,0.2822999954223633,0.2324000000953674,0.2544000148773193,0.2309000045061111,0.1215000003576278,0.4578999876976013,0.1705999970436096,0.25,0.3467000126838684,0.2245000004768371,0.2214999943971634,0.2073000073432922,26.70324,44.691166,2.866882,5.691501
