country,Energy poverty project,National Transmission Capacity,Natural gas interconnection,energy poverty project,Energy poverty project.,Renewable Energy Development,National Grid,natural gas production,Energy poverty alleviation,Energy poverty project,National Transmission Capacity,Natural gas interconnection,energy poverty project,Energy poverty project.,Renewable Energy Development,National Grid,natural gas production,Energy poverty alleviation,Energy poverty project,National Transmission Capacity,Natural gas interconnection,energy poverty project,Energy poverty project.,Renewable Energy Development,National Grid,natural gas production,Energy poverty alleviation,c1,c2,u1,u2
Austria,0.1098999977111816,0.0988999977707862,0.1187999993562698,0.1134999990463256,0.1213999986648559,0.1045000031590461,0.1156999990344047,0.1002999991178512,0.1171000003814697,0.1398999989032745,0.0808999985456466,0.1000000014901161,0.1279000043869018,0.1256999969482422,0.123999997973442,0.1017000004649162,0.0878000035881996,0.1121999993920326,0.1052000001072883,0.1149000003933906,0.1134999990463256,0.1093999966979026,0.1096000000834465,0.1075000017881393,0.1129999980330467,0.1150000020861625,0.1119000017642974,16.778042,-4.1892185,-5.4734006,10.937794
Belgium,0.1497000008821487,0.0692000016570091,0.1010999977588653,0.1147999987006187,0.1380999982357025,0.1254000067710876,0.1036999970674514,0.0820000022649765,0.1159999966621398,0.3445000052452087,0.0494999997317791,0.0604999996721744,0.0866999998688697,0.089599996805191,0.1687999963760376,0.0719000026583671,0.0612000003457069,0.0672999992966651,0.0961000025272369,0.1098000034689903,0.1080000028014183,0.1048000007867813,0.1010999977588653,0.1225000023841857,0.1159999966621398,0.12950000166893,0.1123000010848045,20.165468,-12.808109,-4.1118317,13.213142
Bulgaria,0.0958999991416931,0.1641999930143356,0.1086999997496604,0.1045999974012374,0.1028999984264373,0.0750000029802322,0.1092000007629394,0.1111000031232833,0.1283999979496002,0.3540999889373779,0.0768000036478042,0.0799999982118606,0.0807000026106834,0.0785000026226043,0.0795999988913536,0.0841000005602836,0.0724000036716461,0.0939999967813491,0.0671999976038932,0.3203000128269195,0.0874999985098838,0.0771000012755394,0.0714000016450882,0.0835999995470047,0.0873000025749206,0.1218999996781349,0.0838000029325485,7.0508566,11.796803,9.343528,5.1551843
Czechia,0.0847999975085258,0.1687999963760376,0.1057000011205673,0.1033999994397163,0.1564999967813491,0.0749000012874603,0.1059999987483024,0.0900000035762786,0.1098000034689903,0.1335999965667724,0.1310999989509582,0.0863000005483627,0.1146999970078468,0.2025000005960464,0.0737999975681305,0.0991000011563301,0.0672999992966651,0.0917000025510788,0.0465000011026859,0.5842000246047974,0.0474000014364719,0.0540999993681907,0.0524999983608722,0.0540000014007091,0.050000000745058,0.0627999976277351,0.0483999997377395,-0.29298407,8.590952,9.506181,6.593234
Cyprus,0.1204999983310699,0.0851000025868415,0.121799997985363,0.1103999987244606,0.1278000026941299,0.100500002503395,0.1108999997377395,0.0876000002026557,0.1353999972343444,0.1447000056505203,0.0882999971508979,0.1124000027775764,0.1149000003933906,0.1215000003576278,0.1015999987721443,0.1086999997496604,0.0877000018954277,0.1202000007033348,0.1035000011324882,0.1238999962806701,0.1110000014305114,0.1094999983906745,0.1084000021219253,0.1088000014424324,0.1121999993920326,0.1120999976992607,0.1106999963521957,19.669823,-3.6796782,-4.270535,12.791037
Germany,0.1052000001072883,0.0778999999165535,0.1018999963998794,0.1398999989032745,0.1256999969482422,0.0982000008225441,0.1112999990582466,0.0907000005245208,0.1492000073194503,0.181999996304512,0.0513999983668327,0.066100001335144,0.186599999666214,0.1279000043869018,0.0860999971628189,0.0847000032663345,0.067900002002716,0.1472000032663345,0.1014999970793724,0.1172999963164329,0.1105000004172325,0.1111999973654747,0.1070000007748603,0.1088000014424324,0.1150000020861625,0.1142000034451484,0.1145000010728836,15.4998045,-8.102844,-5.7512636,9.841854
Denmark,0.0917000025510788,0.0864999964833259,0.1173999980092048,0.120399996638298,0.1212000027298927,0.1133999973535537,0.1193000003695488,0.1042999997735023,0.1257999986410141,0.1247999966144561,0.0812999978661537,0.1151999980211258,0.1215000003576278,0.1282999962568283,0.1041999980807304,0.1118000000715255,0.0891000032424926,0.1237000003457069,0.0868000015616417,0.1327999979257583,0.1159999966621398,0.1026000007987022,0.0983999967575073,0.1058000028133392,0.1163000017404556,0.1325999945402145,0.1088000014424324,14.498039,-1.9336218,-5.4009542,9.605567
Estonia,0.0901999995112419,0.0869000032544136,0.1867000013589859,0.1027000024914741,0.1154000014066696,0.0945999994874,0.1155000030994415,0.0926000028848648,0.1155000030994415,0.1120999976992607,0.0855000019073486,0.1378999948501587,0.1121999993920326,0.123099997639656,0.1128000020980835,0.1107999980449676,0.09009999781847,0.1155000030994415,0.0658000037074089,0.2034000009298324,0.1682000011205673,0.0826999992132186,0.0754000023007392,0.0866999998688697,0.1084999963641166,0.1233000010251998,0.0860999971628189,13.454742,6.2556977,-4.944919,9.717614
Croatia,0.1064999997615814,0.1115000024437904,0.1159999966621398,0.1124999970197677,0.1171000003814697,0.0979999974370002,0.1141000017523765,0.1080999970436096,0.1160999983549118,0.1553999930620193,0.0886000022292137,0.1094999983906745,0.1128000020980835,0.1196999996900558,0.0948000028729438,0.1084999963641166,0.0935999974608421,0.1169999986886978,0.0692000016570091,0.182899996638298,0.1023999974131584,0.088699996471405,0.0802000015974044,0.0870999991893768,0.1072999984025955,0.1918999999761581,0.0904000028967857,9.286102,0.36911333,8.408276,5.5356812
Finland,0.0926000028848648,0.091399997472763,0.1404000073671341,0.1098999977111816,0.1247999966144561,0.0930999964475631,0.1168999969959259,0.1039000004529953,0.1269000023603439,0.1149000003933906,0.0921000018715858,0.1187999993562698,0.1162000000476837,0.1240999996662139,0.097300000488758,0.1146000027656555,0.095100000500679,0.126800000667572,0.0881000012159347,0.126800000667572,0.1211000010371208,0.1026000007987022,0.1005999967455864,0.1055999994277954,0.1155999973416328,0.1293999999761581,0.1101000010967254,17.754183,1.8934003,-5.5183573,11.993104
