country,Climate policy measures,Energy efficiency measures,Electricity sector policy,energy efficiency measures,Energy efficiency in Austria,energy efficiency measures,Electricity Cooperation Market,Czech Republic policy,Climate policy agreement,c1,c2,u1,u2
Austria,0.0399000011384487,0.0443999990820884,0.0439999997615814,0.0419999994337558,0.6833000183105469,0.0373000018298625,0.0399000011384487,0.0313000008463859,0.0379000008106231,-141.7443,-1.7746553,13.031649,-2.2063265
Belgium,0.0711999982595443,0.0685999989509582,0.1437000036239624,0.0505999997258186,0.0612000003457069,0.0544999986886978,0.067500002682209,0.070200003683567,0.4124999940395355,139.30035,12.447976,15.397262,3.712763
Bulgaria,0.0680999979376792,0.0780000016093254,0.061099998652935,0.131300002336502,0.0789000019431114,0.4133000075817108,0.0636999979615211,0.0570000000298023,0.0485000014305114,-41.627483,-119.205795,11.325708,-1.71604
Czechia,0.0570000000298023,0.0627999976277351,0.06700000166893,0.0900000035762786,0.0698999986052513,0.0820999965071678,0.0582999996840953,0.4550000131130218,0.0577999986708164,82.42184,-102.11395,9.925039,-2.4959545
Cyprus,0.0788000002503395,0.1366000026464462,0.0746999979019165,0.1677999943494796,0.2381999939680099,0.1150000020861625,0.0641999989748001,0.0720999985933303,0.052700001746416,-100.408485,-11.459558,12.493913,-2.139587
Germany,0.0562000013887882,0.0520000010728836,0.0544999986886978,0.0526000000536441,0.0690999999642372,0.0491999983787536,0.551800012588501,0.0405000001192092,0.0741999968886375,8.902403,122.68223,12.625652,-4.3174543
Denmark,0.0811000019311904,0.068400003015995,0.065600000321865,0.068400003015995,0.0706999972462654,0.067500002682209,0.1014999970793724,0.1045000031590461,0.3723999857902527,113.82186,38.23234,16.073744,3.3523424
Estonia,0.0913000032305717,0.0860999971628189,0.0926000028848648,0.1027999967336654,0.0921000018715858,0.0966999977827072,0.1803999990224838,0.1800999939441681,0.0778999999165535,15.291618,-31.246061,10.834165,-3.0651078
Croatia,0.034800000488758,0.0452999994158744,0.0359999984502792,0.7063999772071838,0.0439000017940998,0.0381999984383583,0.0333999991416931,0.031700000166893,0.0303000006824731,-98.18577,-70.956604,12.009684,-1.7682037
Finland,0.0898000001907348,0.0728999972343444,0.0800999999046325,0.0746999979019165,0.0719999969005584,0.0674000009894371,0.0979999974370002,0.3707000017166137,0.0742999985814094,44.857986,-96.717804,10.307274,-2.467004
France,0.0436999984085559,0.0507999993860721,0.6136000156402588,0.050900001078844,0.0571000017225742,0.046799998730421,0.0542999990284442,0.031599998474121,0.0511999987065792,215.4458,71.07769,15.612579,3.409946
Malta,0.0729999989271164,0.1030000001192092,0.0697999969124794,0.095499999821186,0.0768000036478042,0.1075000017881393,0.0754999965429306,0.3411000072956085,0.0577999986708164,64.12887,-66.26768,10.112563,-2.8380713
Luxembourg,0.2878000140190124,0.0653999969363212,0.0807000026106834,0.0750000029802322,0.0887999981641769,0.066100001335144,0.1403000056743621,0.0595999993383884,0.1363999992609024,39.182808,60.902164,11.852539,-4.4702644
Lithuania,0.1400000005960464,0.1062000021338462,0.0833000019192695,0.1309999972581863,0.0788000002503395,0.1288000047206878,0.1164000034332275,0.1453000009059906,0.0701000019907951,-21.912994,-19.56248,11.53882,-2.931559
Latvia,0.1036999970674514,0.0930000022053718,0.0984999984502792,0.0952000021934509,0.0807999968528747,0.1300999969244003,0.1863999962806701,0.1404000073671341,0.0719000026583671,3.8828132,7.621732,11.448548,-3.691755
Italy,0.0403000004589557,0.6682999730110168,0.0436000004410743,0.0417000018060207,0.050000000745058,0.047699999064207,0.0370000004768371,0.034800000488758,0.0364000014960765,-107.039856,103.89064,13.579063,-3.1140406
Ireland,0.0742999985814094,0.0725999996066093,0.0802000015974044,0.0705000013113021,0.0706999972462654,0.0728999972343444,0.0781000033020973,0.0846000015735626,0.3962000012397766,149.2943,44.93343,16.032667,3.47868
Hungary,0.1347000002861023,0.1062999963760376,0.1176000013947486,0.1185000017285347,0.1168999969959259,0.135000005364418,0.099600002169609,0.0983999967575073,0.0729999989271164,-54.600674,-3.3915255,12.33561,-2.8400092
Greece,0.1325999945402145,0.17739999294281,0.1058000028133392,0.1080999970436096,0.0958999991416931,0.1193000003695488,0.0921000018715858,0.0988999977707862,0.0700000002980232,-68.47978,32.604816,13.007108,-3.014624
Spain,0.099600002169609,0.2919999957084656,0.1441999971866607,0.0851999968290329,0.0825000032782554,0.1022000014781951,0.0630000010132789,0.0785000026226043,0.0527999997138977,-84.49833,69.08116,13.294626,-2.7368636
Netherlands,0.064300000667572,0.0465000011026859,0.0544999986886978,0.0412999987602233,0.0588000006973743,0.0423000007867813,0.0604999996721744,0.0505999997258186,0.5812000036239624,129.56483,78.33384,15.916645,3.7708657
Poland,0.1142000034451484,0.1033999994397163,0.1061000004410743,0.1103999987244606,0.0869000032544136,0.2241999953985214,0.0908999964594841,0.0903000012040138,0.0737000033259391,-31.776712,25.140066,12.571781,-3.4428885
Portugal,0.0560999996960163,0.0930000022053718,0.5131999850273132,0.0575999990105629,0.0546999983489513,0.0627000033855438,0.0496999993920326,0.0678000003099441,0.0452000014483928,-215.70241,-30.419775,12.9845,-1.9639509
Romania,0.0436000004410743,0.0612000003457069,0.045899998396635,0.0535999983549118,0.0494000017642974,0.628000020980835,0.0403999984264373,0.0399999991059303,0.0379999987781047,-44.38506,-152.56102,11.093018,-2.0083344
Sweden,0.1402000039815902,0.0829999968409538,0.092799998819828,0.0860999971628189,0.0861999988555908,0.0825999975204467,0.1263000071048736,0.1731999963521957,0.1297000050544738,40.34833,0.9403731,10.892826,-3.7100399
Slovenia,0.25450000166893,0.0998999997973442,0.095499999821186,0.0976999998092651,0.0844999998807907,0.0916000008583068,0.0838999971747398,0.1173999980092048,0.0749000012874603,1.1748792,57.110813,12.187183,-4.189458
Slovakia,0.0737999975681305,0.0995000004768371,0.1092000007629394,0.190200001001358,0.1203000023961067,0.1006999984383583,0.0614000000059604,0.1899999976158142,0.0548000000417232,-51.613728,-49.68878,11.742839,-2.2905269
