country,Renewable energy sources,National support system,Climate change plans,National electricity plan.,Renewable energy support,Electricity prices and sector,renewable energy transition,Electricity sector support,Renewable energy sources,National support system,Climate change plans,National electricity plan.,Renewable energy support,Electricity prices and sector,renewable energy transition,Electricity sector support,Renewable energy sources,National support system,Climate change plans,National electricity plan.,Renewable energy support,Electricity prices and sector,renewable energy transition,Electricity sector support,c1,c2,u1,u2
Austria,0.1125999987125396,0.128600001335144,0.1534000039100647,0.1121999993920326,0.123099997639656,0.1102000027894973,0.1472000032663345,0.1128000020980835,0.0789000019431114,0.1050999984145164,0.3156999945640564,0.0784000009298324,0.0975999981164932,0.0659999996423721,0.1805000007152557,0.0778999999165535,0.1761000007390976,0.1146999970078468,0.1024999991059303,0.1101000010967254,0.123999997973442,0.1349000036716461,0.1084999963641166,0.1292999982833862,-2.891865,-8.850934,8.090757,1.8775815
Belgium,0.1115999966859817,0.1444000005722046,0.1334999948740005,0.123099997639656,0.1218999996781349,0.1132000014185905,0.1372999995946884,0.1150000020861625,0.0485000014305114,0.3855000138282776,0.1544000059366226,0.0625,0.0617999993264675,0.0467000007629394,0.1863999962806701,0.0542000010609626,0.1200999990105629,0.1318999975919723,0.1243000030517578,0.1247999966144561,0.123999997973442,0.1265999972820282,0.125900000333786,0.1224000006914138,0.9815848,-7.3515677,2.1231601,-4.7099338
Bulgaria,0.1185000017285347,0.1257999986410141,0.1263999938964843,0.1274999976158142,0.1270000040531158,0.1238000020384788,0.124899998307228,0.1260000020265579,0.1191999986767768,0.127700001001358,0.1305000036954879,0.1263000071048736,0.1273999959230423,0.1198000013828277,0.1278000026941299,0.121299996972084,0.1476999968290329,0.1115000024437904,0.1036999970674514,0.123999997973442,0.1293999999761581,0.1464000046253204,0.1063999980688095,0.1309999972581863,-2.2189138,-3.8495271,5.524825,-5.7922416
Czechia,0.1342000067234039,0.1269000023603439,0.1172999963164329,0.1209999993443489,0.123999997973442,0.1264999955892563,0.1186000034213066,0.1316000074148178,0.1535000056028366,0.1387999951839447,0.1146000027656555,0.1076999977231025,0.1125999987125396,0.1198000013828277,0.1246000006794929,0.1283999979496002,0.1305000036954879,0.0763000026345253,0.0683000013232231,0.0895000025629997,0.0992999970912933,0.3454000055789947,0.0715999975800514,0.1190999969840049,-3.8783793,0.89226925,11.195131,1.2991359
Cyprus,0.1120999976992607,0.1272000074386596,0.1229000017046928,0.1477999985218048,0.1242000013589859,0.1212000027298927,0.1190999969840049,0.1254999935626983,0.1030000001192092,0.1368999928236007,0.1384000033140182,0.1427000015974044,0.1167000010609626,0.1155000030994415,0.1262000054121017,0.1206000000238418,0.1317999958992004,0.1071000024676323,0.1001999974250793,0.1370999962091446,0.1264999955892563,0.1614000052213668,0.1035000011324882,0.1324000060558319,-1.5841991,-2.6710014,4.707158,-5.5225406
Germany,0.1190000027418136,0.1289000064134597,0.1327999979257583,0.1281999945640564,0.124899998307228,0.1124999970197677,0.1345999985933303,0.1190000027418136,0.0854000002145767,0.1177000030875206,0.1909999996423721,0.1084000021219253,0.1116999983787536,0.0790999978780746,0.2170999944210052,0.0896999984979629,0.1438000053167343,0.1067000031471252,0.0970000028610229,0.1312000006437301,0.126800000667572,0.1546999961137771,0.1068999990820884,0.1330000013113021,-3.1524231,-7.0284653,8.81601,1.937873
Denmark,0.1202000007033348,0.1255999952554702,0.1264999955892563,0.124499998986721,0.1279000043869018,0.1243999972939491,0.125900000333786,0.125,0.1200999990105629,0.1172000020742416,0.1595000028610229,0.1062000021338462,0.1240999996662139,0.128600001335144,0.1324000060558319,0.1119000017642974,0.1368999928236007,0.1057000011205673,0.1009000018239021,0.1233000010251998,0.124499998986721,0.1662999987602234,0.1063999980688095,0.1360999941825866,-2.7537603,-4.6166735,7.9985404,1.3985852
Estonia,0.1190000027418136,0.1307999938726425,0.126800000667572,0.1279000043869018,0.1242000013589859,0.1200999990105629,0.124899998307228,0.1263000071048736,0.1177999973297119,0.123999997973442,0.1289999932050705,0.125,0.1238999962806701,0.1218999996781349,0.1291999965906143,0.1291999965906143,0.18469999730587,0.0956000015139579,0.088699996471405,0.1108999997377395,0.1354999989271164,0.1578000038862228,0.0926000028848648,0.1342000067234039,-3.9713259,-3.0851827,11.414792,1.4544744
Croatia,0.1198000013828277,0.1247000023722648,0.1221000030636787,0.1339000016450882,0.1266999989748001,0.1228000000119209,0.1231999993324279,0.126800000667572,0.0943000018596649,0.133200004696846,0.1437000036239624,0.1383000016212463,0.1215000003576278,0.1177999973297119,0.1307999938726425,0.1203000023961067,0.1410000026226043,0.0916000008583068,0.0835999995470047,0.1168999969959259,0.1167000010609626,0.2343000024557113,0.0869999974966049,0.1289999932050705,-4.03681,-0.42791227,11.7781315,1.6802622
Finland,0.1167000010609626,0.1269000023603439,0.1289999932050705,0.127700001001358,0.1263999938964843,0.122699998319149,0.1269000023603439,0.123599998652935,0.1077999994158744,0.1348000019788742,0.1384000033140182,0.1234000027179718,0.1211000010371208,0.1156999990344047,0.1378999948501587,0.120899997651577,0.1315000057220459,0.1204999983310699,0.1171000003814697,0.1262000054121017,0.1261000037193298,0.1342000067234039,0.1178999990224838,0.1265999972820282,-1.0164083,-5.0399957,3.7231758,-5.503339
France,0.0873999968171119,0.1436000019311905,0.1525000035762787,0.1335999965667724,0.1186999976634979,0.0995000004768371,0.1570000052452087,0.1076000034809112,0.0952999964356422,0.1824000030755996,0.1375000029802322,0.1220000013709068,0.1172000020742416,0.0846000015735626,0.1668999940156936,0.094200000166893,0.1209999993443489,0.1280999928712844,0.1265999972820282,0.1265999972820282,0.1257999986410141,0.1206000000238418,0.1282999962568283,0.1229000017046928,0.29191542,-6.7267513,2.023794,-4.849276
Malta,0.1177000030875206,0.1274999976158142,0.1234999969601631,0.1306000053882599,0.1260000020265579,0.1254000067710876,0.1224000006914138,0.1266999989748001,0.1151999980211258,0.1307000070810318,0.1260000020265579,0.1335999965667724,0.1237000003457069,0.1207000017166137,0.1254000067710876,0.1247999966144561,0.1208000034093856,0.1083000004291534,0.1079000011086463,0.12950000166893,0.1395999938249588,0.1573999971151352,0.1120999976992607,0.1243999972939491,-0.866762,-3.4823527,3.520745,-5.145238
Luxembourg,0.1204999983310699,0.1307999938726425,0.1299999952316284,0.127700001001358,0.123599998652935,0.120899997651577,0.125900000333786,0.1206000000238418,0.1093999966979026,0.1397999972105026,0.149399995803833,0.1270000040531158,0.1169999986886978,0.1084999963641166,0.1337999999523162,0.1151999980211258,0.1218999996781349,0.1221000030636787,0.1228000000119209,0.12950000166893,0.1263000071048736,0.131300002336502,0.1204999983310699,0.1255999952554702,-0.53942215,-5.5417247,2.967802,-5.0893145
Lithuania,0.1155999973416328,0.1335999965667724,0.134100005030632,0.1263999938964843,0.1177999973297119,0.1115999966859817,0.1318999975919723,0.1289999932050705,0.1159000024199485,0.131400004029274,0.1324999928474426,0.1316000074148178,0.1224000006914138,0.1190000027418136,0.1243999972939491,0.1228000000119209,0.1324999928474426,0.1096000000834465,0.1045000031590461,0.125900000333786,0.1261000037193298,0.1545999944210052,0.1063999980688095,0.1404000073671341,-1.7682285,-3.5232215,5.092935,-5.7393856
Latvia,0.121299996972084,0.1275999993085861,0.125900000333786,0.1271000057458877,0.1262000054121017,0.1225999966263771,0.125900000333786,0.1234000027179718,0.1149000003933906,0.13230000436306,0.1316000074148178,0.1271000057458877,0.1231999993324279,0.1212000027298927,0.1325999945402145,0.1171000003814697,0.120399996638298,0.1278000026941299,0.1234000027179718,0.1289000064134597,0.1269000023603439,0.1254999935626983,0.1257999986410141,0.121299996972084,-0.0044527305,-4.78073,2.5069919,-5.077238
Italy,0.1103999987244606,0.1337999999523162,0.1437000036239624,0.132200002670288,0.1307999938726425,0.0944000035524368,0.1411000043153762,0.1136000007390976,0.0970999971032142,0.1336999982595443,0.134100005030632,0.1543000042438507,0.12219999730587,0.1093000024557113,0.1271000057458877,0.12219999730587,0.1211000010371208,0.0815000012516975,0.0759000033140182,0.1569000035524368,0.1163000017404556,0.2232999950647354,0.0750999972224235,0.1499000042676925,-5.06395,-0.42373154,11.6202135,2.350004
Ireland,0.1150999963283538,0.1253000050783157,0.1344999969005584,0.1333999931812286,0.1303000003099441,0.1164999976754188,0.1230000033974647,0.1218999996781349,0.0986000001430511,0.1260000020265579,0.1436000019311905,0.1385000050067901,0.1300999969244003,0.1101000010967254,0.1340000033378601,0.1191999986767768,0.1430999934673309,0.0852999985218048,0.0882999971508979,0.124899998307228,0.1888000071048736,0.1659999936819076,0.0851999968290329,0.1184000000357627,-1.6387403,-1.1461971,5.006805,-5.3037567
Hungary,0.1216999962925911,0.1238000020384788,0.1262000054121017,0.1262000054121017,0.1260000020265579,0.1260000020265579,0.125,0.1251000016927719,0.1186000034213066,0.1347000002861023,0.1386999934911728,0.1181999966502189,0.1150999963283538,0.1196999996900558,0.1402000039815902,0.1146999970078468,0.1611000001430511,0.0908999964594841,0.0851000025868415,0.1134999990463256,0.120899997651577,0.2215999960899353,0.0878000035881996,0.1190000027418136,-3.7074895,-0.6805707,10.849867,1.484375
Spain,0.1040000021457672,0.1361999958753585,0.1932000070810318,0.123999997973442,0.1123000010848045,0.0877000018954277,0.1428000032901764,0.0996999964118003,0.0649999976158142,0.1077999994158744,0.4063999950885772,0.1000000014901161,0.0807000026106834,0.0680000036954879,0.099600002169609,0.0724999979138374,0.1237000003457069,0.1151999980211258,0.1136000007390976,0.127700001001358,0.1274999976158142,0.1324000060558319,0.1127000004053115,0.1473000049591064,-2.8237073,-9.179868,8.454152,2.050801
Netherlands,0.1076999977231025,0.1200999990105629,0.1468999981880188,0.1030000001192092,0.1092000007629394,0.0993999987840652,0.2032999992370605,0.1105000004172325,0.0878000035881996,0.0869000032544136,0.1336999982595443,0.0782999992370605,0.0881000012159347,0.0794000029563903,0.3495000004768371,0.0961999967694282,0.2038999944925308,0.0750999972224235,0.0703999996185302,0.1278000026941299,0.1053000018000602,0.1787000000476837,0.0824000015854835,0.1564999967813491,-4.252541,-6.854339,11.22184,1.8571123
Poland,0.1469999998807907,0.125900000333786,0.1230000033974647,0.1216999962925911,0.1260000020265579,0.1123000010848045,0.1204999983310699,0.123599998652935,0.2213000059127807,0.1307000070810318,0.1151999980211258,0.1010999977588653,0.1115000024437904,0.1031000018119812,0.1064999997615814,0.1106000021100044,0.7129999995231628,0.0456000007688999,0.0390000008046627,0.0408999994397163,0.0427000001072883,0.0405000001192092,0.0375999994575977,0.0406999997794628,-5.210494,-3.3974452,11.458763,2.2553957
Portugal,0.1128000020980835,0.1317999958992004,0.130400002002716,0.1288000047206878,0.1243000030517578,0.1186000034213066,0.1296000033617019,0.1237000003457069,0.0970000028610229,0.1420000046491623,0.1421999931335449,0.1358000040054321,0.1272000074386596,0.1096000000834465,0.1261000037193298,0.1200999990105629,0.1397999972105026,0.0967999994754791,0.0934000015258789,0.1209999993443489,0.1284999996423721,0.1907999962568283,0.0979999974370002,0.1316999942064285,-2.8926387,-1.7109576,8.417931,1.5767971
Romania,0.1127000004053115,0.1290999948978424,0.124899998307228,0.133200004696846,0.1288000047206878,0.1200999990105629,0.1262000054121017,0.124899998307228,0.1124000027775764,0.1334999948740005,0.1316999942064285,0.1262000054121017,0.1257999986410141,0.1184000000357627,0.1349000036716461,0.1171000003814697,0.1196999996900558,0.1151999980211258,0.1111999973654747,0.1185000017285347,0.1307999938726425,0.1534000039100647,0.1162000000476837,0.135000005364418,-1.2064394,-4.273394,4.156845,-5.4139986
Sweden,0.1177999973297119,0.1275999993085861,0.1254999935626983,0.1275999993085861,0.1251000016927719,0.1228000000119209,0.1291999965906143,0.1243999972939491,0.0883999988436698,0.1465000063180923,0.1632000058889389,0.1237000003457069,0.1136000007390976,0.1024999991059303,0.152999997138977,0.1090999990701675,0.124899998307228,0.1133999973535537,0.1062000021338462,0.1136000007390976,0.1180000007152557,0.1679999977350235,0.1206000000238418,0.1352999955415725,-1.9973727,-6.181449,5.0650787,-5.9920278
Slovenia,0.1092000007629394,0.13230000436306,0.1387999951839447,0.1280000060796737,0.1211000010371208,0.1159000024199485,0.1299999952316284,0.1246000006794929,0.1048000007867813,0.1356000006198883,0.1365000009536743,0.1299999952316284,0.1221000030636787,0.1174999997019767,0.1287000030279159,0.1247999966144561,0.170300006866455,0.1070000007748603,0.0921000018715858,0.1159000024199485,0.1216999962925911,0.164000004529953,0.0947000011801719,0.1343999952077865,-3.32475,-2.802211,9.14984,1.777725
Slovakia,0.131400004029274,0.1225999966263771,0.1103999987244606,0.13230000436306,0.124899998307228,0.1353999972343444,0.1164999976754188,0.1264999955892563,0.1234000027179718,0.1309999972581863,0.122699998319149,0.1298999935388565,0.1243000030517578,0.122699998319149,0.1221000030636787,0.123999997973442,0.1580999940633773,0.0716999992728233,0.0674000009894371,0.0861999988555908,0.0943000018596649,0.1351000070571899,0.0684999972581863,0.3186999857425689,0.37098897,-1.445941,2.4302838,-4.4762487
