country,NO&T National Electricity Plan,NO&T Electricity consumption and waste,NO&T Climate change policy,P&M National Electricity Plan,P&M Electricity consumption and waste,P&M Climate change policy,CS&RP National Electricity Plan,CS&RP Electricity consumption and waste,CS&RP Climate change policy,c1,c2,u1,u2
Austria,0.2933999896049499,0.3743000030517578,0.3323000073432922,0.1843000054359436,0.0427000001072883,0.7730000019073486,0.2746999859809875,0.4593000113964081,0.2660999894142151,-1.7420633,-11.976315,16.515274,-4.365418
Belgium,0.2273000031709671,0.4458999931812286,0.3269000053405761,0.065200001001358,0.0296999998390674,0.9050999879837036,0.2356999963521957,0.5813000202178955,0.1829999983310699,6.0496917,-14.753519,9.62234,10.464409
Bulgaria,0.1392000019550323,0.7379999756813049,0.1229000017046928,0.4544000029563904,0.1401000022888183,0.4054999947547912,0.1146999970078468,0.7918999791145325,0.093299999833107,6.8153286,11.619688,10.028236,10.755962
Czechia,0.2050999999046325,0.6137999892234802,0.181099995970726,0.2745000123977661,0.1925999969244003,0.5329999923706055,0.1546999961137771,0.7139999866485596,0.1312000006437301,5.277042,4.7646413,10.29964,9.931275
Cyprus,0.3158999979496002,0.4278999865055084,0.2561999857425689,0.3849000036716461,0.215499997138977,0.3995999991893768,0.2368000000715255,0.6049000024795532,0.1582999974489212,-0.6212428,13.591406,15.789038,-4.441479
Germany,0.2273000031709671,0.4977999925613403,0.2748999893665313,0.120399996638298,0.0649999976158142,0.8145999908447266,0.2064999938011169,0.5940999984741211,0.1993999928236007,2.839861,-11.821855,15.210582,-2.119465
Denmark,0.1611000001430511,0.4582999944686889,0.3806000053882599,0.212799996137619,0.1925999969244003,0.5946000218391418,0.1735000014305114,0.6610000133514404,0.1655000001192093,0.7383384,-2.8103235,15.175754,-3.403236
Estonia,0.2406000047922134,0.4814999997615814,0.2779000103473663,0.1528999954462051,0.1327999979257583,0.7142999768257141,0.1577000021934509,0.6615999937057495,0.1807000041007995,2.9682498,-7.2017603,15.34875,-1.7177273
Croatia,0.2603000104427337,0.517300009727478,0.2223999947309494,0.2316000014543533,0.0899000018835067,0.678600013256073,0.2590999901294708,0.5152999758720398,0.225600004196167,-1.8308767,-15.808663,16.374992,-4.8765826
Finland,0.1987999975681305,0.5985000133514404,0.2027000039815902,0.2284999936819076,0.2439000010490417,0.5274999737739563,0.1708000004291534,0.6593000292778015,0.1697999984025955,2.8709643,2.631894,15.677763,-1.9139075
France,0.3269000053405761,0.4909999966621399,0.1820999979972839,0.4991999864578247,0.0970999971032142,0.4036999940872192,0.746399998664856,0.200200006365776,0.0533999986946582,-0.30399916,19.212341,15.58597,-4.0226827
Malta,0.291700005531311,0.4880000054836273,0.2203000038862228,0.335099995136261,0.2578999996185303,0.4070000052452087,0.1450999975204467,0.7310000061988831,0.1238999962806701,0.98696464,9.991166,15.533425,-3.1216786
Luxembourg,0.2533000111579895,0.4979000091552734,0.2487999945878982,0.139500007033348,0.052700001746416,0.8077999949455261,0.248099997639656,0.520799994468689,0.231000006198883,1.8753141,-15.427218,15.677076,-2.3962889
Lithuania,0.2295999974012375,0.541100025177002,0.2293000072240829,0.1251000016927719,0.1057000011205673,0.7692999839782715,0.0957000032067298,0.8113999962806702,0.0929000005125999,9.636887,-6.091224,10.616542,10.849004
Italy,0.3713000118732452,0.4650000035762787,0.1636999994516372,0.7495999932289124,0.0513999983668327,0.1991000026464462,0.2362000048160553,0.6004999876022339,0.1632999926805496,-7.0206714,17.052168,17.953594,-4.854311
Ireland,0.2079000025987625,0.462799996137619,0.3292999863624573,0.1336999982595443,0.0526000000536441,0.8137000203132629,0.1596000045537948,0.6747999787330627,0.1656000018119812,6.0150857,-10.054313,10.28324,10.387556
