country,Public system saving,Primary energy use,Public system saving,Primary energy use,Public system saving,Primary energy use,c1,c2,u1,u2
Austria,0.3269999921321869,0.6729999780654907,0.6801999807357788,0.3197999894618988,0.2915999889373779,0.7084000110626221,-115.92476,287.64813,14.722886,5.976707
Belgium,0.4336999952793121,0.5662999749183655,0.958199977874756,0.0417999997735023,0.2368000000715255,0.7631999850273132,178.25388,32.15876,8.5880165,4.367187
Bulgaria,0.3689000010490417,0.6310999989509583,0.7731999754905701,0.2267999947071075,0.2547999918460846,0.745199978351593,-32.85081,-52.141697,5.3402305,4.1571355
Czechia,0.3321000039577484,0.667900025844574,0.784500002861023,0.215499997138977,0.19480000436306,0.8051999807357788,60.96132,-211.51593,8.310937,2.6137857
Cyprus,0.3652999997138977,0.6347000002861023,0.8327999711036682,0.1671999990940094,0.2745000123977661,0.7254999876022339,18.91862,31.897554,6.9489803,2.9279683
Germany,0.3869999945163727,0.6129999756813049,0.8411999940872192,0.1588000059127807,0.3371999859809875,0.6628000140190125,13.18882,108.667076,6.7050176,2.6742487
Denmark,0.3677000105381012,0.6323000192642212,0.7921000123023987,0.2079000025987625,0.2829000055789947,0.7171000242233276,-47.732487,22.982876,5.1028657,4.7823706
Estonia,0.2860000133514404,0.7139999866485596,0.71670001745224,0.2833000123500824,0.3248000144958496,0.6751999855041504,-114.14084,217.00647,15.013341,5.501516
Croatia,0.3819000124931335,0.6180999875068665,0.8999999761581421,0.1000000014901161,0.3253999948501587,0.6746000051498413,83.17198,104.07047,8.723092,3.0658355
Finland,0.3388999998569488,0.6610999703407288,0.7177000045776367,0.2822999954223633,0.390500009059906,0.609499990940094,-186.72462,160.51466,12.95161,6.728713
France,0.3310000002384186,0.6690000295639038,0.7293999791145325,0.2705999910831451,0.1588000059127807,0.8411999940872192,9.981211,-276.73334,6.5537977,3.1054013
Malta,0.325899988412857,0.6740999817848206,0.6973999738693237,0.3025999963283539,0.3440999984741211,0.6559000015258789,-180.77463,225.03665,13.05789,6.2897825
Luxembourg,0.3582000136375427,0.6417999863624573,0.7684000134468079,0.2316000014543533,0.2082999944686889,0.791700005531311,7.1874022,-175.24863,6.322834,2.986487
Lithuania,0.4700999855995178,0.5299000144004822,0.7430999875068665,0.2569000124931335,0.3977999985218048,0.6021999716758728,-195.28227,63.520683,13.026486,6.6796403
Latvia,0.4163999855518341,0.5835999846458435,0.7466999888420105,0.2533000111579895,0.2328999936580658,0.7670999765396118,-105.03918,-111.61781,14.726176,5.2231727
Italy,0.3077000081539154,0.692300021648407,0.8220999836921692,0.1779000014066696,0.1712000072002411,0.8288000226020813,122.545296,-231.48509,8.700213,3.5609872
Ireland,0.4564000070095062,0.5436000227928162,0.7976999878883362,0.2022999972105026,0.2804000079631805,0.7196000218391418,-132.36186,-25.10121,15.216787,5.8383727
Hungary,0.426800012588501,0.573199987411499,0.7114999890327454,0.2885000109672546,0.2208999991416931,0.7791000008583069,-123.090515,-173.99988,14.900997,6.2941065
Spain,0.4135999977588653,0.5863999724388123,0.879800021648407,0.1202000007033348,0.1817999929189682,0.8181999921798706,186.09079,-45.054993,8.513861,4.44957
Netherlands,0.3756999969482422,0.6243000030517578,0.7511000037193298,0.2488999962806701,0.2207999974489212,0.77920001745224,-37.397438,-133.31207,5.3107815,4.6917224
Poland,0.3747999966144562,0.6251999735832214,0.7301999926567078,0.2698000073432922,0.1645999997854232,0.8353999853134155,-47.109863,-237.91513,4.881612,4.4688296
Portugal,0.3919999897480011,0.6079999804496765,0.7954000234603882,0.2046000063419342,0.1899999976158142,0.8100000023841858,56.246544,-128.14047,7.9181056,2.643779
Romania,0.3382000029087066,0.6618000268936157,0.6962000131607056,0.3037999868392944,0.2903000116348266,0.7096999883651733,-173.64389,292.33154,13.482671,6.5837545
Sweden,0.3242999911308288,0.6757000088691711,0.7731000185012817,0.2268999963998794,0.3226000070571899,0.6773999929428101,-92.2267,142.65417,14.409022,5.499555
Slovenia,0.4440000057220459,0.5559999942779541,0.8575000166893005,0.1424999982118606,0.1641999930143356,0.8357999920845032,163.13365,-93.52054,8.493858,4.0236344
Slovakia,0.3567999899387359,0.6431999802589417,0.8583999872207642,0.1415999978780746,0.25450000166893,0.7455000281333923,75.01,15.223406,8.307763,2.9102957
