country,renewable energy sources,National gas supply,Market Capacity Development,renewable energy sources,National gas supply,Market Capacity Development,renewable energy sources,National gas supply,Market Capacity Development,c1,c2,u1,u2
Austria,0.3368000090122223,0.3131000101566314,0.3501000106334686,0.314300000667572,0.3269999921321869,0.3587000072002411,0.4566999971866607,0.2669999897480011,0.2763999998569488,23.675447,-13.499203,5.017901,6.9993224
Belgium,0.3113000094890594,0.3377000093460083,0.3508999943733215,0.2651000022888183,0.3765999972820282,0.3583999872207641,0.4914000034332275,0.241699993610382,0.2669000029563904,18.765333,-4.9700017,5.5056896,7.018407
Bulgaria,0.3474999964237213,0.3118000030517578,0.3407000005245209,0.1635999977588653,0.3702999949455261,0.4661000072956085,0.6403999924659729,0.1704999953508377,0.1889999955892563,44.378387,-1.9031653,2.8948758,7.3682923
Czechia,0.3364999890327453,0.3179999887943268,0.3454000055789947,0.1209999993443489,0.7128000259399414,0.1661999970674514,0.5095000267028809,0.2013999968767166,0.2892000079154968,-16.908255,15.953947,14.811682,-3.833312
Cyprus,0.3235999941825866,0.3402999937534332,0.3361000120639801,0.2816999852657318,0.3894999921321869,0.328900009393692,0.3824000060558319,0.307200014591217,0.3104000091552734,6.596434,-16.988901,6.9251685,6.9407277
Germany,0.2524000108242035,0.4857000112533569,0.2619000077247619,0.1090999990701675,0.7526999711990356,0.1381999999284744,0.5067999958992004,0.2305999994277954,0.2626000046730041,-26.096104,17.710285,14.796133,-4.191547
Denmark,0.3707999885082245,0.3445000052452087,0.2845999896526336,0.3079000115394592,0.3729000091552734,0.3192000091075897,0.4365000128746032,0.2720000147819519,0.2915000021457672,14.694603,-14.103356,5.9384465,6.8410773
Estonia,0.3106000125408172,0.3826999962329864,0.3066999912261963,0.2055000066757202,0.5142999887466431,0.2802000045776367,0.3964000046253204,0.3000000119209289,0.303600013256073,-5.2997212,2.9331477,13.626952,-1.6229229
Croatia,0.2466000020503997,0.4566999971866607,0.2967000007629394,0.291700005531311,0.3526000082492828,0.3556999862194061,0.4099999964237213,0.3046000003814697,0.2854000031948089,-2.5981061,-22.53081,13.647226,-1.031643
Finland,0.356000006198883,0.3176999986171722,0.3262999951839447,0.2404000014066696,0.4731999933719635,0.2863000035285949,0.5001999735832214,0.2240999937057495,0.2757000029087066,5.8172064,2.2578857,7.1815615,7.2774663
France,0.3312000036239624,0.3359000086784363,0.3328999876976013,0.3395000100135803,0.3260999917984009,0.3343000113964081,0.6855999827384949,0.1199999973177909,0.1943999975919723,51.27577,-11.509214,2.500791,6.980794
Malta,0.3222000002861023,0.3282000124454498,0.3495999872684479,0.1115000024437904,0.7475000023841858,0.1410000026226043,0.4212000072002411,0.2818000018596649,0.296999990940094,-17.470247,23.800453,14.101002,-3.8647506
Luxembourg,0.3287000060081482,0.3461999893188476,0.3251000046730041,0.2526000142097473,0.4553999900817871,0.2919000089168548,0.435699999332428,0.2815999984741211,0.2827000021934509,5.162591,-6.991761,7.3694825,6.7921576
Lithuania,0.3208999931812286,0.3729000091552734,0.3061000108718872,0.2276999950408935,0.4742000102996826,0.2980999946594238,0.4489000141620636,0.2522999942302704,0.298799991607666,-2.585614,-5.100213,13.097411,-0.96234304
Latvia,0.3752000033855438,0.3012000024318695,0.3237000107765198,0.2802000045776367,0.3224999904632568,0.3973999917507171,0.4781999886035919,0.2583999931812286,0.263399988412857,28.242876,-6.1909637,4.507886,7.010012
