country,Energy poverty alleviation,Transmission projects,National interconnection plans.,project capacity network,energy poverty project,energy infrastructure,National project plans,natural gas production,Energy poverty alleviation,Transmission projects,National interconnection plans.,project capacity network,energy poverty project,energy infrastructure,National project plans,natural gas production,Energy poverty alleviation,Transmission projects,National interconnection plans.,project capacity network,energy poverty project,energy infrastructure,National project plans,natural gas production,c1,c2,u1,u2
Austria,0.125,0.1151999980211258,0.13230000436306,0.1275999993085861,0.1345999985933303,0.1198000013828277,0.1290999948978424,0.1164999976754188,0.1512999981641769,0.09740000218153,0.1168999969959259,0.1378999948501587,0.1392000019550323,0.1360999941825866,0.1168999969959259,0.1044000014662742,0.1200999990105629,0.128600001335144,0.1269000023603439,0.123599998652935,0.123999997973442,0.121799997985363,0.1271000057458877,0.1279000043869018,-4.656223,-6.5451627,4.343541,1.0603188
Belgium,0.1595000028610229,0.0865999981760978,0.1172000020742416,0.1296000033617019,0.1476999968290329,0.1396999955177307,0.1195999979972839,0.100100003182888,0.3039999902248382,0.061099998652935,0.0753000006079673,0.1046999990940094,0.1085999980568885,0.182899996638298,0.0882999971508979,0.0750999972224235,0.1111000031232833,0.1272000074386596,0.1224000006914138,0.1199000030755996,0.1173999980092048,0.1333000063896179,0.1289999932050705,0.1397999972105026,-3.0474823,-4.0256004,5.04784,1.7923939
Bulgaria,0.1111000031232833,0.1659999936819076,0.1297000050544738,0.1240999996662139,0.1202000007033348,0.0901999995112419,0.1278000026941299,0.1309999972581863,0.3382000029087066,0.0882999971508979,0.098700001835823,0.0980999991297721,0.0957000032067298,0.092799998819828,0.1009000018239021,0.0872000008821487,0.0812999978661537,0.2879999876022339,0.1067000031471252,0.0947000011801719,0.0886000022292137,0.097300000488758,0.1067000031471252,0.1366000026464462,-10.188005,-8.912708,1.19931,-0.07842047
Czechia,0.1027000024914741,0.1733999997377395,0.1251000016927719,0.1209999993443489,0.1578000038862228,0.0899000018835067,0.1221000030636787,0.1080000028014183,0.1497000008821487,0.1398999989032745,0.1079000011086463,0.1303000003099441,0.1809999942779541,0.0895000025629997,0.1167000010609626,0.0850000008940696,0.0562999993562698,0.5460000038146973,0.0612000003457069,0.06700000166893,0.0658999979496002,0.0644999966025352,0.0632999986410141,0.0759000033140182,-11.193992,-11.877477,0.87680894,-0.6967873
Cyprus,0.1378999948501587,0.1019999980926513,0.1375000029802322,0.1279000043869018,0.1414999961853027,0.1194000020623207,0.1263999938964843,0.1072999984025955,0.155699998140335,0.1048000007867813,0.1282999962568283,0.128600001335144,0.1343999952077865,0.1191999986767768,0.1233000010251998,0.1058000028133392,0.1184000000357627,0.135000005364418,0.1252000033855438,0.1238999962806701,0.123099997639656,0.1229000017046928,0.1262000054121017,0.1254000067710876,-5.5091147,-6.4272976,0.014274656,2.3104742
Germany,0.1282999962568283,0.095100000500679,0.1229000017046928,0.155799999833107,0.1430999934673309,0.1137999966740608,0.1310999989509582,0.1099999994039535,0.2161999940872192,0.064699999988079,0.0872000008821487,0.1870999932289123,0.1525000035762787,0.0989999994635582,0.1075000017881393,0.0857999995350837,0.1169999986886978,0.1303000003099441,0.1253000050783157,0.1254000067710876,0.1218999996781349,0.1230000033974647,0.1292999982833862,0.127700001001358,-4.626115,-3.8497696,3.8529303,1.2046186
Denmark,0.1086999997496604,0.1044000014662742,0.133200004696846,0.1358000040054321,0.1339000016450882,0.1282999962568283,0.1331000030040741,0.1225999966263771,0.1384000033140182,0.0988000035285949,0.1307000070810318,0.1354999989271164,0.1405999958515167,0.1211000010371208,0.1272000074386596,0.1076999977231025,0.1022000014781951,0.1430000066757202,0.1298000067472458,0.1187999993562698,0.1143999993801117,0.1199999973177909,0.1300999969244003,0.1416999995708465,-5.7144012,-8.087972,-0.5730929,1.9182174
Estonia,0.1072999984025955,0.1063999980688095,0.1777999997138977,0.1206000000238418,0.1324000060558319,0.1110000014305114,0.1316999942064285,0.1128000020980835,0.127700001001358,0.1027999967336654,0.1449999958276748,0.1269000023603439,0.1360999941825866,0.1274999976158142,0.125900000333786,0.1081999987363815,0.0803999975323677,0.2004999965429306,0.1600999981164932,0.1006999984383583,0.0934000015258789,0.1017000004649162,0.1260000020265579,0.1371999979019165,-4.4832177,-10.29185,4.402038,2.0247684
Croatia,0.1225000023841857,0.1256999969482422,0.1308999955654144,0.1265999972820282,0.1300999969244003,0.1136000007390976,0.1274999976158142,0.1231999993324279,0.1632000058889389,0.1048000007867813,0.1256999969482422,0.126800000667572,0.1339000016450882,0.1118000000715255,0.1233000010251998,0.1103999987244606,0.0832000002264976,0.1843000054359436,0.120399996638298,0.1061000004410743,0.0982000008225441,0.101000003516674,0.123099997639656,0.1836999952793121,-6.572894,-10.367973,-0.55178505,0.7597626
Finland,0.1101000010967254,0.1105000004172325,0.149399995803833,0.1265999972820282,0.1384000033140182,0.1102999970316886,0.131400004029274,0.1234000027179718,0.130400002002716,0.1088000014424324,0.1336999982595443,0.1315000057220459,0.1374000012874603,0.1142000034451484,0.1298000067472458,0.1142000034451484,0.1036999970674514,0.1391000002622604,0.1325999945402145,0.1187999993562698,0.1168999969959259,0.1199999973177909,0.1296000033617019,0.1393000036478042,-5.043066,-8.43179,1.5656471,3.1299973
