,word,topic_id,importance,word_count
0,measure,0,0.019165896,2025
210,natural gas,7,0.015358648,2079
30,transmission,1,0.013589482,1900
90,project,3,0.012102796,2362
211,capacity,7,0.011811575,2186
31,capacity,1,0.010849441,2186
32,price,1,0.010224881,2045
33,natural gas,1,0.010145709,2079
180,project,6,0.010060696,2362
212,price,7,0.009662806,2045
60,price,2,0.009452838,2045
150,development,5,0.009287132,2005
34,network,1,0.009239223,2037
213,project,7,0.009018289,2362
61,capacity,2,0.008862317,2186
35,project,1,0.008857684,2362
62,include,2,0.0087278085,1714
181,plan,6,0.008611471,1802
91,capacity,3,0.008428011,2186
182,network,6,0.008368292,2037
151,consumption,5,0.008225954,1290
183,price,6,0.008213898,2045
120,include,4,0.00817155,1714
121,project,4,0.008160673,2362
122,measure,4,0.008131493,2025
63,network,2,0.008111751,2037
92,network,3,0.008064299,2037
93,measure,3,0.007917602,2025
94,transmission,3,0.00790384,1900
184,development,6,0.007852702,2005
123,energy poverty,4,0.007837279,1335
124,capacity,4,0.00782535,2186
1,development,0,0.0076909782,2005
2,project,0,0.0075887693,2362
185,transmission,6,0.0075234296,1900
36,kv,1,0.0074992166,709
37,supply,1,0.0074400348,1634
95,plan,3,0.007427661,1802
214,supply,7,0.00739312,1634
38,increase,1,0.0073509654,1707
3,energy poverty,0,0.007333073,1335
64,natural gas,2,0.0071913395,2079
152,grid,5,0.0071443166,1033
39,national,1,0.006977011,1454
186,include,6,0.0069103763,1714
215,consumption,7,0.006899452,1290
40,year,1,0.0068974723,1264
216,network,7,0.00689343,2037
187,capacity,6,0.006804396,2186
41,include,1,0.006774945,1714
217,plan,7,0.006771924,1802
218,increase,7,0.00675894,1707
65,measure,2,0.0067495275,2025
96,development,3,0.0067263534,2005
188,natural gas,6,0.0067249397,2079
219,natural,7,0.006723721,974
220,development,7,0.0067005455,2005
42,development,1,0.0066840337,2005
66,interconnection,2,0.006599524,1309
153,new,5,0.0065955245,1450
125,development,4,0.00659244,2005
126,network,4,0.006590301,2037
67,increase,2,0.0065464727,1707
154,network,5,0.006499333,2037
97,consumer,3,0.0063414187,1461
155,natural gas,5,0.0063313227,2079
127,plan,4,0.0063105556,1802
68,project,2,0.0063061835,2362
221,transmission,7,0.006299647,1900
4,new,0,0.006268057,1450
222,source,7,0.006254806,1019
43,plan,1,0.006212188,1802
156,price,5,0.006207201,2045
69,consumer,2,0.0061811158,1461
44,interconnection,1,0.006177561,1309
98,include,3,0.006168491,1714
70,transmission,2,0.00614864,1900
223,hungarian,7,0.006066767,248
128,new,4,0.005992985,1450
99,supply,3,0.005991499,1634
189,increase,6,0.0059555206,1707
157,supply,5,0.0059534754,1634
71,national,2,0.005942047,1454
45,natural,1,0.0059324414,974
224,production,7,0.005862657,816
72,plan,2,0.00585183,1802
158,increase,5,0.005813872,1707
5,energy efficiency,0,0.005809731,492
100,price,3,0.0058069536,2045
159,year,5,0.0057902597,1264
190,national,6,0.005784189,1454
101,national,3,0.0057832436,1454
6,support,0,0.005781591,1011
225,renewable,7,0.0057471786,1154
73,eu,2,0.005704987,1079
226,power,7,0.00569233,1090
102,new,3,0.00568645,1450
160,project,5,0.0056404057,2362
103,increase,3,0.005625876,1707
191,interconnection,6,0.0056163114,1309
192,consumer,6,0.005586564,1461
227,figure,7,0.005584789,629
7,sector,0,0.0055685923,871
104,natural gas,3,0.00554051,2079
46,source,1,0.0055247606,1019
129,price,4,0.005519569,2045
193,measure,6,0.0055180914,2025
8,increase,0,0.005504986,1707
228,national,7,0.005501599,1454
161,investment,5,0.00549565,828
9,consumer,0,0.005476803,1461
162,generation,5,0.00547048,761
10,policy,0,0.0053864145,702
130,consumer,4,0.005377367,1461
163,plan,5,0.0053737047,1802
164,renewable,5,0.005372849,1154
131,natural gas,4,0.005368841,2079
229,year,7,0.005334479,1264
74,cost,2,0.005329096,1019
47,total,1,0.005274666,824
75,supply,2,0.0052688024,1634
194,supply,6,0.0052677705,1634
48,transmission system,1,0.0052507343,540
105,energy poverty,3,0.00518073,1335
11,plan,0,0.0051795477,1802
165,consumer,5,0.0050690765,1461
230,total,7,0.0050560837,824
132,renewable,4,0.005029795,1154
12,use,0,0.005024482,946
195,household,6,0.005011296,951
166,power,5,0.0049714684,1090
167,capacity,5,0.004966103,2186
49,czech republic,1,0.0049106157,345
133,supply,4,0.0048766187,1634
50,line,1,0.0048530716,894
134,support,4,0.0048090382,1011
196,level,6,0.0047929403,1088
51,distribution,1,0.0047879214,774
106,line,3,0.0047691497,894
76,development,2,0.0047518276,2005
135,increase,4,0.004750721,1707
136,level,4,0.0047379253,1088
137,provide,4,0.0047370475,948
197,power,6,0.00463929,1090
52,new,1,0.004639034,1450
168,transmission,5,0.0046177544,1900
77,infrastructure,2,0.0046136356,1123
138,european,4,0.004596316,933
169,use,5,0.0045944005,946
78,new,2,0.0045820507,1450
13,network,0,0.0045432956,2037
79,energy poverty,2,0.004541302,1335
139,area,4,0.004510407,869
231,customer,7,0.0044720233,856
140,household,4,0.0044597974,951
198,infrastructure,6,0.004453717,1123
80,year,2,0.0044364617,1264
199,area,6,0.004432507,869
170,infrastructure,5,0.004419008,1123
14,include,0,0.0044025443,1714
141,transmission,4,0.004398756,1900
107,renewable,3,0.0043899836,1154
15,promote,0,0.004379098,430
200,grid,6,0.0043766494,1033
142,eu,4,0.0043734973,1079
143,cost,4,0.004368208,1019
232,include,7,0.0043635075,1714
16,infrastructure,0,0.004343381,1123
108,year,3,0.004336384,1264
144,objective,4,0.0043354095,762
81,service,2,0.004327102,940
145,national,4,0.0043250793,1454
109,level,3,0.0043242173,1088
110,grid,3,0.004305206,1033
233,base,7,0.004302499,743
201,eu,6,0.0042848485,1079
111,interconnection,3,0.0042009135,1309
112,infrastructure,3,0.004199746,1123
202,energy poverty,6,0.004197817,1335
82,line,2,0.004183673,894
171,provide,5,0.0041796435,948
53,consumption,1,0.004178302,1290
172,storage,5,0.004175396,849
113,ensure,3,0.0041748253,926
173,france,5,0.0041409973,258
203,consumption,6,0.0041381074,1290
146,interconnection,4,0.004127257,1309
147,infrastructure,4,0.004120809,1123
148,grid,4,0.004086237,1033
17,supply,0,0.004085617,1634
18,target,0,0.0040778895,981
114,eu,3,0.0040601,1079
115,target,3,0.0040595727,981
174,include,5,0.0040536993,1714
234,hungary,7,0.0040405085,222
19,develop,0,0.0040265247,798
175,interconnection,5,0.0040168054,1309
204,new,6,0.0040128175,1450
20,national,0,0.0040120017,1454
116,support,3,0.00400132,1011
205,service,6,0.003987385,940
235,high,7,0.0039578187,682
83,natural,2,0.0039552217,974
54,consumer,1,0.003946789,1461
206,target,6,0.0039452426,981
21,provide,0,0.003925647,948
55,operator,1,0.0039238203,865
236,energy poverty,7,0.0039125048,1335
56,eu,1,0.003911216,1079
84,household,2,0.0039015976,951
176,need,5,0.003890894,743
85,sector,2,0.003890604,871
207,cost,6,0.003878157,1019
22,need,0,0.00387468,743
117,service,3,0.0038301281,940
86,level,2,0.0038277302,1088
87,use,2,0.0038224834,946
57,level,1,0.003822462,1088
149,regulation,4,0.0038196675,679
237,plant,7,0.003804743,441
238,consumer,7,0.0037937835,1461
118,power,3,0.0037918696,1090
239,import,7,0.0037894615,418
23,res,0,0.0037800302,338
177,cost,5,0.0037613383,1019
24,emission,0,0.0037563883,246
178,service,5,0.0037488425,940
25,eu,0,0.003728068,1079
26,order,0,0.0037061966,564
27,renewable,0,0.0036660153,1154
