country,Climate policy measures,Energy Efficiency,Renewable electricity policy,Energy efficiency measures,energy efficiency measures,Energy efficiency measures,EU Energy Policy,Climate policy targets,Climate policy,Austria's energy sector,c1,c2,u1,u2
Austria,0.0461999997496604,0.0489999987185001,0.0465000011026859,0.0471000000834465,0.0553999990224838,0.0438000001013278,0.0432000011205673,0.0362999998033046,0.0414000004529953,0.5910000205039978,6.4396944,-4.6654725,9.803843,5.390123
Belgium,0.0790999978780746,0.0612999983131885,0.131400004029274,0.0504000000655651,0.0494999997317791,0.0511999987065792,0.0844999998807907,0.2157000005245208,0.2104000002145767,0.0663999989628791,12.774438,-1.4837747,5.7187743,8.316423
Bulgaria,0.0744000002741813,0.0786999985575676,0.0625,0.1853999942541122,0.1116999983787536,0.2384999990463256,0.067500002682209,0.0571000017225742,0.0527999997138977,0.0715000033378601,7.1599007,-0.42690736,11.039571,6.894344
Czechia,0.0754999965429306,0.0694999992847442,0.0803999975323677,0.0956000015139579,0.0980999991297721,0.119499996304512,0.0785999968647956,0.1805000007152557,0.0901999995112419,0.1121999993920326,9.985591,-1.0265367,9.413614,8.540843
Cyprus,0.0636000037193298,0.0904000028967857,0.0635000020265579,0.0873000025749206,0.3804999887943268,0.0769999995827674,0.0582999996840953,0.0557999983429908,0.0527999997138977,0.0706999972462654,5.1781006,-0.7599502,11.112771,6.1566315
Germany,0.0892999991774559,0.0604000017046928,0.0720999985933303,0.0617000013589859,0.0590999983251094,0.0617000013589859,0.3400999903678894,0.0595000013709068,0.1178999990224838,0.0781999975442886,10.705984,-4.608133,8.045018,7.6838384
Denmark,0.0888999998569488,0.0675999969244003,0.068800002336502,0.0674000009894371,0.0671000033617019,0.066100001335144,0.1019999980926513,0.1515000015497207,0.2531000077724457,0.067500002682209,13.3141165,-1.8934903,5.0737457,8.233068
Estonia,0.0920000001788139,0.0854000002145767,0.0904000028967857,0.0982000008225441,0.1009000018239021,0.097300000488758,0.1403000056743621,0.1174999997019767,0.0888999998569488,0.0891000032424926,9.383615,-2.4834971,8.708888,7.7861753
Croatia,0.0403999984264373,0.0812000036239624,0.0425999984145164,0.559499979019165,0.0575000010430812,0.0483000017702579,0.0390000008046627,0.0364999994635582,0.0364000014960765,0.0586000010371208,8.078718,-5.496889,9.281934,5.5650144
Finland,0.1041999980807304,0.0747999995946884,0.0839999988675117,0.0838000029325485,0.0842999964952468,0.0759000033140182,0.1254000067710876,0.1986999958753585,0.091399997472763,0.0772999972105026,10.685817,-1.6320695,8.971378,8.73026
