country,NO&T Renewable energy sources,NO&T National Research and Innovation Plan,NO&T Climate Change Plans,NO&T Electricity sector reform,P&M Renewable energy sources,P&M National Research and Innovation Plan,P&M Climate Change Plans,P&M Electricity sector reform,CS&RP Renewable energy sources,CS&RP National Research and Innovation Plan,CS&RP Climate Change Plans,CS&RP Electricity sector reform,c1,c2,u1,u2
Austria,0.2080000042915344,0.2474000006914138,0.3562000095844269,0.188400000333786,0.1146000027656555,0.1507000029087066,0.6428999900817871,0.0917999967932701,0.3955000042915344,0.1965000033378601,0.1844999939203262,0.2234999984502792,18.4672,-171.6,11.415461,10.2637615
Belgium,0.2075999975204467,0.333400011062622,0.2467000037431717,0.2123000025749206,0.0658999979496002,0.7311000227928162,0.1358000040054321,0.0671999976038932,0.2347999960184097,0.2745000123977661,0.2391999959945678,0.2515000104904175,166.38594,44.528786,14.726436,9.031418
Bulgaria,0.2337999939918518,0.2587000131607055,0.257999986410141,0.2495000064373016,0.2309000045061111,0.2718000113964081,0.2739999890327453,0.2232999950647354,0.3055000007152557,0.1999000012874603,0.1799000054597854,0.3147000074386596,15.315805,-17.204966,10.964822,10.385982
Czechia,0.2816999852657318,0.2626000046730041,0.2316000014543533,0.2240999937057495,0.3188999891281128,0.2955999970436096,0.2232999950647354,0.1623000055551529,0.3989000022411346,0.1186999976634979,0.1011999994516372,0.3811999857425689,-21.187574,105.90985,9.188915,9.322316
Cyprus,0.2148000001907348,0.2797999978065491,0.2428999990224838,0.262499988079071,0.1816000044345855,0.3009000122547149,0.2876000106334686,0.2299000024795532,0.2594000101089477,0.1849000006914138,0.1703999936580658,0.3853000104427337,-4.200048,53.129375,9.83232,9.647176
Germany,0.2161999940872192,0.2610999941825866,0.3104000091552734,0.2123000025749206,0.124499998986721,0.1876000016927719,0.5670999884605408,0.1208000034093856,0.2653999924659729,0.1770000010728836,0.1685999929904937,0.3889000117778778,39.933506,-134.2508,12.57734,9.986393
Denmark,0.2400999963283538,0.2536999881267547,0.2657999992370605,0.2405000030994415,0.2240999937057495,0.2027000039815902,0.4004000127315521,0.1727000027894973,0.2894999980926513,0.1826000064611435,0.1780000030994415,0.3499000072479248,25.403471,-73.180786,11.818088,10.363328
Estonia,0.2301999926567077,0.2728999853134155,0.2635999917984009,0.2333000004291534,0.2310999929904937,0.2592999935150146,0.2773000001907348,0.2322999984025955,0.3486000001430511,0.1517000049352646,0.1524000018835067,0.3472999930381775,-30.975924,-9.535173,8.612059,9.383549
Croatia,0.2353000044822693,0.2626000046730041,0.2452999949455261,0.2569000124931335,0.1723999977111816,0.2991999983787536,0.3023000061511993,0.2260999977588653,0.2460999935865402,0.1404000073671341,0.128600001335144,0.4850000143051147,-75.06614,66.92241,7.1092615,7.395448
Finland,0.2304999977350235,0.2606000006198883,0.2660999894142151,0.2427999973297119,0.2037999927997589,0.2942999899387359,0.2921000123023987,0.2097000032663345,0.2734000086784363,0.2311999946832656,0.2187000066041946,0.2766000032424927,64.398796,7.6485233,13.730196,9.470845
