country,NO&T National Energy Policy,NO&T Electricity consumption,NO&T Climate change policy,NO&T Development of res use,NO&T Renewable energy sources,P&M National Energy Policy,P&M Electricity consumption,P&M Climate change policy,P&M Development of res use,P&M Renewable energy sources,CS&RP National Energy Policy,CS&RP Electricity consumption,CS&RP Climate change policy,CS&RP Development of res use,CS&RP Renewable energy sources,c1,c2,u1,u2
Austria,0.2405000030994415,0.1449999958276748,0.1686999946832656,0.1441999971866607,0.3016999959945678,0.306300014257431,0.0119000002741813,0.6442999839782715,0.019200000911951,0.018300000578165,0.1319999992847442,0.4774999916553497,0.1108999997377395,0.1270000040531158,0.1527000069618225,-35.257206,-12.716322,0.55263937,12.611287
Belgium,0.0386999994516372,0.0603000000119209,0.161200001835823,0.0298999994993209,0.7098000049591064,0.0237000007182359,0.0126000000163912,0.9373999834060668,0.0,0.017799999564886,0.0701000019907951,0.5449000000953674,0.0645999982953071,0.0678000003099441,0.2524999976158142,-16.631054,45.763668,0.14273712,8.640057
Bulgaria,0.0507999993860721,0.7269999980926514,0.0412000007927417,0.0725999996066093,0.1083000004291534,0.3242999911308288,0.0668999999761581,0.3626999855041504,0.2027000039815902,0.0434999987483024,0.0344999991357326,0.8500999808311462,0.0273000001907348,0.0489999987185001,0.0390999987721443,-8.664893,-66.287224,0.82200396,7.6873755
Czechia,0.0357000008225441,0.0917999967932701,0.0315000005066394,0.7044000029563904,0.1366000026464462,0.0544000007212162,0.0225000008940696,0.3921000063419342,0.5090000033378601,0.0219999998807907,0.0397000014781951,0.5012999773025513,0.0355999991297721,0.3743000030517578,0.049100000411272,45.236748,-42.314285,2.3071141,3.81854
Cyprus,0.1684000045061111,0.1472000032663345,0.1142999976873397,0.2178999930620193,0.3522000014781952,0.2784999907016754,0.1518999934196472,0.3880999982357025,0.1036000028252601,0.0778999999165535,0.1000000014901161,0.612500011920929,0.0551999993622303,0.1023000031709671,0.1299999952316284,-19.611805,-24.430828,0.27957928,8.953299
Germany,0.0700000002980232,0.1396999955177307,0.1064999997615814,0.0772000029683113,0.6067000031471252,0.0403999984264373,0.0203000009059906,0.8650000095367432,0.025399999693036,0.0489000007510185,0.0680000036954879,0.4977000057697296,0.0769999995827674,0.1287000030279159,0.2285999953746795,-30.35356,36.91532,0.26422572,12.253438
Denmark,0.0423999987542629,0.0425000004470348,0.1403000056743621,0.0750000029802322,0.6998000144958496,0.0520000010728836,0.0299999993294477,0.4717999994754791,0.0526000000536441,0.3937999904155731,0.0513000003993511,0.7402999997138977,0.0520000010728836,0.0597999989986419,0.0966000035405159,21.278507,8.712493,2.1332288,4.773582
Estonia,0.0905999988317489,0.1601999998092651,0.127700001001358,0.0938000008463859,0.5277000069618225,0.0443999990820884,0.0582000017166137,0.7282999753952026,0.101000003516674,0.0680000036954879,0.0540999993681907,0.733299970626831,0.0833000019192695,0.0663999989628791,0.0630000010132789,-13.9405155,8.450605,0.61550903,8.476331
Croatia,0.088699996471405,0.1726000010967254,0.0615999996662139,0.4075999855995178,0.2694999873638153,0.0592000000178813,0.0,0.1340000033378601,0.7924000024795532,0.0,0.0979000031948089,0.5697000026702881,0.0777999982237815,0.1377999931573867,0.1167000010609626,61.48902,-41.957478,2.1438313,4.0858407
Finland,0.0582000017166137,0.1454000025987625,0.0582999996840953,0.121799997985363,0.6162999868392944,0.0843999981880188,0.0513999983668327,0.5041999816894531,0.1279000043869018,0.2320999950170517,0.0480000004172325,0.553600013256073,0.0542000010609626,0.120399996638298,0.223700001835823,8.775155,19.508839,1.8491384,5.419603
