country,Public system renovation,Primary energy use,energy efficiency,Public system renovation,Primary energy use,energy efficiency,Public system renovation,Primary energy use,energy efficiency,c1,c2,u1,u2
Austria,0.1325999945402145,0.679099977016449,0.1882999986410141,0.7235000133514404,0.1565999984741211,0.1199000030755996,0.1013000011444091,0.6140999794006348,0.2845999896526336,3.326192,7.5830274,18.647217,6.926715
Belgium,0.3215000033378601,0.5838000178337097,0.0948000028729438,0.964900016784668,0.0227000005543231,0.0124000003561377,0.1098999977111816,0.6534000039100647,0.2365999966859817,4.159845,41.292667,19.03895,7.0076714
Bulgaria,0.1720000058412552,0.558899998664856,0.2689999938011169,0.6100000143051147,0.0276999995112419,0.3623000085353851,0.0710000023245811,0.2229000031948089,0.7060999870300293,-0.09337213,-47.3738,-10.302664,-4.82489
Czechia,0.18469999730587,0.7373999953269958,0.0778999999165535,0.7634000182151794,0.0454000011086463,0.1913000047206878,0.0658000037074089,0.3768999874591827,0.5572999715805054,-4.6319456,-26.394968,-10.653513,-3.6719863
Cyprus,0.2971999943256378,0.5781000256538391,0.1247000023722648,0.878600001335144,0.0568999983370304,0.0644999966025352,0.0980999991297721,0.6897000074386597,0.2123000025749206,-2.7839346,35.42274,-10.233386,-4.375631
Germany,0.219200000166893,0.6535000205039978,0.1272999942302703,0.8525000214576721,0.0562999993562698,0.0913000032305717,0.1345999985933303,0.4747999906539917,0.3905999958515167,-8.339937,-7.863021,-11.667517,-2.8044825
Denmark,0.2041999995708465,0.6775000095367432,0.1182999983429908,0.8396000266075134,0.0636999979615211,0.0966999977827072,0.0986000001430511,0.5547000169754028,0.3467000126838684,-7.285306,0.56487817,-10.997967,-2.5819898
Estonia,0.1176000013947486,0.758400022983551,0.123999997973442,0.7063000202178955,0.0768999978899955,0.2168000042438507,0.1228000000119209,0.506600022315979,0.3705999851226806,11.7788925,-3.5015178,18.252935,9.052619
Croatia,0.19200000166893,0.5827000141143799,0.2252999991178512,0.873199999332428,0.0198999997228384,0.1070000007748603,0.1186999976634979,0.3844000101089477,0.4968999922275543,6.727077,-27.232794,17.616615,8.3882885
Finland,0.1988999992609024,0.6223000288009644,0.1788000017404556,0.7411999702453613,0.0872000008821487,0.1715999990701675,0.1814000010490417,0.4566999971866607,0.3619999885559082,9.316907,-14.137118,17.880562,8.78691
France,0.1441999971866607,0.7511000037193298,0.1046999990940094,0.753600001335144,0.1335999965667724,0.1128000020980835,0.0452000014483928,0.8277999758720398,0.1270000040531158,-26.033772,33.27167,-11.17824,-1.6971754
Malta,0.1623000055551529,0.6758000254631042,0.1618999987840652,0.7127000093460083,0.1615999937057495,0.1256999969482422,0.1439999938011169,0.4656000137329101,0.3903000056743622,3.374114,-8.146424,18.85014,7.2627807
Luxembourg,0.1767999976873397,0.6366000175476074,0.186599999666214,0.8205000162124634,0.1182999983429908,0.0612000003457069,0.0626000016927719,0.6159999966621399,0.321399986743927,-7.2502604,9.959744,-11.568943,-2.3375235
Lithuania,0.2786999940872192,0.3028999865055084,0.4183999896049499,0.4785000085830688,0.0412000007927417,0.4803000092506408,0.1449999958276748,0.181099995970726,0.6740000247955322,-3.6670485,-57.083824,-9.800773,-3.9356885
Latvia,0.2240000069141388,0.4661999940872192,0.3097000122070312,0.7484999895095825,0.0731000006198883,0.1783999949693679,0.0676999986171722,0.2712000012397766,0.6610999703407288,6.356213,-41.55277,18.02955,8.20444
Italy,0.1842000037431717,0.7480000257492065,0.0678000003099441,0.8550999760627747,0.1076999977231025,0.0372000001370906,0.0533999986946582,0.775600016117096,0.1709000021219253,-16.716173,34.032497,-10.75373,-1.8142262
Ireland,0.3201000094413757,0.5004000067710876,0.1794999986886978,0.8543999791145325,0.0785999968647956,0.06700000166893,0.1190999969840049,0.5684000253677368,0.3125999867916107,-4.367994,46.244473,-10.215767,-3.7318006
Hungary,0.2590999901294708,0.5317999720573425,0.209099993109703,0.7520999908447266,0.0966999977827072,0.151199996471405,0.0833000019192695,0.6988999843597412,0.2178000062704086,5.508795,28.68884,17.829525,7.6245813
Spain,0.2603999972343445,0.5906000137329102,0.1490000039339065,0.8996000289916992,0.0615000016987323,0.0388999991118907,0.0504000000655651,0.8240000009536743,0.1255999952554702,-18.957552,23.702442,-10.9271555,-1.9424311
Netherlands,0.195700004696846,0.7005000114440918,0.1036999970674514,0.7864999771118164,0.1093000024557113,0.1041999980807304,0.0751999989151954,0.6586999893188477,0.2660000026226043,-3.1225827,18.448738,-10.049399,-4.498122
Poland,0.2065999954938888,0.4435999989509582,0.3497999906539917,0.5680000185966492,0.0384999997913837,0.3935000002384186,0.034400001168251,0.126800000667572,0.8388000130653381,4.9065285,-54.575882,18.271843,7.4726944
