country,Renewable energy sources,National Oil Risk,Capacity increase,Market Regulation Act,Renewable energy sources,National Oil Risk,Capacity increase,Market Regulation Act,Renewable energy sources,National Oil Risk,Capacity increase,Market Regulation Act,c1,c2,u1,u2
Austria,0.263700008392334,0.2711000144481659,0.2169000059366226,0.2483000010251999,0.1818999946117401,0.2621000111103058,0.2624000012874603,0.2935999929904938,0.6552000045776367,0.1137999966740608,0.1220000013709068,0.1089999973773956,4.8943152,59.903492,1.4924966,19.972347
Belgium,0.1706999987363815,0.2527999877929687,0.2378000020980835,0.3388000130653381,0.0934000015258789,0.2919000089168548,0.219200000166893,0.3955999910831451,0.6847000122070312,0.1031000018119812,0.1154000014066696,0.0967999994754791,-10.414996,45.903114,1.617612,21.218456
Bulgaria,0.2845999896526336,0.2949000000953674,0.2451000064611435,0.1755000054836273,0.0573000013828277,0.5533999800682068,0.2337999939918518,0.1553999930620193,0.835099995136261,0.061099998652935,0.0553999990224838,0.0485000014305114,22.691898,5.238717,-5.1358337,-0.14100559
Czechia,0.2363000065088272,0.1435000002384185,0.3580000102519989,0.2623000144958496,0.0366999991238117,0.0546999983489513,0.0803000032901763,0.8282999992370605,0.2962999939918518,0.0531000010669231,0.5601999759674072,0.0903000012040138,76.419044,-4.346751,-3.0449412,-0.5873425
Cyprus,0.1861999928951263,0.4465999901294708,0.2141000032424926,0.1530999988317489,0.1181000024080276,0.5217999815940857,0.1817000061273574,0.1783999949693679,0.4336000084877014,0.2032999992370605,0.1997999995946884,0.1632000058889389,-27.096405,-32.28602,1.4537866,24.209743
Germany,0.1243000030517578,0.1749999970197677,0.1067999973893165,0.5939000248908997,0.0270000007003545,0.0504000000655651,0.0342999994754791,0.8883000016212463,0.699400007724762,0.0834000036120414,0.1098000034689903,0.1072999984025955,81.52615,21.680195,-2.7464342,-0.6718744
Denmark,0.2372000068426132,0.525600016117096,0.1275999993085861,0.1094999983906745,0.1580999940633773,0.51910001039505,0.161200001835823,0.1615999937057495,0.6068000197410583,0.1357000023126602,0.1375000029802322,0.1199999973177909,-37.607826,-49.554684,0.9181171,24.196896
Estonia,0.1811999976634979,0.3364999890327453,0.1931000053882599,0.2892999947071075,0.0895000025629997,0.5882999897003174,0.0799999982118606,0.2422000020742416,0.511900007724762,0.1940000057220459,0.1543000042438507,0.1398999989032745,-9.820096,-19.741251,2.0380142,21.163233
Croatia,0.1176000013947486,0.3242000043392181,0.193900004029274,0.3643999993801117,0.1722999960184097,0.356900006532669,0.243599995970726,0.2272000014781952,0.4273000061511993,0.1427000015974044,0.1994999945163726,0.2304999977350235,21.3607,-30.121504,-5.687479,-0.10692924
Finland,0.2928000092506408,0.2847000062465668,0.1986999958753585,0.2239000052213668,0.1077999994158744,0.4316000044345855,0.1014999970793724,0.3591000139713287,0.6344000101089478,0.1040000021457672,0.1701000034809112,0.0914999991655349,-2.7230244,19.772154,1.5665054,20.438961
France,0.2298000007867813,0.2316000014543533,0.277099996805191,0.2615000009536743,0.1367000043392181,0.1824000030755996,0.4580000042915344,0.2229000031948089,0.0806000009179115,0.0217000003904104,0.8694999814033508,0.0282000005245208,67.99312,-38.754414,-3.2994473,-0.4721271
Malta,0.1861999928951263,0.4196999967098236,0.2410999983549118,0.1530999988317489,0.0326999984681606,0.8557999730110168,0.0438000001013278,0.0676999986171722,0.4596000015735626,0.2269999980926513,0.2090000063180923,0.1044000014662742,-59.108498,-30.203972,0.5411265,23.912664
Luxembourg,0.2327000051736831,0.3251999914646148,0.1870999932289123,0.2549999952316284,0.1036000028252601,0.4575999975204468,0.1353999972343444,0.303299993276596,0.4553999900817871,0.1224000006914138,0.1942999958992004,0.2280000001192093,-23.392792,-8.03927,1.522033,23.343876
