,word,topic_id,importance,word_count
0,import,0,0.023401799,1090
1,production,0,0.021758204,1088
2,consumption,0,0.020930566,1086
3,source,0,0.02048077,1370
4,increase,0,0.01824712,1370
90,market,3,0.017898072,1357
60,capacity,2,0.016033085,1225
30,measure,1,0.015394532,1241
5,fuel,0,0.013637058,808
31,national,1,0.013507454,1111
6,renewable,0,0.013350979,789
32,plan,1,0.013140163,1056
61,market,2,0.011778802,1357
7,share,0,0.011601323,441
8,power,0,0.01100677,910
62,development,2,0.010162139,879
91,measure,3,0.010090985,1241
9,domestic,0,0.009885444,505
92,regulation,3,0.009814827,578
93,capacity,3,0.00975554,1225
94,plan,3,0.009477095,1056
33,project,1,0.009442754,692
63,increase,2,0.009232061,1370
10,total,0,0.009174795,396
95,gas supply,3,0.009085405,588
11,primary energy,0,0.009083654,318
12,coal,0,0.008723829,387
96,network,3,0.008663041,734
34,sector,1,0.008629633,909
13,oil,0,0.008563935,858
14,natural,0,0.008497996,785
64,storage,2,0.0082758,819
35,include,1,0.008264675,815
36,eu,1,0.008092615,583
15,plant,0,0.008013823,551
16,figure,0,0.007963174,293
97,sector,3,0.007805873,909
65,new,2,0.0077779014,604
66,source,2,0.0077492525,1370
98,act,3,0.0076264804,330
37,oil,1,0.0076153916,858
67,demand,2,0.0075481064,675
38,risk,1,0.007191354,467
99,storage,3,0.0071095126,819
100,national,3,0.0070732646,1111
101,ensure,3,0.0070342436,775
17,expect,0,0.0070169703,460
102,necessary,3,0.006948415,427
68,use,2,0.00659604,760
18,dependency,0,0.0065819123,292
69,power,2,0.0064943535,910
103,use,3,0.006476951,760
39,network,1,0.0064742975,734
19,year,0,0.00639799,584
70,ensure,2,0.006324471,775
71,term,2,0.0063134655,395
104,operator,3,0.0063128853,394
40,ensure,1,0.0062769363,775
105,security supply,3,0.0062645264,528
20,nuclear,0,0.006244309,509
72,generation,2,0.006064022,513
73,consumption,2,0.00597911,1086
21,high,0,0.0059232055,478
106,emergency,3,0.005817668,420
74,operation,2,0.005807871,426
107,level,3,0.0057868515,693
41,source,1,0.0057321945,1370
42,increase,1,0.005716883,1370
75,project,2,0.0057101715,692
108,development,3,0.0056671873,879
22,country,0,0.005632843,608
76,include,2,0.005618709,815
23,use,0,0.005597926,760
77,objective,2,0.005309696,476
109,transmission,3,0.005292188,434
43,objective,1,0.005277091,476
78,national,2,0.0052642664,1111
79,natural,2,0.005262095,785
24,decrease,0,0.0052451873,213
25,account,0,0.0052256533,257
80,level,2,0.005218787,693
81,infrastructure,2,0.005192098,554
26,scenario,0,0.0051916717,293
44,infrastructure,1,0.0050958088,554
45,storage,1,0.00505626,819
27,include,0,0.005026252,815
46,promote,1,0.004993553,235
82,need,2,0.004984267,420
83,renewable,2,0.0049727345,789
84,year,2,0.0049501588,584
47,security supply,1,0.0049409014,528
48,interconnection,1,0.0048600254,372
28,final,0,0.0048514884,187
29,resource,0,0.0048476937,404
49,regional,1,0.0048368936,401
50,level,1,0.0048360513,693
85,country,2,0.0048269304,608
110,base,3,0.0048114215,487
51,demand,1,0.0047026263,675
111,regional,3,0.004620589,401
112,increase,3,0.0045639477,1370
86,fuel,2,0.004560202,808
87,production,2,0.0044698096,1088
52,implementation,1,0.004468557,349
88,supply security,2,0.004450828,216
53,gas supply,1,0.004442854,588
54,emergency,1,0.004416892,420
55,european,1,0.0044107176,483
113,european,3,0.004375503,483
56,country,1,0.0043733628,608
89,oil,2,0.0043722475,858
114,reserve,3,0.004312195,279
57,new,1,0.0042332853,604
58,develop,1,0.004225925,363
59,power,1,0.0041181445,910
115,hungary,3,0.004114412,205
116,source,3,0.004049992,1370
117,eu,3,0.003995706,583
118,maintain,3,0.0039483816,307
119,infrastructure,3,0.00392239,554
