country,National energy policy,"energy efficiency, renewable energy, transport",Fuel prices and impact,Climate investment funds,Electricity costs,Climate investment policy,Climate Change Investment,Renewable energy policy,c1,c2,u1,u2
Austria,0.152999997138977,0.0996999964118003,0.0672999992966651,0.1102000027894973,0.0829000025987625,0.2538000047206878,0.1559000015258789,0.0772999972105026,-32.677845,-1.5840856,11.356287,4.5329533
Belgium,0.050000000745058,0.5281000137329102,0.035300001502037,0.2111999988555908,0.0493000000715255,0.0410999990999698,0.0450999997556209,0.0399999991059303,48.443325,-71.421394,8.761853,3.1766768
Bulgaria,0.0489999987185001,0.0296999998390674,0.0785000026226043,0.557699978351593,0.063799999654293,0.0835999995470047,0.0230000000447034,0.1147999987006187,29.799988,33.40949,12.495686,3.1592546
Czechia,0.8069999814033508,0.0208999998867511,0.0282000005245208,0.0401000007987022,0.0239000003784894,0.0274999998509883,0.0289999991655349,0.0234999991953372,-39.353287,90.16883,13.043296,3.9367692
Cyprus,0.018300000578165,0.0248000007122755,0.0449000000953674,0.0179999992251396,0.7681000232696533,0.0223999992012977,0.0277999993413686,0.0755999982357025,135.0041,44.586998,11.089725,1.6105187
Germany,0.0619000010192394,0.0838999971747398,0.1684000045061111,0.3695999979972839,0.0502999983727932,0.1315000057220459,0.0882000029087066,0.0463000014424324,17.27012,5.3335695,11.891921,3.261211
Denmark,0.1436000019311905,0.0617000013589859,0.0745000019669532,0.0962999984622001,0.0762000009417533,0.3357999920845032,0.1206000000238418,0.0913000032305717,-47.28292,-25.759792,10.9203,5.0183434
Estonia,0.0592000000178813,0.0273000001907348,0.034400001168251,0.1018000021576881,0.6607000231742859,0.0516000017523765,0.0370000004768371,0.0280000008642673,111.08576,55.35907,11.443275,1.8402859
Croatia,0.150299996137619,0.0883999988436698,0.0802000015974044,0.0615000016987323,0.101000003516674,0.2887000143527984,0.13680000603199,0.093299999833107,-58.71606,-0.051789448,11.688948,5.2137346
Finland,0.0408000014722347,0.0428999997675418,0.0745000019669532,0.0515000000596046,0.0732000023126602,0.603600025177002,0.0498000010848045,0.0636999979615211,-73.36362,-53.862457,10.896297,5.8854337
France,0.0489000007510185,0.1823000013828277,0.0507000014185905,0.2790000140666961,0.0668999999761581,0.1510999947786331,0.0958999991416931,0.1252000033855438,-2.5439093,-12.153704,11.086965,3.8739598
Malta,0.0207000002264976,0.0176999997347593,0.0298999994993209,0.0163000002503395,0.025399999693036,0.0168999992311,0.0196000002324581,0.8533999919891357,-11.548224,-143.59619,9.478062,4.1470823
Luxembourg,0.0522999987006187,0.5437999963760376,0.065600000321865,0.0366999991238117,0.066600002348423,0.0599000006914138,0.1133999973535537,0.0617000013589859,67.32874,-46.266018,8.40312,2.6977959
Lithuania,0.045899998396635,0.0551999993622303,0.0910999998450279,0.0706000030040741,0.6344000101089478,0.0417000018060207,0.0329000018537044,0.0282000005245208,113.175156,29.815569,10.925646,1.4855713
Latvia,0.0355000011622905,0.625,0.0685999989509582,0.0355000011622905,0.1234000027179718,0.0337000004947185,0.0373999997973442,0.0410000011324882,92.644196,-57.26517,8.639128,2.4563553
Italy,0.6861000061035156,0.0436000004410743,0.0771000012755394,0.0294000003486871,0.0392999984323978,0.0357000008225441,0.0386999994516372,0.050000000745058,-53.206196,71.09747,12.979453,4.53624
Ireland,0.0252999998629093,0.0331000015139579,0.0265999995172023,0.0509999990463256,0.0342999994754791,0.0507000014185905,0.0320000015199184,0.7470999956130981,-27.679321,-130.69803,9.718634,4.4800553
Hungary,0.0461999997496604,0.6269999742507935,0.0630000010132789,0.0331000015139579,0.0397000014781951,0.0590999983251094,0.0303000006824731,0.1014999970793724,76.1599,-80.063446,8.872359,2.785942
Greece,0.1869000047445297,0.0608999989926815,0.0680000036954879,0.3887999951839447,0.0882000029087066,0.0430999994277954,0.0961999967694282,0.0678000003099441,-1.2788879,27.853779,12.260852,3.5832512
Spain,0.1375000029802322,0.3937000036239624,0.0996999964118003,0.0645999982953071,0.0785999968647956,0.0509999990463256,0.1180000007152557,0.0568999983370304,38.68048,-41.585224,9.164333,3.2835135
Netherlands,0.0258000008761882,0.0274000000208616,0.0313000008463859,0.0285999998450279,0.0340999998152256,0.034400001168251,0.7856000065803528,0.0328000001609325,-135.95308,36.169857,12.390998,5.447412
Poland,0.0109000001102685,0.0104999998584389,0.9203000068664552,0.0115999998524785,0.013600000180304,0.0,0.0125000001862645,0.0116999996826052,-10.680945,-57.446133,10.321326,4.1129284
Portugal,0.0206000003963708,0.0197000000625848,0.0214000009000301,0.843500018119812,0.0263999998569488,0.0200999993830919,0.0243999995291233,0.0240000002086162,33.851345,61.731792,12.289771,2.7809198
Romania,0.4253000020980835,0.049100000411272,0.0432999990880489,0.2204000055789947,0.0406999997794628,0.0998999997973442,0.0362999998033046,0.0850000008940696,-32.391956,45.097187,12.592309,4.219267
Sweden,0.0368999987840652,0.0377000011503696,0.0447000004351139,0.0737000033259391,0.0460000000894069,0.6682000160217285,0.0515000000596046,0.0412999987602233,-101.71614,-51.6657,11.16963,5.700673
Slovenia,0.0474999994039535,0.0441999994218349,0.0612000003457069,0.0419000014662742,0.0472999997437,0.0320999994874,0.6908000111579895,0.0348999984562397,-114.815895,38.51507,12.588618,5.137035
Slovakia,0.0627999976277351,0.0392999984323978,0.1413999944925308,0.0469000004231929,0.0454000011086463,0.5738999843597412,0.0362999998033046,0.0540000014007091,-85.8258,-27.32992,11.528336,5.8185644
