,word,topic_id,importance,word_count
0,measure,0,0.02669023,2025
180,price,6,0.026360104,2045
210,natural gas,7,0.022058556,2079
60,natural gas,2,0.02196434,2079
120,project,4,0.0209908,2362
30,transmission,1,0.018464092,1900
61,price,2,0.014637664,2045
211,capacity,7,0.0143650845,2186
181,network,6,0.014320337,2037
31,natural gas,1,0.014163247,2079
62,interconnection,2,0.013547446,1309
32,capacity,1,0.0134934625,2186
212,price,7,0.012591652,2045
63,capacity,2,0.012264855,2186
182,household,6,0.011342074,951
240,objective,8,0.010856649,762
183,include,6,0.010790195,1714
33,kv,1,0.010646418,709
34,line,1,0.010600293,894
35,price,1,0.01054487,2045
241,project,8,0.010427289,2362
184,increase,6,0.010392151,1707
121,support,4,0.010202466,1011
90,grid,3,0.010164938,1033
91,consumption,3,0.010126117,1290
92,development,3,0.009936776,2005
213,transmission,7,0.009920073,1900
214,natural,7,0.009907594,974
215,network,7,0.009871608,2037
64,network,2,0.009830472,2037
65,natural,2,0.00977993,974
150,project,5,0.009737992,2362
66,latvia,2,0.009623365,214
36,network,1,0.009558728,2037
216,source,7,0.009544612,1019
151,plan,5,0.009400752,1802
242,energy poverty,8,0.009391001,1335
217,figure,7,0.009292725,629
185,area,6,0.009282371,869
152,consumer,5,0.009278445,1461
37,supply,1,0.009217687,1634
243,capacity,8,0.009178522,2186
38,year,1,0.009030471,1264
218,slovenia,7,0.008926987,256
219,production,7,0.008910098,816
186,plan,6,0.008909772,1802
187,eu,6,0.00883728,1079
39,development,1,0.00882714,2005
153,include,5,0.008670095,1714
40,total,1,0.008661712,824
67,transmission,2,0.008608713,1900
68,service,2,0.008597194,940
220,hungarian,7,0.008567422,248
221,supply,7,0.008550672,1634
1,energy poverty,0,0.008532209,1335
122,eu,4,0.008517433,1079
2,sector,0,0.008510739,871
69,lithuania,2,0.008396565,204
244,grid,8,0.008322195,1033
245,interconnector,8,0.008304245,512
222,development,7,0.008262941,2005
123,implementation,4,0.008208672,716
93,network,3,0.008130016,2037
70,estonia,2,0.00811147,182
124,energy poverty,4,0.008009865,1335
188,high,6,0.007968624,682
3,development,0,0.007908973,2005
125,measure,4,0.00789034,2025
246,renewable,8,0.0078847585,1154
94,new,3,0.007874984,1450
126,national,4,0.007869682,1454
127,capacity,4,0.007846756,2186
189,national,6,0.007841034,1454
71,baltic,2,0.007839954,205
247,national,8,0.0077317385,1454
190,project,6,0.007684147,2362
41,interconnection,1,0.007552242,1309
42,plan,1,0.007515496,1802
248,target,8,0.00749971,981
154,new,5,0.0073882826,1450
72,include,2,0.007386735,1714
223,year,7,0.007380963,1264
191,kwh,6,0.0073131355,187
4,support,0,0.00730661,1011
43,natural,1,0.007298966,974
155,transmission,5,0.007280337,1900
192,cost,6,0.007193202,1019
156,measure,5,0.0071840296,2025
128,european,4,0.0071756844,933
95,generation,3,0.007132769,761
96,supply,3,0.007123196,1634
249,include,8,0.0070841955,1714
73,states,2,0.006986994,267
157,development,5,0.00697768,2005
224,power,7,0.0069707693,1090
158,network,5,0.006964771,2037
44,source,1,0.0069251982,1019
129,regulation,4,0.0068164426,679
130,czech republic,4,0.0068130665,345
45,distribution,1,0.0068079256,774
46,increase,1,0.006767692,1707
5,consumer,0,0.0067550023,1461
193,year,6,0.0067401375,1264
47,national,1,0.0067218193,1454
225,customer,7,0.0067089857,856
194,ireland,6,0.006697859,227
97,renewable,3,0.006685548,1154
6,energy efficiency,0,0.006683621,492
226,consumption,7,0.006654289,1290
227,increase,7,0.0066389665,1707
7,develop,0,0.006634508,798
159,energy poverty,5,0.0066303057,1335
160,power,5,0.006596185,1090
8,new,0,0.0065923147,1450
195,consumption,6,0.0065758685,1290
250,infrastructure,8,0.006565224,1123
131,include,4,0.00655852,1714
251,increase,8,0.0065493053,1707
9,project,0,0.006506968,2362
228,hungary,7,0.0064866026,222
74,household,2,0.0064597256,951
196,capacity,6,0.006448049,2186
229,import,7,0.0064238966,418
230,plan,7,0.006392998,1802
10,use,0,0.0063725775,946
75,supply,2,0.006335136,1634
48,project,1,0.006330572,2362
98,storage,3,0.0063290126,849
11,policy,0,0.0063282154,702
76,energy poverty,2,0.00629744,1335
49,transmission system,1,0.0062588616,540
77,consumer,2,0.0062501617,1461
231,total,7,0.006247172,824
78,eu,2,0.0062467745,1079
79,mw,2,0.006231124,474
80,consumption,2,0.006189603,1290
12,promote,0,0.006183108,430
161,national,5,0.0061686016,1454
81,cost,2,0.0061627175,1019
132,plan,4,0.006159913,1802
99,service,3,0.0061423015,940
50,include,1,0.006087787,1714
197,interconnection,6,0.0060804044,1309
13,plan,0,0.0060466514,1802
232,high,7,0.0060319267,682
198,band,6,0.006031185,121
162,demand,5,0.005962016,830
82,kv,2,0.0059456415,709
163,interconnection,5,0.00590661,1309
252,level,8,0.005868412,1088
199,interconnector,6,0.005861587,512
100,need,3,0.0058608665,743
133,development,4,0.0058466378,2005
233,base,7,0.005819404,743
253,new,8,0.00581651,1450
200,transmission,6,0.0058038533,1900
51,new,1,0.0057749962,1450
234,point,7,0.0057311896,579
201,oil,6,0.0057067336,177
164,increase,5,0.0056800703,1707
235,plant,7,0.005661091,441
165,renewable,5,0.005655152,1154
166,regulation,5,0.0056434176,679
254,supply,8,0.0056219744,1634
134,level,4,0.0056127133,1088
167,infrastructure,5,0.005608215,1123
101,increase,3,0.0056040925,1707
168,implementation,5,0.005592192,716
236,renewable,7,0.005591539,1154
83,project,2,0.0055879345,2362
202,infrastructure,6,0.005555484,1123
102,provide,3,0.005555433,948
135,integration,4,0.0055431076,566
203,consumer,6,0.005540399,1461
136,republic,4,0.005519797,335
52,operator,1,0.0055059697,865
103,year,3,0.0054919487,1264
84,baltic states,2,0.0054837605,123
237,day,7,0.005444825,446
104,possible,3,0.005442567,487
255,flexibility,8,0.005426962,653
204,average,6,0.005423753,419
256,consumer,8,0.005388065,1461
14,increase,0,0.0053849397,1707
85,line,2,0.0053035566,894
86,increase,2,0.005284547,1707
87,country,2,0.005281674,619
257,measure,8,0.005266698,2025
205,development,6,0.0052568666,2005
258,generation,8,0.005251507,761
137,ensure,4,0.0052376385,926
88,fuel,2,0.0052355626,485
169,investment,5,0.0051646396,828
170,policy,5,0.005134681,702
171,ensure,5,0.0051046927,926
259,plan,8,0.0050979936,1802
260,price,8,0.0050954535,2045
138,source,4,0.005053215,1019
105,cost,3,0.005050971,1019
206,end,6,0.005032714,476
207,level,6,0.00503085,1088
261,poverty,8,0.005014998,635
262,cost,8,0.0050033145,1019
106,power,3,0.0050029503,1090
208,change,6,0.005001119,515
89,substation,2,0.0049759345,253
238,power plant,7,0.0049464614,255
139,czech,4,0.0049304343,262
172,provide,5,0.00492137,948
209,connection,6,0.0049113645,599
53,trade,1,0.004901326,313
15,flexibility,0,0.0048991484,653
263,market integration,8,0.00488204,357
173,dimension internal energy,5,0.0048649902,216
107,france,3,0.004841013,258
16,emission,0,0.004815403,246
108,plan,3,0.004795933,1802
109,use,3,0.004765658,946
54,follow,1,0.0047550253,597
55,station,1,0.0047432096,359
174,objective,5,0.0047113127,762
239,large,7,0.0046967715,292
17,aim,0,0.0046960814,591
175,support,5,0.0046935296,1011
110,capacity,3,0.004662526,2186
56,table,1,0.0046592467,443
111,particular,3,0.004653335,405
112,investment,3,0.004635189,828
18,infrastructure,0,0.0045729945,1123
176,supply,5,0.0045273933,1634
140,target,4,0.0045203213,981
264,regard,8,0.0045119813,548
177,capacity,5,0.004506613,2186
57,investment,1,0.0044999225,828
178,generation,5,0.004495141,761
141,consumer,4,0.0044838097,1461
19,target,0,0.004467212,981
179,level,5,0.0044539766,1088
265,relate,8,0.0044344184,467
142,border,4,0.004425996,595
58,border,1,0.004423244,595
20,implement,0,0.0044081095,670
21,storage,0,0.004405546,849
22,include,0,0.0043836823,1714
23,order,0,0.004355241,564
59,power,1,0.0043453164,1090
24,need,0,0.004340007,743
266,nordic,8,0.004331851,150
25,policy measure,0,0.0042799776,339
267,denmark,8,0.004258837,158
143,transmission,4,0.0042398795,1900
26,consumption,0,0.0042390195,1290
113,project,3,0.0042257765,2362
114,include,3,0.00419926,1714
144,coupling,4,0.00419129,270
145,provide,4,0.00414684,948
27,reduce,0,0.0041140947,496
268,transmission,8,0.0041127745,1900
28,res,0,0.0040563834,338
146,aim,4,0.0040361183,591
29,improve,0,0.004014698,455
269,germany,8,0.0039846757,245
147,increase,4,0.0039455886,1707
148,service,4,0.0039436915,940
115,technology,3,0.0039293906,449
149,base,4,0.0038489648,743
116,price,3,0.0037856326,2045
117,public,3,0.0037318326,298
118,consumer,3,0.003714583,1461
119,natural gas,3,0.0036854453,2079
