country,Nordic climate cooperation,Energy efficiency in transport,Renewable energy policy,Energy efficiency measures,"Climate, energy efficiency, renewables",EU energy policy,c1,c2,u1,u2
Austria,0.0179999992251396,0.0215000007301569,0.0285999998450279,0.025900000706315,0.8902999758720398,0.0159000009298324,0.9795822,3.8834481,-2.1068435,4.85409
Belgium,0.3398999869823456,0.0460000000894069,0.5156999826431274,0.0265999995172023,0.0342000015079975,0.0375999994575977,7.3692913,1.9285579,-19.93364,18.378681
Bulgaria,0.0248000007122755,0.0551999993622303,0.0381000004708766,0.7774999737739563,0.0392000004649162,0.0650999993085861,3.4148717,2.1550684,-2.8023102,5.61167
Czechia,0.025000000372529,0.0261000003665685,0.0333000011742115,0.0310999993234872,0.0342000015079975,0.8503000140190125,3.7173862,-2.840036,-4.396948,7.7753186
Cyprus,0.0298999994993209,0.44200000166893,0.0392999984323978,0.1897000074386596,0.2560000121593475,0.0432000011205673,0.87962323,1.2227471,-1.6216315,4.325185
Germany,0.6748999953269958,0.050000000745058,0.0548000000417232,0.0731000006198883,0.1076999977231025,0.0395000018179416,6.543935,4.9272456,-20.916624,17.214283
Denmark,0.7490000128746033,0.0527999997138977,0.0438000001013278,0.0588000006973743,0.0489000007510185,0.0465999990701675,6.9225183,5.34282,-20.730364,16.8713
Estonia,0.1469999998807907,0.0599999986588954,0.0991000011563301,0.0896999984979629,0.093699999153614,0.5103999972343445,3.107149,-1.1775177,-4.210529,6.5108733
Croatia,0.012699999846518,0.0218000002205371,0.0166999995708465,0.9110000133514404,0.0203000009059906,0.017400000244379,3.5393157,2.347319,-2.8076358,5.0460014
Finland,0.4955999851226806,0.0734999999403953,0.1036999970674514,0.0813999995589256,0.0601000003516674,0.1856999993324279,6.615242,3.6955667,-20.704845,18.111328
France,0.0275999996811151,0.0230000000447034,0.867900013923645,0.0379999987781047,0.0278999991714954,0.015599999576807,7.542383,0.94882435,-19.921518,18.787695
Malta,0.0384000018239021,0.0847999975085258,0.0507000014185905,0.0636999979615211,0.6517000198364258,0.1107999980449676,1.0141258,3.776353,-1.9704721,5.2145905
Luxembourg,0.6186000108718872,0.0768000036478042,0.0790000036358833,0.0948000028729438,0.0916000008583068,0.0392000004649162,7.2512083,4.2363186,-21.097013,17.86769
Lithuania,0.0513000003993511,0.1097000017762184,0.0526000000536441,0.0782999992370605,0.0516999997198581,0.656499981880188,3.6208858,-1.8699027,-4.528808,7.2271256
Latvia,0.0582999996840953,0.0557000003755092,0.0734999999403953,0.0511000007390975,0.0513000003993511,0.710099995136261,4.202819,-2.1064892,-4.7689314,7.5759864
Italy,0.0186999998986721,0.8745999932289124,0.0258000008761882,0.0264999996870756,0.0340000018477439,0.0204000007361173,-0.38048968,0.59592205,-1.2481035,4.5012093
Ireland,0.6995999813079834,0.0706999972462654,0.065600000321865,0.0649000033736229,0.0559000000357627,0.0432999990880489,7.5356216,4.6951118,-21.359837,17.505983
Hungary,0.066500000655651,0.1045000031590461,0.1218999996781349,0.4501000046730041,0.1395999938249588,0.1173999980092048,2.9810681,1.5194123,-2.5247555,5.358475
Greece,0.0524999983608722,0.6365000009536743,0.0905999988317489,0.0797000005841255,0.0606999993324279,0.0798999965190887,0.26064694,0.821545,-1.4470469,4.8404827
Spain,0.0249000005424022,0.7735999822616577,0.0832000002264976,0.0421999990940094,0.0335999988019466,0.0425000004470348,-0.19360915,0.68229795,-1.0302128,4.8788714
Netherlands,0.8489000201225281,0.0269000008702278,0.0419999994337558,0.0204000007361173,0.032999999821186,0.0287999995052814,7.6064057,5.4681735,-21.11392,16.928545
Poland,0.0553000010550022,0.1189000010490417,0.0895000025629997,0.1527999937534332,0.0571000017225742,0.5264000296592712,3.9428527,-1.0958842,-3.9544096,6.7857423
Portugal,0.0184000004082918,0.134100005030632,0.7534000277519226,0.0287999995052814,0.0275999996811151,0.0375999994575977,7.4937005,1.0435053,-20.289446,18.549397
Romania,0.0190999992191791,0.1169999986886978,0.0350000001490116,0.1146000027656555,0.0405000001192092,0.6739000082015991,3.0382385,-2.1017456,-4.1157594,7.3209467
Sweden,0.5587000250816345,0.0833000019192695,0.09009999781847,0.0693999975919723,0.0697999969124794,0.128600001335144,6.451321,4.2154336,-20.58821,17.677233
Slovenia,0.0952000021934509,0.1255999952554702,0.1265999972820282,0.0904000028967857,0.1238000020384788,0.4384999871253967,3.6260617,-0.54231614,-3.852832,6.275408
Slovakia,0.0287999995052814,0.1829999983310699,0.1032999977469444,0.1620000004768371,0.1168999969959259,0.4061000049114227,3.0386512,-0.30362642,-3.430478,6.140706
