country,NO&T Renewable energy in Poland,NO&T Climate transition research,NO&T Climate change policy,NO&T National energy efficiency,NO&T Energy subsidies,P&M Renewable energy in Poland,P&M Climate transition research,P&M Climate change policy,P&M National energy efficiency,P&M Energy subsidies,CS&RP Renewable energy in Poland,CS&RP Climate transition research,CS&RP Climate change policy,CS&RP National energy efficiency,CS&RP Energy subsidies,c1,c2,u1,u2
Austria,0.134100005030632,0.1449999958276748,0.5317000150680542,0.0791999995708465,0.1101000010967254,0.0546000003814697,0.0666999965906143,0.8188999891281128,0.0296999998390674,0.0300999991595745,0.6018999814987183,0.0745000019669532,0.0826999992132186,0.0800999999046325,0.1607999950647354,6.3443837,-3.4696815,-0.16413912,4.0096745
Belgium,0.1058000028133392,0.5001999735832214,0.1125999987125396,0.1746000051498413,0.1067000031471252,0.0222999993711709,0.8977000117301941,0.0331999994814395,0.0197999998927116,0.0271000005304813,0.1555999964475631,0.3208999931812286,0.1472000032663345,0.1759999990463256,0.2003999948501587,12.562038,1.2982504,-0.971351,9.472382
Bulgaria,0.1458999961614608,0.1997999995946884,0.1928000003099441,0.3138000071048736,0.1476999968290329,0.1817000061273574,0.2653999924659729,0.2718000113964081,0.1750999987125396,0.1061000004410743,0.1442999988794326,0.1076999977231025,0.0828000009059906,0.1488000005483627,0.5163999795913696,7.8174887,3.2056797,-2.0197823,6.2813234
Czechia,0.3382999897003174,0.1985999941825866,0.1432999968528747,0.2004999965429306,0.1193000003695488,0.4077000021934509,0.3075000047683716,0.1492999941110611,0.0529999993741512,0.0824000015854835,0.0542999990284442,0.0410999990999698,0.0318999998271465,0.0373999997973442,0.8353000283241272,6.369414,6.1122603,-0.5361368,4.554479
Cyprus,0.1178999990224838,0.1396999955177307,0.1088000014424324,0.5626999735832214,0.0710000023245811,0.0701000019907951,0.2137999981641769,0.1942999958992004,0.4679000079631805,0.0538999997079372,0.1059999987483024,0.0700000002980232,0.0649000033736229,0.2338999956846237,0.5252000093460083,4.8854837,2.061575,1.1042441,3.4635146
Germany,0.1347000002861023,0.1401000022888183,0.4636000096797943,0.181099995970726,0.0803999975323677,0.0493000000715255,0.0864999964833259,0.789900004863739,0.0427000001072883,0.031700000166893,0.1388999968767166,0.0766000002622604,0.0938000008463859,0.0843999981880188,0.6061999797821045,8.431779,-3.256739,-1.6096771,7.2582603
Denmark,0.148399993777275,0.1568000018596649,0.3124000132083893,0.2440000027418136,0.1385000050067901,0.1510999947786331,0.0698999986052513,0.6079000234603882,0.0788000002503395,0.0922000035643577,0.1263000071048736,0.0742999985814094,0.0854000002145767,0.0856000036001205,0.6284000277519226,8.770177,-2.5995958,-1.0756232,7.800497
Estonia,0.1562000066041946,0.1670999974012375,0.2065999954938888,0.3837999999523163,0.0864000022411346,0.162100002169609,0.2194000035524368,0.3061000108718872,0.1873999983072281,0.125,0.1331000030040741,0.0599000006914138,0.0920000001788139,0.0511000007390975,0.6638000011444092,6.3053794,4.0566144,-0.06606603,4.440145
Croatia,0.1474000066518783,0.1709000021219253,0.1463000029325485,0.4214999973773956,0.1140000000596046,0.066500000655651,0.260699987411499,0.1924999952316284,0.4185999929904938,0.0617000013589859,0.0732999965548515,0.0595999993383884,0.0538999997079372,0.0592000000178813,0.7540000081062317,4.5978627,3.6999395,0.70903206,3.189912
Finland,0.1421000063419342,0.1952999979257583,0.2380000054836273,0.3109999895095825,0.1136000007390976,0.1190000027418136,0.3485000133514404,0.2797000110149383,0.1747000068426132,0.0781000033020973,0.2117999941110611,0.1386999934911728,0.1186000034213066,0.1607999950647354,0.3700999915599823,8.661879,1.7366867,-1.3572048,8.195234
