country,0,1,c1,c2
austria,0.5508999824523926,0.44909998774528503,10.975007,-359.96222
belgium,0.5723999738693237,0.4275999963283539,-95.131294,-527.19165
bulgaria,0.4984999895095825,0.5015000104904175,-225.00229,312.4877
croatia,0.5297999978065491,0.4702000021934509,-247.68713,-109.24148
denmark,0.36489999294281006,0.6351000070571899,267.22092,499.04968
estonia,0.5249999761581421,0.4749999940395355,66.12065,17.126955
finland,0.5205000042915344,0.4794999957084656,-130.96744,55.797955
france,0.5,0.5,-19.48522,300.5909
germany,0.4839000105857849,0.5160999894142151,30.921139,521.0949
hungary,0.4823000133037567,0.5177000164985657,-150.84311,509.26083
ireland,0.5,0.5,-19.48522,300.5909
italy,0.6241999864578247,0.3758000135421753,191.8415,-568.5141
latvia,0.5,0.5,-19.48522,300.5909
malta,0.6190999746322632,0.38089999556541443,71.65608,-673.164
portugal,0.531000018119812,0.4690000116825104,134.92542,-163.40852
slovenia,0.5299999713897705,0.4699999988079071,-58.60184,-138.92651
spain,0.5494999885559082,0.4505000114440918,-181.73122,-343.59705
sweden,0.5299999713897705,0.4699999988079071,-58.60184,-138.92651
the_netherlands,0.22619999945163727,0.7738000154495239,390.0603,370.32687
