,word,topic_id,importance,word_count
0,investment,0,0.01786937,2230
30,electricity,1,0.014969014,2217
31,increase,1,0.014819638,2204
32,consumption,1,0.014464186,1758
60,fuel,2,0.014051262,1093
33,renewable,1,0.013968313,1378
1,policy,0,0.013665281,1676
61,electricity,2,0.013477876,2217
2,source,0,0.011851867,1230
34,investment,1,0.011576767,2230
90,investment,3,0.011297398,2230
35,demand,1,0.011220665,942
91,emission,3,0.011123838,1991
92,plan,3,0.010951292,1613
36,figure,1,0.010739388,977
37,project,1,0.010529877,1271
62,consumption,2,0.010302918,1758
3,climate,0,0.010140086,1071
93,impact,3,0.0100098355,1740
63,table,2,0.009893215,935
94,increase,3,0.009743088,2204
4,national,0,0.009294687,1095
5,plan,0,0.0092694145,1613
38,transport,1,0.009227047,1459
39,cost,1,0.009210827,1235
6,emission,0,0.009164667,1991
64,price,2,0.009060242,876
65,increase,2,0.008987204,2204
40,emission,1,0.008974732,1991
66,transport,2,0.008712335,1459
67,gas,2,0.008551562,1133
7,impact,0,0.008413587,1740
68,emission,2,0.0083819125,1991
41,expect,1,0.008155496,791
69,result,2,0.008035182,1104
42,plan,1,0.007791029,1613
8,increase,0,0.0077579026,2204
43,impact,1,0.0077251447,1740
9,development,0,0.007596862,1151
10,include,0,0.007545208,1148
70,source,2,0.007544845,1230
44,energy efficiency,1,0.0074358177,1236
95,use,3,0.0073692617,1093
96,climate,3,0.0072621815,1071
45,policy,1,0.0072295545,1676
71,cost,2,0.007107036,1235
11,total,0,0.007098979,1230
12,energy efficiency,0,0.0070538754,1236
46,target,1,0.007034134,883
47,target scenario,1,0.0070237056,378
72,use,2,0.0069153844,1093
48,total,1,0.006902698,1230
73,impact,2,0.006899263,1740
97,reduce,3,0.006869944,773
49,wam,1,0.006862483,542
74,production,2,0.006807623,929
50,final,1,0.0067895185,773
98,policy,3,0.0067191115,1676
13,integrated national energy,0,0.006613986,282
51,additional,1,0.006609486,788
14,electricity,0,0.0065793362,2217
52,period,1,0.0065710335,1104
53,wem,1,0.006560658,399
15,period,0,0.006462572,1104
99,project,3,0.006438524,1271
100,fund,3,0.0064063175,652
75,market,2,0.0063971193,667
54,share,1,0.0061639044,728
101,development,3,0.006009042,1151
76,development,2,0.0059416993,1151
102,system,3,0.005940544,1018
55,wam scenario,1,0.0059030373,531
56,result,1,0.0058266926,1104
103,reduction,3,0.0057898103,814
77,total,2,0.00578373,1230
78,high,2,0.005691645,773
104,national,3,0.0056905183,1095
57,policy measure,1,0.0056753266,699
105,transport,3,0.005627898,1459
106,electricity,3,0.0056253,2217
79,policy,2,0.0055791484,1676
80,include,2,0.005570542,1148
16,production,0,0.005536582,929
81,renewable,2,0.005487042,1378
82,final,2,0.0054411786,773
58,transport sector,1,0.0053332737,588
17,system,0,0.0053067966,1018
83,share,2,0.005286355,728
84,change,2,0.005268769,896
18,support,0,0.0052550416,700
85,heat,2,0.00520615,638
86,res,2,0.0052018985,727
107,transition,3,0.005112699,412
87,capacity,2,0.00504319,560
108,need,3,0.0050411695,699
19,consumption,0,0.004994709,1758
20,eur,0,0.004975018,383
21,gas,0,0.0049531134,1133
59,compare,1,0.004924401,654
88,power,2,0.0049239197,480
22,table,0,0.004895401,935
89,energy efficiency,2,0.0048666224,1236
109,period,3,0.004863567,1104
110,area,3,0.004856498,463
111,plan policy measure,3,0.0047791684,681
23,plan policy measure,0,0.0047260835,681
112,achieve,3,0.0047075804,508
113,include,3,0.004701622,1148
24,base,0,0.0046376367,664
25,reduction,0,0.0046011955,814
114,waste,3,0.0046008467,440
26,fund,0,0.004590729,652
115,programme,3,0.0044654896,434
116,air,3,0.004461982,443
27,cost,0,0.00445435,1235
28,industry,0,0.0044429386,738
117,energy efficiency,3,0.004410419,1236
29,billion,0,0.004410326,339
118,effect,3,0.00437538,691
119,eu,3,0.0043699313,610
