country,NO&T Energy poverty alleviation,NO&T natural gas transmission,NO&T EU energy poverty,NO&T  power grid development,NO&T EU energy poverty,NO&T energy consumption in France,P&M Energy poverty alleviation,P&M natural gas transmission,P&M EU energy poverty,P&M  power grid development,P&M EU energy poverty,P&M energy consumption in France,CS&RP Energy poverty alleviation,CS&RP natural gas transmission,CS&RP EU energy poverty,CS&RP  power grid development,CS&RP EU energy poverty,CS&RP energy consumption in France,c1,c2,u1,u2
Austria,0.1500999927520752,0.1238000020384788,0.1679999977350235,0.2107000052928924,0.223700001835823,0.1237000003457069,0.2264000028371811,0.0781000033020973,0.0734999999403953,0.3353999853134155,0.1383000016212463,0.1482000052928924,0.1393000036478042,0.2029999941587448,0.1941999942064285,0.1650999933481216,0.149399995803833,0.1489000022411346,-21.454966,24.316998,0.44409925,9.60593
Belgium,0.3330999910831451,0.0588999986648559,0.1035000011324882,0.1490000039339065,0.2057999968528747,0.1497000008821487,0.6546000242233276,0.0428000018000602,0.0432000011205673,0.0706000030040741,0.0450999997556209,0.1437000036239624,0.1137999966740608,0.2157000005245208,0.2714999914169311,0.121299996972084,0.0953999981284141,0.1823000013828277,-9.543382,44.857933,1.3703997,8.025451
Bulgaria,0.1216999962925911,0.3447000086307525,0.0816000029444694,0.1080999970436096,0.2730999886989593,0.0706999972462654,0.633899986743927,0.1040999963879585,0.0540999993681907,0.062399998307228,0.0740000009536743,0.0714000016450882,0.0610000006854534,0.6521999835968018,0.0856999978423118,0.0689999982714653,0.0527999997138977,0.0793000012636184,9.618775,-5.920006,15.398869,-1.4751056
Czechia,0.0562999993562698,0.1147999987006187,0.0562000013887882,0.0627999976277351,0.6471999883651733,0.0627000033855438,0.094200000166893,0.0675999969244003,0.0434999987483024,0.0617999993264675,0.6723999977111816,0.0606999993324279,0.0443999990820884,0.7286999821662903,0.0294000003486871,0.0604999996721744,0.0798000022768974,0.0571999996900558,2.7494385,-37.08914,13.363886,-1.7160859
Cyprus,0.1626999974250793,0.0979999974370002,0.127700001001358,0.1190000027418136,0.3601000010967254,0.1324000060558319,0.3037000000476837,0.0905999988317489,0.100100003182888,0.1319999992847442,0.2460999935865402,0.1273999959230423,0.1344999969005584,0.2325000017881393,0.1787000000476837,0.1504999995231628,0.1444000005722046,0.159400001168251,-9.36923,11.841156,1.5259596,8.2675495
Germany,0.0697999969124794,0.0732000023126602,0.0729999989271164,0.5906999707221985,0.1159000024199485,0.0773999989032745,0.0705000013113021,0.033500000834465,0.0306000001728534,0.7753999829292297,0.045499999076128,0.0443999990820884,0.1257999986410141,0.228300005197525,0.1723999977111816,0.1968999952077865,0.1273999959230423,0.1492000073194503,-39.187817,34.206573,1.066821,10.202457
Denmark,0.0890000015497207,0.0971999987959861,0.1797000020742416,0.1931000053882599,0.2861999869346618,0.154799997806549,0.2400999963283538,0.0718000009655952,0.1562999933958053,0.2022999972105026,0.2074999958276748,0.1218999996781349,0.0847000032663345,0.3028999865055084,0.2590999901294708,0.1146999970078468,0.1024999991059303,0.1360999941825866,-2.8449757,20.718327,12.078324,-1.4243073
Estonia,0.0983999967575073,0.0666999965906143,0.4771000146865845,0.090499997138977,0.1756000071763992,0.0917000025510788,0.1873999983072281,0.0759000033140182,0.2667999863624573,0.1532000005245208,0.1831000000238418,0.1335999965667724,0.0507000014185905,0.3021000027656555,0.4686000049114227,0.0560999996960163,0.0505999997258186,0.0719000026583671,18.120539,33.937263,16.504736,-0.48656002
Croatia,0.1266999989748001,0.1779000014066696,0.1116999983787536,0.1380999982357025,0.3233999907970428,0.1221000030636787,0.3729000091552734,0.1071000024676323,0.0986000001430511,0.1366000026464462,0.1803999990224838,0.1044000014662742,0.063400000333786,0.5989000201225281,0.0914999991655349,0.0837000012397766,0.0710999965667724,0.0914999991655349,-0.29687375,-11.813544,12.66894,-1.7068728
Finland,0.0986000001430511,0.0869000032544136,0.3817999958992004,0.1168000027537345,0.2242999970912933,0.0914999991655349,0.2038999944925308,0.0940999984741211,0.2187999933958053,0.1456000059843063,0.2284000068902969,0.1092000007629394,0.0870999991893768,0.2468000054359436,0.3409999907016754,0.1083000004291534,0.0920000001788139,0.1247000023722648,7.1141696,34.77265,14.965822,-1.219112
France,0.1774999946355819,0.1317999958992004,0.1468999981880188,0.1729000061750412,0.1611000001430511,0.2097000032663345,0.1820999979972839,0.0945999994874,0.1143999993801117,0.1379999965429306,0.1186000034213066,0.3522999882698059,0.025000000372529,0.0261000003665685,0.0190999992191791,0.024100000038743,0.0166999995708465,0.8891000151634216,-26.808882,11.914999,0.40691322,10.001981
Malta,0.1181000024080276,0.1190000027418136,0.1678999960422516,0.1974000036716461,0.2155999988317489,0.1820999979972839,0.2303999960422516,0.0986000001430511,0.1309999972581863,0.216399997472763,0.1823000013828277,0.1412999927997589,0.1297000050544738,0.2091999948024749,0.1907999962568283,0.1634999960660934,0.1460999995470047,0.1606999933719635,-12.81579,20.843708,0.99850255,8.73553
Luxembourg,0.2055000066757202,0.1292999982833862,0.1551000028848648,0.2092999964952469,0.1469999998807907,0.1537999957799911,0.2495999932289123,0.0877000018954277,0.0930000022053718,0.3043999969959259,0.1401000022888183,0.1252000033855438,0.1213999986648559,0.2497999966144561,0.1856999993324279,0.1737000048160553,0.1222999989986419,0.1472000032663345,-15.07064,30.334715,0.8938668,9.235988
Lithuania,0.1264999955892563,0.1018999963998794,0.3817000091075897,0.1115999966859817,0.166700005531311,0.1115999966859817,0.1541000008583068,0.0943000018596649,0.2777999937534332,0.1537999957799911,0.088699996471405,0.2311999946832656,0.066600002348423,0.2520999908447265,0.4609000086784363,0.06700000166893,0.0560999996960163,0.097300000488758,13.908667,42.329807,16.123775,-0.8715457
Latvia,0.1307999938726425,0.126800000667572,0.3352999985218048,0.1383000016212463,0.1288000047206878,0.1400000005960464,0.2383999973535537,0.1127000004053115,0.2424000054597854,0.137700006365776,0.1187999993562698,0.1500000059604644,0.0430999994277954,0.061999998986721,0.7682999968528748,0.0392000004649162,0.0322000011801719,0.0551000013947486,25.584135,42.696205,16.29263,-0.17955361
Italy,0.0992999970912933,0.0694999992847442,0.0623000003397464,0.5364000201225281,0.1387999951839447,0.0938000008463859,0.1543000042438507,0.0366999991238117,0.0361000001430511,0.6636000275611877,0.0408999994397163,0.0683000013232231,0.0702999979257583,0.397599995136261,0.1026000007987022,0.2402999997138977,0.0798999965190887,0.1093000024557113,-34.47791,39.796215,0.64140695,10.269908
Ireland,0.1080999970436096,0.0551000013947486,0.0592000000178813,0.1062000021338462,0.5422999858856201,0.1290999948978424,0.2408999949693679,0.0480999983847141,0.0491999983787536,0.1093999966979026,0.4325999915599823,0.1199000030755996,0.0687000006437301,0.3474999964237213,0.1850000023841858,0.0851999968290329,0.1888999938964843,0.1246000006794929,17.732767,-21.757816,15.878842,-0.34519467
Hungary,0.1127000004053115,0.2563999891281128,0.0811000019311904,0.1256999969482422,0.3098999857902527,0.1142000034451484,0.1562000066041946,0.1152999997138977,0.0603000000119209,0.1027999967336654,0.4693000018596649,0.0961000025272369,0.0370000004768371,0.7947999835014343,0.0364999994635582,0.0467000007629394,0.0373999997973442,0.0476000010967254,-8.636672,-30.418613,1.0805918,7.795251
Spain,0.1800999939441681,0.1318999975919723,0.1854999959468841,0.163000002503395,0.1633999943733215,0.1761000007390976,0.4846000075340271,0.063799999654293,0.1023999974131584,0.1260000020265579,0.095100000500679,0.1280000060796737,0.0725999996066093,0.5080000162124634,0.1981000006198883,0.0619000010192394,0.0395000018179416,0.1199999973177909,-0.546933,-0.7760388,12.402903,-1.892344
