country,NO&T National electricity policy,NO&T Electricity consumption and waste,NO&T Climate change policy,P&M National electricity policy,P&M Electricity consumption and waste,P&M Climate change policy,CS&RP National electricity policy,CS&RP Electricity consumption and waste,CS&RP Climate change policy,c1,c2,u1,u2
Austria,0.2833000123500824,0.3910999894142151,0.3255999982357025,0.1807000041007995,0.0302000008523464,0.7890999913215637,0.2434999942779541,0.520799994468689,0.2356999963521957,25.461044,-42.640377,14.972949,2.9246168
Belgium,0.2180999964475631,0.4589000046253204,0.3230000138282776,0.0688999965786933,0.0220999997109174,0.908900022506714,0.2075999975204467,0.6464999914169312,0.1457999944686889,32.43686,-27.764793,14.531558,3.3780003
Bulgaria,0.1081999987363815,0.7930999994277954,0.098700001835823,0.3844999969005584,0.1280999928712844,0.4875000119209289,0.0854000002145767,0.8440999984741211,0.0705000013113021,-39.191265,-3.8619437,-3.0517905,-7.746156
Czechia,0.1710000038146972,0.6636000275611877,0.1653999984264373,0.1669999957084655,0.1863999962806701,0.6466000080108643,0.1228000000119209,0.7684000134468079,0.1088000014424324,-14.776773,-8.969946,-3.3714762,-5.660292
Cyprus,0.307200014591217,0.4480000138282776,0.2449000030755996,0.3598000109195709,0.2039999961853027,0.4361999928951263,0.2081000059843063,0.6664000153541565,0.1254999935626983,-36.038864,33.675266,-3.5538518,-6.998836
Germany,0.1906999945640564,0.5371000170707703,0.2721999883651733,0.0901999995112419,0.0491999983787536,0.8605999946594238,0.1645999997854232,0.6672999858856201,0.1680999994277954,20.871395,-20.774895,15.492093,2.4585752
Denmark,0.1185000017285347,0.4688999950885772,0.4124999940395355,0.1463000029325485,0.1733999997377395,0.6802999973297119,0.1299999952316284,0.7439000010490417,0.1261000037193298,10.24296,8.060438,16.517078,3.0968504
Estonia,0.2096000015735626,0.5141000151634216,0.2763000130653381,0.1105000004172325,0.1115000024437904,0.7781000137329102,0.1225000023841857,0.7245000004768372,0.152999997138977,16.148808,-7.5488353,16.05489,2.910175
Croatia,0.2307000011205673,0.5709999799728394,0.1983000040054321,0.1803999990224838,0.0737999975681305,0.7458000183105469,0.2195000052452087,0.5940999984741211,0.1863999962806701,5.0828333,-25.427626,16.79432,2.882494
Finland,0.1617999970912933,0.6579999923706055,0.18019999563694,0.1700000017881393,0.2300000041723251,0.6000000238418579,0.1292999982833862,0.7364000082015991,0.1342999935150146,-12.775394,0.9755667,-3.7246273,-5.6132593
