country,NO&T Public renovation support.,NO&T Primary energy increase,NO&T Renewable energy sources,P&M Public renovation support.,P&M Primary energy increase,P&M Renewable energy sources,CS&RP Public renovation support.,CS&RP Primary energy increase,CS&RP Renewable energy sources,c1,c2,u1,u2
Austria,0.2036000043153762,0.4659000039100647,0.3305000066757202,0.5188000202178955,0.1907999962568283,0.2903999984264374,0.1869000047445297,0.5986999869346619,0.2144999951124191,-2.4413872,-1.4863256,4.0040665,1.6883492
Belgium,0.3433000147342682,0.449099987745285,0.2075999975204467,0.94650000333786,0.0357000008225441,0.017799999564886,0.1680999994277954,0.7250999808311462,0.1068999990820884,-0.89380413,-19.423899,3.5047832,0.77500486
Bulgaria,0.2083999961614608,0.3553999960422516,0.4361999928951263,0.2442999929189682,0.0546999983489513,0.7009999752044678,0.157600000500679,0.6164000034332275,0.2259999960660934,4.7135954,13.818456,21.990496,-0.82932204
Czechia,0.2025000005960464,0.4614999890327453,0.335999995470047,0.367900013923645,0.0905999988317489,0.5415999889373779,0.1237000003457069,0.7263000011444092,0.1500999927520752,6.0876403,8.648004,21.741407,-1.8852125
Cyprus,0.2275999933481216,0.4419000148773193,0.3305000066757202,0.5548999905586243,0.0815000012516975,0.3634999990463257,0.1732999980449676,0.6345999836921692,0.19200000166893,2.0889113,-2.4726098,21.090364,1.2233585
Germany,0.2522999942302704,0.4081000089645386,0.339599996805191,0.7343000173568726,0.1023000031709671,0.1633999943733215,0.2166000008583068,0.5314000248908997,0.2520000040531158,-6.2045245,-9.791943,8.677304,0.8589919
Denmark,0.2324000000953674,0.4343999922275543,0.3332999944686889,0.5784000158309937,0.1141000017523765,0.3073999881744385,0.1776999980211258,0.5942999720573425,0.2280000001192093,-1.1674641,-4.712615,3.3571703,1.3738286
Estonia,0.1750999987125396,0.5335000157356262,0.2912999987602234,0.4070000052452087,0.1349000036716461,0.4580999910831451,0.2048999965190887,0.5396999716758728,0.255400002002716,-2.0398932,6.67973,4.3280396,1.3554978
Croatia,0.227400004863739,0.3614000082015991,0.4111999869346618,0.3892000019550323,0.0331000015139579,0.5777000188827515,0.2020999938249588,0.5313000082969666,0.2666000127792358,1.5004543,11.921119,20.829134,1.0624436
Finland,0.2040999978780746,0.4616999924182892,0.334199994802475,0.4751000106334686,0.1524000018835067,0.3725000023841858,0.2433999925851822,0.4553999900817871,0.3012000024318695,-5.04986,4.0544434,7.8183665,0.4940038
France,0.2198999971151352,0.5331000089645386,0.2469999939203262,0.6272000074386597,0.1897999942302703,0.1829999983310699,0.1008000001311302,0.7972000241279602,0.1019999980926513,6.3228283,-15.713816,21.301226,-1.6314999
Malta,0.2133000046014785,0.5351999998092651,0.2515000104904175,0.506600022315979,0.185599997639656,0.3079000115394592,0.2184000015258789,0.5181000232696533,0.2635000050067901,-6.0375133,0.38154405,8.523511,0.32001454
