,word,topic_id,importance,word_count
30,final,1,0.021671321,1769
31,primary energy,1,0.014371226,1137
60,saving,2,0.0131816,1928
32,increase,1,0.011828434,1571
61,system,2,0.011469796,1639
0,public,0,0.011378341,1720
62,national,2,0.011273032,1418
63,period,2,0.010412433,1310
33,target,1,0.01011172,1661
1,renovation,0,0.009603087,1553
2,support,0,0.009381196,1295
34,transport,1,0.009343433,1368
35,source,1,0.009325363,911
36,heat,1,0.009225384,1076
37,total,1,0.009070805,993
38,electricity,1,0.009025059,1332
39,use,1,0.008762446,1663
64,target,2,0.008455853,1661
40,primary,1,0.008452011,637
65,implementation,2,0.008436662,928
41,year,1,0.008101615,1319
66,use,2,0.007898842,1663
42,figure,1,0.00788362,579
3,plan,0,0.0077231238,1389
43,industry,1,0.0076144068,751
67,electricity,2,0.0076073525,1332
68,include,2,0.0075621754,1426
4,saving,0,0.007444591,1928
69,increase,2,0.007440391,1571
44,level,1,0.0074312976,1018
5,system,0,0.0072390097,1639
45,scenario,1,0.007002578,656
70,eu,2,0.0069490583,893
6,new,0,0.0067827343,1410
7,investment,0,0.0067737536,959
46,heating,1,0.0065753707,1020
47,national,1,0.006549397,1418
71,ktoe,2,0.006254348,605
8,service,0,0.0062498464,1161
48,requirement,1,0.0061410605,794
9,promote,0,0.0059742816,904
72,development,2,0.0058775265,1014
73,public,2,0.0058573857,1720
10,project,0,0.0058529237,1016
74,gas,2,0.0058198674,894
49,potential,1,0.0058085164,792
11,programme,0,0.005806126,983
50,include,1,0.005762355,1426
51,new,1,0.005761659,1410
12,fund,0,0.005708082,822
52,cogeneration,1,0.005697465,409
53,table,1,0.005688952,556
75,achieve,2,0.005582497,915
76,article,2,0.005448613,845
77,renovation,2,0.0053517544,1553
78,transport,2,0.0052627046,1368
54,result,1,0.0052236672,764
55,twh,1,0.0051864325,424
56,demand,1,0.005170455,501
57,non,1,0.0051611084,610
13,use,0,0.0051458864,1663
79,directive,2,0.0051344233,831
58,gas,1,0.005093824,894
80,heat,2,0.0050518736,1076
59,renewable,1,0.0050442074,777
14,include,0,0.004990954,1426
81,plan,2,0.004961913,1389
15,provide,0,0.004814416,745
82,implement,2,0.0048110397,857
83,programme,2,0.004757179,983
16,improve,0,0.004733069,745
17,action,0,0.0047170725,591
84,policy measure,2,0.0047120648,468
85,final,2,0.004676824,1769
86,policy,2,0.0046571754,968
18,year,0,0.004627021,1319
87,objective,2,0.0046192403,753
19,implement,0,0.0045914166,857
88,fuel,2,0.0044658957,673
20,aim,0,0.00446113,599
21,policy,0,0.004456172,968
89,project,2,0.0044525415,1016
22,reduce,0,0.004383717,804
23,develop,0,0.0043470473,596
24,incentive,0,0.0042015812,498
25,information,0,0.004172591,657
26,target,0,0.0040688147,1661
27,achieve,0,0.0039697434,915
28,work,0,0.0037797312,459
29,set,0,0.0037534905,774
