country,NO&T Renovation plan,NO&T EU transport directive,NO&T National saving fund,NO&T Renewable energy target,P&M Renovation plan,P&M EU transport directive,P&M National saving fund,P&M Renewable energy target,CS&RP Renovation plan,CS&RP EU transport directive,CS&RP National saving fund,CS&RP Renewable energy target,c1,c2,u1,u2
Austria,0.183799996972084,0.3393000066280365,0.2008000016212463,0.2759999930858612,0.3553000092506408,0.2023999989032745,0.2680999934673309,0.1741999983787536,0.1724999994039535,0.291700005531311,0.1746000051498413,0.3610999882221222,-2.164656,8.738748,-0.38196388,-0.03390141
Belgium,0.3057000041007995,0.3445000052452087,0.1389999985694885,0.210899993777275,0.9211999773979188,0.0247000008821487,0.0254999995231628,0.0285999998450279,0.155799999833107,0.5403000116348267,0.1081999987363815,0.195700004696846,7.823917,45.57789,-2.0566945,1.479973
Bulgaria,0.1861000061035156,0.3425999879837036,0.2345000058412552,0.2366999983787536,0.1598999947309494,0.0865999981760978,0.6603999733924866,0.0930999964475631,0.1509000062942505,0.2712999880313873,0.1641000062227249,0.4137000143527984,-8.947034,-36.0716,2.6821818,-2.6066089
Czechia,0.1770000010728836,0.4237000048160553,0.1782000064849853,0.2211000025272369,0.2307000011205673,0.1054000034928321,0.5375000238418579,0.1263999938964843,0.1067000031471252,0.135900005698204,0.1149000003933906,0.6424999833106995,-19.105795,-20.87663,3.8594227,-3.513584
Cyprus,0.1731999963521957,0.4636000096797943,0.1859000027179718,0.17739999294281,0.289900004863739,0.1169999986886978,0.5047000050544739,0.0882999971508979,0.1696999967098236,0.3689999878406524,0.1638000011444091,0.2976000010967254,27.512444,-8.892399,-3.7123876,4.570921
Germany,0.2124000042676925,0.3664000034332275,0.200200006365776,0.2208999991416931,0.5175999999046326,0.0899000018835067,0.2849000096321106,0.1076000034809112,0.1925999969244003,0.2788000106811523,0.1967000067234039,0.3319999873638153,5.6787257,30.641764,-1.4891635,1.1702816
Denmark,0.1958000063896179,0.3713000118732452,0.2038999944925308,0.2290000021457672,0.3962999880313873,0.1328999996185302,0.3449000120162964,0.1260000020265579,0.1699000000953674,0.3199999928474426,0.1731999963521957,0.336899995803833,13.122147,14.819341,-2.7284236,2.461137
Estonia,0.1599999964237213,0.4356000125408172,0.1761000007390976,0.228300005197525,0.2754000127315521,0.1620000004768371,0.4120000004768371,0.1506000012159347,0.1844000071287155,0.3070000112056732,0.1962999999523162,0.3122999966144562,16.003939,-10.31706,-3.3274105,3.2213373
Croatia,0.1985999941825866,0.3314000070095062,0.2300000041723251,0.23989999294281,0.1133999973535537,0.0410000011324882,0.7986999750137329,0.046799998730421,0.1850000023841858,0.2883000075817108,0.1973000019788742,0.3294000029563904,0.87161565,-32.69401,-1.1291419,-0.01262018
Finland,0.1809999942779541,0.3844999969005584,0.1882999986410141,0.2461999952793121,0.3183000087738037,0.1728000044822693,0.3553999960422516,0.1535000056028366,0.2048999965190887,0.2915999889373779,0.2251999974250793,0.2784000039100647,13.823662,-0.21816702,-2.96559,2.7945402
France,0.194700002670288,0.3580000102519989,0.1740999966859817,0.2732000052928924,0.4760000109672546,0.1459999978542328,0.2009000033140182,0.1772000044584274,0.1077999994158744,0.1466999948024749,0.0929000005125999,0.6525999903678894,-33.911858,19.33905,5.669246,-3.7946851
Malta,0.1852999925613403,0.3662999868392944,0.1771000027656555,0.2712999880313873,0.3501000106334686,0.1853999942541122,0.3088999986648559,0.1555999964475631,0.1921000033617019,0.2879999876022339,0.19930000603199,0.3206999897956848,6.9278755,6.451934,-1.8607618,1.0268128
Luxembourg,0.2020999938249588,0.3080999851226806,0.1988999992609024,0.2908999919891357,0.4259999990463257,0.1696999967098236,0.2829999923706054,0.121299996972084,0.1310999989509582,0.2612000107765198,0.1374000012874603,0.4702999889850616,-12.0646715,17.81031,3.1392996,-2.9784005
Lithuania,0.2303999960422516,0.2513000071048736,0.2615000009536743,0.2567999958992004,0.1982000023126602,0.1242000013589859,0.5440000295639038,0.1334999948740005,0.1903000026941299,0.2368000000715255,0.2569000124931335,0.3158999979496002,-2.3255887,-45.357784,-0.6901909,-0.4068481
Latvia,0.216399997472763,0.2926999926567077,0.2317000031471252,0.2590999901294708,0.2996000051498413,0.1551000028848648,0.3950999975204468,0.150299996137619,0.1379999965429306,0.232800006866455,0.1501999944448471,0.4790000021457672,-16.983887,-3.9872687,3.6680303,-3.3720765
