,word,topic_id,importance,word_count
30,natural gas,1,0.01574114,2079
0,measure,0,0.014748754,2025
31,price,1,0.013772731,2045
32,transmission,1,0.013352201,1900
33,capacity,1,0.013125841,2186
60,project,2,0.0106164105,2362
34,network,1,0.010182825,2037
61,capacity,2,0.009172786,2186
62,include,2,0.008856484,1714
63,energy poverty,2,0.008850961,1335
35,year,1,0.008362871,1264
36,supply,1,0.008215259,1634
1,development,0,0.008126914,2005
37,development,1,0.0080103185,2005
2,project,0,0.007972951,2362
38,natural,1,0.007525645,974
64,interconnection,2,0.007364093,1309
65,network,2,0.007261466,2037
66,consumer,2,0.0072473916,1461
3,new,0,0.0072095795,1450
67,price,2,0.0071730306,2045
39,total,1,0.0071202233,824
40,source,1,0.007097093,1019
41,increase,1,0.0070567033,1707
42,plan,1,0.007015039,1802
43,project,1,0.0069974912,2362
68,national,2,0.0066854195,1454
4,support,0,0.0065187234,1011
69,eu,2,0.006514219,1079
44,kv,1,0.006501053,709
70,objective,2,0.006160462,762
71,increase,2,0.006136751,1707
45,consumption,1,0.0060935467,1290
5,plan,0,0.0060826405,1802
72,plan,2,0.00606167,1802
73,transmission,2,0.0060328376,1900
6,renewable,0,0.0058585824,1154
46,line,1,0.0057925363,894
74,natural gas,2,0.005614951,2079
7,consumer,0,0.005450098,1461
8,energy poverty,0,0.0054446813,1335
47,include,1,0.0053759287,1714
48,national,1,0.005359829,1454
49,figure,1,0.005357257,629
9,grid,0,0.0053412938,1033
50,distribution,1,0.005314849,774
51,interconnection,1,0.005146343,1309
75,target,2,0.0051391195,981
10,increase,0,0.005138371,1707
11,provide,0,0.005088904,948
52,power,1,0.0050395597,1090
12,sector,0,0.005037324,871
76,infrastructure,2,0.005010219,1123
13,use,0,0.00498082,946
14,consumption,0,0.0049633435,1290
77,level,2,0.0049279877,1088
15,develop,0,0.0049126386,798
78,household,2,0.0048107235,951
16,include,0,0.0047318833,1714
79,supply,2,0.004712651,1634
53,customer,1,0.0046864054,856
80,cost,2,0.0046821996,1019
17,network,0,0.0046785027,2037
54,transmission system,1,0.0046606255,540
18,need,0,0.0046054474,743
81,service,2,0.0045621917,940
82,development,2,0.0045433524,2005
55,production,1,0.0045393244,816
19,supply,0,0.004489824,1634
83,poverty,2,0.004420515,635
20,storage,0,0.0043832143,849
21,generation,0,0.004325012,761
56,high,1,0.004287242,682
22,infrastructure,0,0.004261173,1123
84,ensure,2,0.0041485582,926
23,policy,0,0.0040006978,702
85,renewable,2,0.003973767,1154
24,flexibility,0,0.0039619314,653
86,new,2,0.003955149,1450
57,operator,1,0.003947331,865
87,integration,2,0.0039353548,566
25,national,0,0.003914085,1454
26,target,0,0.0038771187,981
58,point,1,0.003858213,579
59,table,1,0.003857173,443
88,area,2,0.003853422,869
89,interconnector,2,0.0038000701,512
27,ensure,0,0.003782153,926
28,cost,0,0.0037326356,1019
29,service,0,0.003634731,940
