country,NO&T Renewable energy sources,NO&T Innovation research support.,NO&T National climate plan.,NO&T Electricity sector subsidies,P&M Renewable energy sources,P&M Innovation research support.,P&M National climate plan.,P&M Electricity sector subsidies,CS&RP Renewable energy sources,CS&RP Innovation research support.,CS&RP National climate plan.,CS&RP Electricity sector subsidies,c1,c2,u1,u2
Austria,0.2004999965429306,0.2384999990463256,0.388700008392334,0.1722999960184097,0.1023000031709671,0.1298999935388565,0.6919999718666077,0.0759000033140182,0.4375,0.1771000027656555,0.1699000000953674,0.215499997138977,6.0666566,8.77192,9.046596,21.617014
Belgium,0.1985000073909759,0.3765000104904175,0.2284999936819076,0.1965000033378601,0.0560999996960163,0.7942000031471252,0.0940999984741211,0.0555999986827373,0.2301999926567077,0.2883000075817108,0.2302999943494796,0.2511999905109405,8.40112,0.5178942,8.037644,21.828583
Bulgaria,0.2289000004529953,0.2626999914646148,0.2626000046730041,0.2458000034093856,0.2278999984264373,0.2804000079631805,0.2845000028610229,0.2072000056505203,0.3012999892234802,0.1854999959468841,0.164000004529953,0.3492000102996826,3.7706652,2.0978827,8.061363,18.086678
Czechia,0.2985999882221222,0.264299988746643,0.2282000035047531,0.2088000029325485,0.3456999957561493,0.296099990606308,0.2212000042200088,0.1369999945163726,0.3704999983310699,0.100100003182888,0.0846000015735626,0.4447999894618988,1.1818638,0.6870105,8.67957,6.100777
Cyprus,0.208199992775917,0.2985999882221222,0.2397000044584274,0.2535000145435333,0.1670999974012375,0.3287999927997589,0.2944999933242798,0.2097000032663345,0.2390999943017959,0.1665000021457672,0.1534000039100647,0.4410000145435333,2.3526158,4.078956,9.479932,6.6482506
Germany,0.2084999978542328,0.2576999962329864,0.3407000005245209,0.1930000036954879,0.1089000031352043,0.1634999960660934,0.629800021648407,0.097800001502037,0.2431000024080276,0.156700000166893,0.1533000022172927,0.4469000101089477,4.5635066,8.169882,8.4139385,19.239588
Denmark,0.2363999933004379,0.2527999877929687,0.2768999934196472,0.2338999956846237,0.2190999984741211,0.1771000027656555,0.4514000117778778,0.1524000018835067,0.2761000096797943,0.1627999991178512,0.1632000058889389,0.3980000019073486,3.8708935,6.398376,7.7008348,18.280296
Estonia,0.2270999997854232,0.2813000082969665,0.2718999981880188,0.2197999954223632,0.226500004529953,0.2635000050067901,0.2903000116348266,0.2196000069379806,0.3345000147819519,0.1305000036954879,0.1415999978780746,0.3934000134468078,2.5685985,1.8746979,10.18491,5.9519553
Croatia,0.2320999950170517,0.2693000137805938,0.2466000020503997,0.2520000040531158,0.158500000834465,0.3235000073909759,0.3145999908447265,0.2034000009298324,0.2053000032901764,0.1194000020623207,0.1123000010848045,0.5630000233650208,0.66233766,5.1437535,8.208701,6.122499
Finland,0.2264000028371811,0.2655999958515167,0.2736999988555908,0.2344000041484832,0.1949999928474426,0.3127999901771545,0.3014000058174133,0.1908999979496002,0.2766000032424927,0.2233999967575073,0.2082999944686889,0.2917999923229217,5.321203,2.8096485,8.86285,20.419065
