,word,topic_id,importance,word_count
30,consumption,1,0.0153039675,3648
31,increase,1,0.014933639,4715
32,share,1,0.01290575,2624
33,total,1,0.012693881,2343
34,electricity,1,0.011824717,4722
35,target,1,0.011240878,3783
36,transport,1,0.010438498,4437
60,support,2,0.0097830715,3325
37,source,1,0.009464635,2816
0,use,0,0.009449088,5040
61,climate,2,0.00940423,3125
38,res,1,0.009123348,2761
1,promote,0,0.008483204,2087
2,plan,0,0.0082944045,3672
39,use,1,0.008241448,5040
3,system,0,0.008072519,3100
62,transport,2,0.007976719,4437
4,electricity,0,0.007890901,4722
63,use,2,0.007859131,5040
40,period,1,0.007296169,1891
41,year,1,0.00717273,2120
5,national,0,0.0071200905,3516
64,development,2,0.0070968545,3579
42,figure,1,0.007017994,1187
65,plan,2,0.0068905316,3672
43,scenario,1,0.0068805637,1245
44,national,1,0.00662023,3516
45,ghg,1,0.006502847,1328
6,development,0,0.0064777625,3579
46,table,1,0.0063905073,1119
47,ghg emission,1,0.006339333,1191
48,waste,1,0.006299458,2457
7,new,0,0.0061722705,2680
49,projection,1,0.006069682,993
50,gas,1,0.0058798157,2392
66,include,2,0.005842897,3147
51,final,1,0.0058187526,1159
67,system,2,0.005689829,3100
52,heat,1,0.0056649754,2296
8,res,0,0.0055664023,2761
68,increase,2,0.00551614,4715
69,new,2,0.0055107116,2680
70,electricity,2,0.0055086375,4722
53,biomass,1,0.0055058813,1805
54,eu,1,0.005502746,2018
9,production,0,0.0054734265,2792
55,transport sector,1,0.005462552,1383
56,production,1,0.00542902,2792
57,expect,1,0.005403464,1557
71,policy,2,0.005397396,2647
72,reduce,2,0.0053322036,2187
10,target,0,0.00526527,3783
11,include,0,0.0052336245,3147
58,project,1,0.00521068,2506
12,increase,0,0.0051044854,4715
59,heating,1,0.0050388463,1807
73,vehicle,2,0.005020644,1736
74,area,2,0.00500478,2109
13,waste,0,0.004847972,2457
14,heat,0,0.004588504,2296
75,national,2,0.0045775324,3516
15,generation,0,0.004568806,1674
16,objective,0,0.0045506167,1520
17,consumption,0,0.0044326005,3648
18,plant,0,0.0044087134,1617
19,gas,0,0.004336256,2392
76,government,2,0.004296596,1226
20,source,0,0.0042367815,2816
21,policy,0,0.0041673733,2647
77,develop,2,0.004154979,1579
22,support,0,0.0041155894,3325
78,target,2,0.0040642745,3783
23,transport,0,0.0040054685,4437
79,fuel,2,0.0039305924,2360
80,public,2,0.0038935805,1408
24,project,0,0.0038499357,2506
25,cost,0,0.0038186165,1397
81,project,2,0.0038176344,2506
26,policy measure,0,0.0037420255,1137
82,change,2,0.0037333413,2014
27,provide,0,0.0036766238,1613
83,production,2,0.0036560583,2792
84,infrastructure,2,0.0036351525,1259
28,action,0,0.0036140203,1193
85,building,2,0.003541031,1506
29,potential,0,0.0034788833,1313
86,sustainable,2,0.0032833603,1094
87,achieve,2,0.0032623736,1677
88,level,2,0.0031916043,1822
89,provide,2,0.0031724381,1613
