country,NO&T Public renovation support.,NO&T energy consumption,NO&T Saving energy in Europe,P&M Public renovation support.,P&M energy consumption,P&M Saving energy in Europe,CS&RP Public renovation support.,CS&RP energy consumption,CS&RP Saving energy in Europe,c1,c2,u1,u2
Austria,0.2398000061511993,0.4467000067234039,0.3134999871253967,0.4478999972343445,0.2313999980688095,0.3208000063896179,0.2254000008106231,0.5260000228881836,0.2486000061035156,8.42637,1.6237838,-0.04352194,-0.6905101
Belgium,0.3578000068664551,0.4248999953269958,0.217299997806549,0.9368000030517578,0.0361000001430511,0.0271000005304813,0.2008000016212463,0.6474000215530396,0.1517000049352646,4.2908816,-12.572942,7.3203444,2.1605377
Bulgaria,0.2479999959468841,0.3817000091075897,0.3702000081539154,0.2374999970197677,0.0874999985098838,0.675000011920929,0.1930000036954879,0.5629000067710876,0.2441000044345855,-0.09540046,10.277153,10.339686,2.6112628
Czechia,0.2342000007629394,0.4593000113964081,0.3064999878406524,0.3260000050067901,0.1287000030279159,0.5453000068664551,0.1460999995470047,0.6743000149726868,0.1797000020742416,-0.9312141,6.382847,10.748118,2.596079
Cyprus,0.2338999956846237,0.4591000080108642,0.3070000112056732,0.4330999851226806,0.1145000010728836,0.4523999989032745,0.217299997806549,0.5479000210762024,0.2347999960184097,4.397609,4.012049,7.4242396,2.6456537
Germany,0.2766000032424927,0.4061000049114227,0.3172000050544739,0.6395999789237976,0.119499996304512,0.240799993276596,0.2504999935626983,0.4690999984741211,0.2804999947547912,10.852421,-3.8066914,-0.25628722,-1.8129104
Denmark,0.2581999897956848,0.4230000078678131,0.3188000023365021,0.4972999989986419,0.1527999937534332,0.3499000072479248,0.2196000069379806,0.5264999866485596,0.2538999915122986,6.93492,-0.24705753,1.3214201,-0.26538128
Estonia,0.212799996137619,0.5002999901771545,0.2870000004768371,0.3680999875068664,0.1832000017166137,0.4487000107765198,0.24269999563694,0.4762000143527984,0.2811000049114227,7.3539743,6.779824,0.9110097,-0.31172478
Croatia,0.2612999975681305,0.3802999854087829,0.3583999872207641,0.232800006866455,0.0469999983906745,0.7202000021934509,0.2409999966621399,0.4742000102996826,0.2847999930381775,1.220896,11.932127,9.818115,3.0515723
Finland,0.2369000017642974,0.459199994802475,0.3039999902248382,0.4156999886035919,0.1961999982595443,0.3880999982357025,0.2711000144481659,0.4165999889373779,0.3122999966144562,9.788647,5.807034,-0.38988763,-1.2691193
France,0.253600001335144,0.4835000038146972,0.262800008058548,0.5576000213623047,0.2135999947786331,0.2287999987602234,0.1383000016212463,0.723800003528595,0.1379999965429306,7.9724894,-8.505295,0.6768961,-0.9504557
Malta,0.2416000068187713,0.4914999902248382,0.2669000029563904,0.4427999854087829,0.2167000025510788,0.340499997138977,0.251800000667572,0.4632000029087066,0.2849999964237213,10.154415,3.368706,-0.13398506,-1.6145784
Luxembourg,0.2619999945163727,0.4404999911785126,0.2975000143051147,0.5228999853134155,0.1701000034809112,0.3070000112056732,0.1696999967098236,0.6262999773025513,0.2038999944925308,4.960489,-4.232453,6.936536,1.8230051
Lithuania,0.302700012922287,0.3420000076293945,0.3553999960422516,0.2849000096321106,0.1456000059843063,0.569599986076355,0.2475000023841858,0.3925000131130218,0.3600000143051147,3.745306,11.400818,8.014091,2.4098878
Latvia,0.2845999896526336,0.3785000145435333,0.3370000123977661,0.4011000096797943,0.1860000044107437,0.4128000140190124,0.1767999976873397,0.5928999781608582,0.2302999943494796,1.7316277,1.3373572,9.395516,2.7185912
Italy,0.2388000041246414,0.546500027179718,0.2146999984979629,0.6039000153541565,0.1530999988317489,0.2430000007152557,0.147499993443489,0.7057999968528748,0.1466999948024749,8.243072,-10.605759,0.37153393,-0.7879029
Ireland,0.3145999908447265,0.3671000003814697,0.3183000087738037,0.5292999744415283,0.1508000046014785,0.3199000060558319,0.2125999927520752,0.5396000146865845,0.2477999925613403,7.4371295,-2.4904342,0.68568283,-0.2030291
Hungary,0.2754999995231628,0.3646999895572662,0.3598000109195709,0.3637000024318695,0.200200006365776,0.4361000061035156,0.1744000017642974,0.6302000284194946,0.1953999996185302,-0.30095404,2.0671594,10.40781,2.9170833
Spain,0.2784999907016754,0.3822999894618988,0.3391999900341034,0.6784999966621399,0.0905999988317489,0.231000006198883,0.1526000052690506,0.664900004863739,0.1825000047683715,4.238293,-9.337606,7.7159486,2.041351
Netherlands,0.2698999941349029,0.4066999852657318,0.3233000040054321,0.5590999722480774,0.1849000006914138,0.2560000121593475,0.1757999956607818,0.623199999332428,0.2009000033140182,5.914405,-6.082977,6.170893,1.8419907
Poland,0.2522999942302704,0.4190999865531921,0.3285999894142151,0.3030999898910522,0.1427000015974044,0.5541999936103821,0.13680000603199,0.7139999866485596,0.1492999941110611,-2.8053718,5.623419,10.856346,2.95851
Portugal,0.2694000005722046,0.3898000121116638,0.3407999873161316,0.4939000010490417,0.1500000059604644,0.3560999929904938,0.1592999994754791,0.6814000010490417,0.1592999994754791,2.4339504,-3.6560714,8.958629,2.6518931
Romania,0.2402999997138977,0.4659999907016754,0.2937000095844269,0.3614999949932098,0.1861999928951263,0.4523000121116638,0.2230000048875808,0.5307000279426575,0.246299996972084,5.082917,6.4638734,6.6554213,2.0453904
Sweden,0.2442000061273574,0.4842000007629394,0.2716000080108642,0.5638999938964844,0.1878000050783157,0.2481999993324279,0.240799993276596,0.490200012922287,0.2689999938011169,11.04735,-1.21967,-0.40973043,-1.8406954
Slovenia,0.2815000116825104,0.3499000072479248,0.3686000108718872,0.6003000140190125,0.1098000034689903,0.2897999882698059,0.1280999928712844,0.6424999833106995,0.2293999940156936,3.121605,-7.185246,8.400427,2.6077468
Slovakia,0.2400999963283538,0.4302000105381012,0.3296999931335449,0.4503999948501587,0.0802000015974044,0.4693999886512756,0.1885000020265579,0.5942000150680542,0.2173999994993209,2.2449367,4.3928103,9.15662,3.1106708
