country,"NO&T energy production, increase import",NO&T EU oil development,NO&T energy policy,NO&T Renewable energy development,NO&T Gas supply development,"P&M energy production, increase import",P&M EU oil development,P&M energy policy,P&M Renewable energy development,P&M Gas supply development,"CS&RP energy production, increase import",CS&RP EU oil development,CS&RP energy policy,CS&RP Renewable energy development,CS&RP Gas supply development,c1,c2,u1,u2
Austria,0.2045000046491623,0.197500005364418,0.2038999944925308,0.1999000012874603,0.1941999942064285,0.194700002670288,0.1962999999523162,0.1995999962091446,0.2073999941349029,0.2020999938249588,0.2443999946117401,0.1882999986410141,0.2045000046491623,0.1811999976634979,0.1816000044345855,8.94367,-4.742349,1.5117346,-0.8958001
Belgium,0.1937000006437301,0.1985999941825866,0.2013999968767166,0.2096000015735626,0.1967999935150146,0.176499992609024,0.2071000039577484,0.1923000067472458,0.2176000028848648,0.2064999938011169,0.2542999982833862,0.1779000014066696,0.2061000019311905,0.1878000050783157,0.1738999933004379,9.374872,-11.019336,1.4611325,-0.6389428
Bulgaria,0.2058999985456466,0.2002999931573867,0.2050999999046325,0.1941999942064285,0.1944999992847442,0.1342000067234039,0.2799000144004822,0.1856999993324279,0.2029999941587448,0.1973000019788742,0.3621000051498413,0.151199996471405,0.1903000026941299,0.152099996805191,0.1444000005722046,-4.3694115,-27.085384,7.6983676,8.642339
Czechia,0.1970999985933303,0.1849000006914138,0.208199992775917,0.1814000010490417,0.228300005197525,0.088699996471405,0.1278000026941299,0.1045000031590461,0.1106999963521957,0.5683000087738037,0.263700008392334,0.1413999944925308,0.2345999926328659,0.1624000072479248,0.1978999972343444,-1.4961435,16.125648,7.643548,11.094352
Cyprus,0.1976999938488006,0.2091999948024749,0.2041999995708465,0.1931000053882599,0.1958000063896179,0.186499997973442,0.221000000834465,0.1952999979257583,0.1926999986171722,0.2045000046491623,0.2146999984979629,0.1967000067234039,0.2014999985694885,0.1946000009775161,0.1924999952316284,1.3701773,-3.2053285,-0.7529027,-1.5144293
Germany,0.1738000065088272,0.2088000029325485,0.1754000037908554,0.1875,0.2545999884605407,0.0922000035643577,0.1446000039577484,0.0966000035405159,0.1328999996185302,0.5336999893188477,0.2644999921321869,0.1687999963760376,0.2080000042915344,0.1843000054359436,0.1745000034570694,2.2127357,15.689762,-0.4311654,-1.3107023
Denmark,0.2289000004529953,0.2204000055789947,0.2048999965190887,0.1790000051259994,0.1668999940156936,0.1955000013113021,0.2186000049114227,0.1949000060558319,0.2011999934911728,0.1898999959230423,0.2337000072002411,0.1886000037193298,0.2029999941587448,0.1916999965906143,0.1831000000238418,6.475954,0.78672665,0.7645177,-0.9494818
Estonia,0.1928000003099441,0.2065999954938888,0.1932999938726425,0.1958999931812286,0.2113000005483627,0.1541000008583068,0.240799993276596,0.1720999926328659,0.2029000073671341,0.2300000041723251,0.2199999988079071,0.193900004029274,0.2043000012636184,0.1913000047206878,0.1905000060796737,-5.257865,-4.650256,7.790184,8.150504
Croatia,0.1679999977350235,0.2167000025510788,0.1858000010251999,0.1815000027418136,0.2479999959468841,0.1886000037193298,0.2052000015974044,0.2011999934911728,0.1953999996185302,0.2097000032663345,0.2249000072479248,0.1880999952554702,0.1982000023126602,0.1940000057220459,0.194700002670288,-12.576249,-1.6982628,8.684212,6.9520144
Finland,0.2071000039577484,0.2011999934911728,0.1995999962091446,0.2011999934911728,0.1908999979496002,0.1694999933242797,0.2266000062227249,0.1771000027656555,0.1923999935388565,0.2345000058412552,0.257999986410141,0.1761000007390976,0.213699996471405,0.185599997639656,0.166700005531311,-3.2417028,-13.058783,7.5583982,9.140802
France,0.1983000040054321,0.19930000603199,0.2009000033140182,0.2002999931573867,0.201100006699562,0.1958999931812286,0.1925999969244003,0.2011999934911728,0.2119999974966049,0.1983000040054321,0.2184000015258789,0.0896999984979629,0.2006999999284744,0.4144000113010406,0.0768000036478042,-20.61099,-8.077734,8.469577,6.494201
Malta,0.1981000006198883,0.2169000059366226,0.2036000043153762,0.1977999955415725,0.1835000067949295,0.0890000015497207,0.5630000233650208,0.1009000018239021,0.1125999987125396,0.1343999952077865,0.2276999950408935,0.2046999931335449,0.2096000015735626,0.182899996638298,0.1750999987125396,-19.344316,-20.027918,8.344568,6.2700486
Luxembourg,0.1996999979019165,0.2036000043153762,0.1991000026464462,0.1987999975681305,0.1988999992609024,0.1756000071763992,0.2249999940395355,0.1860000044107437,0.194700002670288,0.2187000066041946,0.2345999926328659,0.1808999925851822,0.2045000046491623,0.1958000063896179,0.1842000037431717,-0.95494395,-8.166506,7.396112,10.786239
Lithuania,0.1951999962329864,0.1941999942064285,0.195700004696846,0.1880999952554702,0.2267999947071075,0.1660999953746795,0.2370000034570694,0.1905000060796737,0.1692000031471252,0.2371000051498413,0.2345000058412552,0.1779000014066696,0.2198999971151352,0.1861000061035156,0.1816000044345855,-8.8518305,-8.937485,8.464069,7.726971
Latvia,0.2117999941110611,0.1940000057220459,0.2023999989032745,0.1965000033378601,0.1952999979257583,0.1840000003576278,0.1983000040054321,0.2009000033140182,0.2064999938011169,0.2102999985218048,0.2513000071048736,0.1825000047683715,0.2035000026226043,0.1780000030994415,0.18469999730587,5.412119,-7.791453,0.5999538,-0.6188028
Italy,0.1609999984502792,0.2011999934911728,0.2730999886989593,0.2180999964475631,0.146599993109703,0.1573999971151352,0.2560999989509582,0.1817999929189682,0.1979999989271164,0.2066999971866607,0.2339999973773956,0.1903000026941299,0.2036000043153762,0.1890999972820282,0.1829999983310699,7.3256435,-21.214731,1.087806,-1.3869784
