,word,topic_id,importance,word_count
60,increase,2,0.014295168,1370
0,production,0,0.01338012,1088
90,market,3,0.013263171,1357
1,increase,0,0.012933266,1370
120,market,4,0.012833384,1357
2,import,0,0.011759944,1090
30,measure,1,0.01170707,1241
3,consumption,0,0.01151649,1086
61,source,2,0.01105112,1370
31,national,1,0.010993446,1111
62,capacity,2,0.010295752,1225
121,source,4,0.010256799,1370
4,source,0,0.01007164,1370
122,measure,4,0.010022985,1241
123,capacity,4,0.009957568,1225
5,fuel,0,0.009835596,808
91,capacity,3,0.00968886,1225
32,plan,1,0.009571395,1056
124,plan,4,0.009203734,1056
125,gas supply,4,0.009128862,588
63,import,2,0.0090856105,1090
33,source,1,0.00908297,1370
64,market,2,0.008558157,1357
65,consumption,2,0.008388235,1086
6,power,0,0.008148504,910
126,sector,4,0.0077535324,909
92,measure,3,0.007674982,1241
66,power,2,0.0076715383,910
34,project,1,0.007668743,692
93,production,3,0.0076550036,1088
94,consumption,3,0.0075967787,1086
7,national,0,0.0075592264,1111
8,renewable,0,0.0074549858,789
35,sector,1,0.0074155987,909
95,storage,3,0.0073255175,819
96,use,3,0.007227431,760
97,increase,3,0.0071129077,1370
36,ensure,1,0.0071068034,775
127,regulation,4,0.0070420997,578
9,natural,0,0.007018847,785
128,oil,4,0.0068952474,858
67,demand,2,0.0068742447,675
129,increase,4,0.006794882,1370
130,act,4,0.0067854836,330
68,oil,2,0.0067834524,858
69,development,2,0.0067715878,879
98,import,3,0.0067385705,1090
99,renewable,3,0.006511217,789
37,include,1,0.0064538065,815
70,plan,2,0.0064487336,1056
131,national,4,0.0063601653,1111
71,production,2,0.0063491613,1088
72,renewable,2,0.0063466644,789
100,national,3,0.0063390215,1111
101,development,3,0.0063204872,879
102,network,3,0.0063018873,734
38,oil,1,0.0062969937,858
73,storage,2,0.006243071,819
132,include,4,0.006136411,815
10,measure,0,0.0061347843,1241
103,plan,3,0.006051285,1056
74,new,2,0.0060393414,604
133,natural,4,0.006010935,785
75,national,2,0.005999764,1111
134,emergency,4,0.005937165,420
11,share,0,0.0059158457,441
12,oil,0,0.0058879773,858
76,level,2,0.005845644,693
13,domestic,0,0.0058436557,505
104,nuclear,3,0.0058419043,509
14,capacity,0,0.005830423,1225
77,measure,2,0.0058177286,1241
78,fuel,2,0.00577576,808
135,ensure,4,0.005757198,775
105,source,3,0.0056758136,1370
15,development,0,0.0056643826,879
39,eu,1,0.005638246,583
16,country,0,0.0056093684,608
40,risk,1,0.0056010783,467
136,storage,4,0.005557801,819
137,development,4,0.0055239634,879
17,market,0,0.005472137,1357
79,country,2,0.005458665,608
41,network,1,0.0054522944,734
18,use,0,0.005423812,760
80,include,2,0.005359617,815
42,production,1,0.0053129327,1088
19,total,0,0.005263577,396
138,network,4,0.005244901,734
43,increase,1,0.005228894,1370
106,power,3,0.0052257525,910
81,sector,2,0.0051925997,909
44,power,1,0.0051841913,910
82,natural,2,0.0051718843,785
107,necessary,3,0.0051708505,427
20,sector,0,0.005168829,909
45,development,1,0.0051632733,879
108,ensure,3,0.0051518986,775
139,transmission,4,0.005131346,434
46,capacity,1,0.005094931,1225
140,operator,4,0.005086812,394
83,project,2,0.005083452,692
84,use,2,0.005034304,760
21,demand,0,0.004979274,675
109,level,3,0.004932432,693
141,consumption,4,0.0049229166,1086
22,figure,0,0.0049050995,293
110,include,3,0.00487104,815
23,plant,0,0.004869796,551
111,sector,3,0.0048537855,909
24,coal,0,0.004844026,387
47,level,1,0.0047380757,693
142,fuel,4,0.0047146226,808
48,market,1,0.004702385,1357
85,year,2,0.0046933144,584
49,demand,1,0.0046916315,675
143,import,4,0.004665146,1090
86,ensure,2,0.0046557155,775
50,storage,1,0.004655178,819
87,infrastructure,2,0.0046523735,554
112,security supply,3,0.0045969514,528
113,new,3,0.0045928173,604
114,base,3,0.0045619984,487
51,new,1,0.004537575,604
144,use,4,0.00451854,760
145,level,4,0.0045023533,693
52,emergency,1,0.0044981055,420
53,import,1,0.004489759,1090
54,gas supply,1,0.0044738064,588
25,include,0,0.0044622463,815
146,power,4,0.004455384,910
88,plant,2,0.004391837,551
89,generation,2,0.0042702933,513
26,year,0,0.0042513367,584
115,demand,3,0.0042092074,675
116,flexibility,3,0.0042053186,357
147,regional,4,0.0042017186,401
55,natural,1,0.0041681933,785
27,generation,0,0.004167156,513
56,develop,1,0.0041462765,363
28,expect,0,0.004140684,460
148,eu,4,0.0041120583,583
29,resource,0,0.0040973774,404
57,security supply,1,0.00409407,528
117,year,3,0.004089895,584
149,security supply,4,0.004089527,528
58,consumption,1,0.004062126,1086
118,hungary,3,0.003997941,205
119,natural,3,0.003959615,785
59,infrastructure,1,0.0038911987,554
