,word,topic_id,importance,word_count
0,measure,0,0.019627353,2025
30,natural gas,1,0.01608673,2079
90,project,3,0.013819135,2362
31,capacity,1,0.013516217,2186
32,transmission,1,0.013436565,1900
33,price,1,0.012620443,2045
60,price,2,0.010635286,2045
150,development,5,0.00981906,2005
120,project,4,0.009652049,2362
61,capacity,2,0.009309168,2186
151,consumption,5,0.008944791,1290
34,network,1,0.00892123,2037
62,include,2,0.008722426,1714
63,network,2,0.008514756,2037
35,natural,1,0.008504104,974
121,energy poverty,4,0.008499888,1335
122,include,4,0.008449296,1714
91,network,3,0.008426466,2037
92,plan,3,0.008373108,1802
1,project,0,0.008371689,2362
64,natural gas,2,0.008246225,2079
93,capacity,3,0.0080267275,2186
94,transmission,3,0.007941092,1900
36,supply,1,0.0077700205,1634
37,year,1,0.0077554467,1264
2,development,0,0.007718898,2005
38,kv,1,0.0076487414,709
152,grid,5,0.007600571,1033
65,interconnection,2,0.0075721014,1309
39,total,1,0.007537639,824
123,capacity,4,0.007505484,2186
40,source,1,0.007489755,1019
3,energy poverty,0,0.007353556,1335
124,measure,4,0.0071078204,2025
95,measure,3,0.007034536,2025
125,plan,4,0.006985896,1802
41,increase,1,0.006871167,1707
153,network,5,0.006835773,2037
42,project,1,0.006812707,2362
96,development,3,0.0068099676,2005
66,increase,2,0.0067704045,1707
67,project,2,0.0066626114,2362
126,development,4,0.006597931,2005
97,consumer,3,0.0065868995,1461
98,national,3,0.006570211,1454
154,new,5,0.0065656253,1450
127,network,4,0.006480046,2037
68,transmission,2,0.00645214,1900
43,development,1,0.006448372,2005
155,supply,5,0.0064388625,1634
156,natural gas,5,0.0064285956,2079
99,include,3,0.006417494,1714
4,support,0,0.0062697944,1011
157,price,5,0.0062579256,2045
158,increase,5,0.006195751,1707
5,new,0,0.0061771977,1450
69,national,2,0.0061507733,1454
6,sector,0,0.006139432,871
100,supply,3,0.0061250385,1634
70,plan,2,0.006101914,1802
71,consumer,2,0.0060195504,1461
72,eu,2,0.0060048313,1079
44,plan,1,0.00594886,1802
159,renewable,5,0.0058859778,1154
160,project,5,0.0058669853,2362
101,increase,3,0.0058643604,1707
161,year,5,0.005802916,1264
128,new,4,0.005753635,1450
162,plan,5,0.0057116635,1802
7,energy efficiency,0,0.005687029,492
8,plan,0,0.0056659225,1802
45,national,1,0.0056520137,1454
