,word,topic_id,importance,word_count
90,electricity,3,0.014247091,1322
30,support,1,0.013134622,1426
0,price,0,0.012604543,930
60,system,2,0.012134562,1479
61,climate,2,0.012130522,1068
1,sector,0,0.010836478,1522
31,project,1,0.010658698,1327
91,national,3,0.010473987,1573
32,research innovation,1,0.009901332,861
62,plan,2,0.009803537,1191
92,sector,3,0.009767847,1522
33,national,1,0.009468589,1573
63,new,2,0.00943592,1050
34,plan,1,0.00922241,1191
35,system,1,0.009142454,1479
2,increase,0,0.009000256,898
64,programme,2,0.0088858185,1047
3,source,0,0.008709823,745
4,electricity,0,0.008560574,1322
5,fuel,0,0.008309419,645
65,project,2,0.008032195,1327
6,national,0,0.007770403,1573
66,area,2,0.007436887,1120
67,national,2,0.0074207294,1573
68,sector,2,0.0072704223,1522
36,develop,1,0.0072568143,774
37,area,1,0.007237334,1120
7,power,0,0.0069283256,448
8,total,0,0.006913556,606
69,set,2,0.006865741,801
9,renewable,0,0.0068605766,966
93,include,3,0.006851364,1032
38,use,1,0.0068512834,1035
94,gas,3,0.0068044094,775
10,use,0,0.0066663134,1035
95,renewable,3,0.0066505927,966
39,policy,1,0.006591966,777
96,price,3,0.0064664334,930
11,gas,0,0.006421331,775
12,cost,0,0.0063683894,629
40,transition,1,0.0063542947,512
13,support,0,0.0063024545,1426
97,support,3,0.006282258,1426
98,investment,3,0.006187374,811
14,investment,0,0.0061010537,811
41,climate,1,0.00608674,1068
42,business,1,0.0060743215,575
43,measure,1,0.005973201,781
70,support,2,0.005959234,1426
15,include,0,0.005932577,1032
71,include,2,0.0058993096,1032
44,sector,1,0.0058825086,1522
45,european,1,0.0058354298,734
46,competitiveness,1,0.0058253207,599
99,fund,3,0.00581492,812
72,objective,2,0.005712782,717
16,area,0,0.0056958124,1120
17,system,0,0.0056766476,1479
47,set,1,0.005655421,801
48,new,1,0.0056304378,1050
73,policy,2,0.005590748,777
100,table,3,0.005574891,359
49,programme,1,0.0055067036,1047
74,european,2,0.00547768,734
18,low,0,0.005433476,679
101,system,3,0.0054334477,1479
102,subsidy,3,0.0054143774,346
103,project,3,0.0054044644,1327
75,use,2,0.005372241,1035
76,industry,2,0.0053452584,697
77,develop,2,0.005314756,774
78,funding,2,0.00531369,569
79,measure,2,0.005282623,781
19,project,0,0.0052087796,1327
50,level,1,0.0050878143,628
104,public,3,0.005060218,650
105,production,3,0.0050395895,689
80,target,2,0.0050175237,728
51,priority,1,0.004999915,489
20,high,0,0.0049311034,541
21,programme,0,0.004899256,1047
106,relate,3,0.004876643,583
81,fund,2,0.004842474,812
82,storage,2,0.0048329695,664
52,objective,1,0.0048053465,717
22,energy efficiency,0,0.004795217,690
83,process,2,0.0047361143,486
107,plan,3,0.0047192127,1191
23,eu,0,0.0046914658,553
84,implementation,2,0.004664475,525
85,renewable,2,0.0046589924,966
108,year,3,0.004654161,536
86,market,2,0.0045758663,711
109,cost,3,0.004564373,629
53,promote,1,0.0044915937,564
110,natural gas,3,0.0044909394,387
87,promote,2,0.0044843517,564
54,strategy,1,0.0044733756,506
88,focus,2,0.0044716066,454
89,research innovation,2,0.004428822,861
24,country,0,0.004404075,444
111,new,3,0.0043813884,1050
55,industry,1,0.0043781484,697
112,energy efficiency,3,0.004362167,690
113,tax,3,0.0043022367,369
114,measure,3,0.0042670695,781
56,fund,1,0.0042635617,812
57,include,1,0.0042483252,1032
115,area,3,0.0042107455,1120
116,low,3,0.0041990867,679
25,market,0,0.0041968413,711
117,source,3,0.0041666757,745
58,target,1,0.0041509997,728
59,innovative,1,0.0041495794,448
118,increase,3,0.004149392,898
119,service,3,0.0041475217,393
26,poland,0,0.004075108,197
27,generation,0,0.003947278,341
28,year,0,0.0039002048,536
29,figure,0,0.003878113,287
