,word,topic_id,importance,word_count
120,target,4,0.019272072,3783
30,consumption,1,0.018148463,3648
31,increase,1,0.017917167,4715
32,share,1,0.015341308,2624
33,total,1,0.014652737,2343
34,electricity,1,0.013841054,4722
35,transport,1,0.013815904,4437
36,res,1,0.012132987,2761
0,promote,0,0.011725838,2087
60,support,2,0.011664338,3325
90,development,3,0.011095566,3579
91,source,3,0.011083283,2816
92,res,3,0.010870157,2761
121,heat,4,0.010791902,2296
93,use,3,0.010413312,5040
37,ghg,1,0.010105862,1328
1,use,0,0.009964488,5040
2,plan,0,0.009835643,3672
38,ghg emission,1,0.009788811,1191
39,use,1,0.009585354,5040
122,electricity,4,0.009325218,4722
3,system,0,0.009257863,3100
61,climate,2,0.009198713,3125
40,source,1,0.008747822,2816
94,increase,3,0.008556062,4715
41,figure,1,0.008432379,1187
95,production,3,0.008212231,2792
96,transport,3,0.008047392,4437
4,national,0,0.0078026024,3516
42,waste,1,0.0077598677,2457
62,transport,2,0.0077178446,4437
43,year,1,0.0076847333,2120
44,period,1,0.007488465,1891
63,use,2,0.0074210605,5040
97,gas,3,0.007391751,2392
123,consumption,4,0.00736176,3648
45,projection,1,0.007285198,993
5,electricity,0,0.0072319023,4722
98,national,3,0.007092941,3516
99,target,3,0.007076158,3783
46,scenario,1,0.006991006,1245
100,eu,3,0.006876077,2018
47,transport sector,1,0.006839389,1383
6,new,0,0.0068351766,2680
48,project,1,0.006759226,2506
49,table,1,0.006641766,1119
64,plan,2,0.0066300146,3672
124,include,4,0.0066115046,3147
101,implementation,3,0.006499384,1460
125,biomass,4,0.0064777085,1805
126,heating,4,0.006344236,1807
102,system,3,0.006311511,3100
65,development,2,0.0062418203,3579
103,greenhouse,3,0.0061855614,850
50,final,1,0.006145758,1159
127,production,4,0.006119746,2792
66,include,2,0.0060900673,3147
51,national,1,0.0060624867,3516
128,increase,4,0.005998702,4715
52,decrease,1,0.00591724,702
67,policy,2,0.005877851,2647
53,expect,1,0.0058746696,1557
129,use,4,0.0058410694,5040
104,electricity,3,0.0058390996,4722
7,development,0,0.0057723597,3579
68,electricity,2,0.0057097506,4722
69,new,2,0.0056981,2680
8,res,0,0.0056634205,2761
105,greenhouse gas emission,3,0.005565813,861
70,system,2,0.0055182,3100
106,plan,3,0.0055069043,3672
9,increase,0,0.005491783,4715
10,objective,0,0.0054594143,1520
107,reduce,3,0.005382179,2187
108,include,3,0.0053521465,3147
71,increase,2,0.005294884,4715
109,fuel,3,0.0052925386,2360
54,fuel,1,0.005290104,2360
55,lulucf,1,0.0052764374,747
130,trajectory,4,0.005247813,598
56,gas,1,0.0052307816,2392
110,consumption,3,0.0052169575,3648
57,renewable source,1,0.00518492,1266
72,vehicle,2,0.0051846975,1736
11,policy,0,0.0051678186,2647
131,national,4,0.0051584793,3516
58,share renewable,1,0.0051262574,792
111,reduction,3,0.005092031,1927
132,twh,4,0.0050877347,578
112,change,3,0.0050703823,2014
59,trend,1,0.005048372,621
73,area,2,0.0050020902,2109
113,republic,3,0.0049880985,400
133,climate,4,0.0049766116,3125
134,year,4,0.004950583,2120
135,wind,4,0.0049360036,884
136,set,4,0.004898461,1727
137,plan,4,0.00483703,3672
138,gas,4,0.004825959,2392
12,transport,0,0.004794907,4437
74,reduce,2,0.004789258,2187
114,total,3,0.0047053588,2343
75,government,2,0.004661769,1226
13,action,0,0.004589506,1193
76,develop,2,0.0045613847,1579
77,national,2,0.004553404,3516
14,integrated national energy,0,0.0045500607,810
139,total,4,0.004539009,2343
140,waste,4,0.0045088883,2457
15,plant,0,0.004507932,1617
115,share,3,0.004500935,2624
141,project,4,0.004485273,2506
142,period,4,0.00444878,1891
16,policy measure,0,0.004437823,1137
116,activity,3,0.0043893456,802
117,technology,3,0.0043322197,2037
143,cost,4,0.0043241447,1397
144,share,4,0.0043231654,2624
17,production,0,0.0043181716,2792
118,waste,3,0.004250367,2457
119,biomass,3,0.004232376,1805
145,potential,4,0.004225651,1313
146,base,4,0.0042164894,1743
18,include,0,0.004197422,3147
19,consumption,0,0.004169089,3648
78,public,2,0.0041586976,1408
20,network,0,0.00415679,1196
147,source,4,0.0041496693,2816
21,reduce,0,0.0040990845,2187
148,mw,4,0.004088584,636
79,project,2,0.0040563284,2506
22,waste,0,0.0040508225,2457
23,area,0,0.0040489603,2109
80,target,2,0.0038725375,3783
24,market,0,0.0038679366,1383
25,generation,0,0.0038438875,1674
81,fuel,2,0.0038401515,2360
149,reduction,4,0.0038367207,1927
26,energy efficiency,0,0.003803198,1443
27,implement,0,0.0037416762,1380
28,implementation,0,0.0036682128,1460
29,provide,0,0.0036559792,1613
82,provide,2,0.0036440836,1613
83,infrastructure,2,0.0035921405,1259
84,building,2,0.0035046241,1506
85,sustainable,2,0.0034946331,1094
86,change,2,0.0033489354,2014
87,achieve,2,0.0033097418,1677
88,investment,2,0.00323495,1172
89,aim,2,0.0031918904,1152
