country,NO&T renewable energy sources,NO&T National gas security,NO&T Capacity market development,P&M renewable energy sources,P&M National gas security,P&M Capacity market development,CS&RP renewable energy sources,CS&RP National gas security,CS&RP Capacity market development,c1,c2,u1,u2
Austria,0.3172999918460846,0.2919999957084656,0.3907000124454498,0.2128999978303909,0.3152999877929687,0.4717999994754791,0.7444999814033508,0.1289000064134597,0.1265999972820282,44.808296,54.311127,3.3464487,14.2633505
Belgium,0.2193000018596649,0.4201000034809112,0.3605999946594238,0.1093000024557113,0.4621999859809875,0.4284999966621399,0.7728999853134155,0.1133000031113624,0.1137999966740608,33.21591,23.338322,3.1290865,13.832628
Bulgaria,0.3553000092506408,0.2727000117301941,0.3720000088214874,0.0562000013887882,0.2946000099182129,0.6492000222206116,0.8853999972343445,0.0573999993503093,0.0571999996900558,79.56602,61.23883,2.5605402,15.172711
Czechia,0.3630000054836273,0.2445999979972839,0.3923999965190887,0.0718000009655952,0.7943000197410583,0.1339000016450882,0.6162999868392944,0.097300000488758,0.2863999903202057,-90.93191,-1.0756114,6.3855324,-0.4646423
Cyprus,0.2630000114440918,0.4515999853610992,0.2852999866008758,0.147499993443489,0.5924000144004822,0.2601000070571899,0.5583999752998352,0.2307000011205673,0.2108000069856643,-9.213224,-51.390022,2.4733005,12.54842
Germany,0.1579000055789947,0.7006999850273132,0.1413999944925308,0.0361000001430511,0.9067999720573424,0.0571000017225742,0.784500002861023,0.1037999987602233,0.1116999983787536,-58.19445,-141.3278,7.4223247,-0.19143416
Denmark,0.3046999871730804,0.5333999991416931,0.1618999987840652,0.1964000016450882,0.5613999962806702,0.2422000020742416,0.7073000073432922,0.1427000015974044,0.1500000059604644,5.596885,-18.482111,2.3309524,12.996167
Estonia,0.2254000008106231,0.5374000072479248,0.2372000068426132,0.1054999977350235,0.7807000279426575,0.1137999966740608,0.6202999949455261,0.2134999930858612,0.1661999970674514,-53.51942,-76.32207,8.147419,-0.54234576
Croatia,0.1518000066280365,0.6148999929428101,0.2333000004291534,0.2104000002145767,0.4212000072002411,0.3684000074863434,0.5277000069618225,0.276199996471405,0.1960999965667724,30.844303,-50.21275,2.7371657,13.72163
Finland,0.3713999986648559,0.3725000023841858,0.2560999989509582,0.1315000057220459,0.7365000247955322,0.1319999992847442,0.7319999933242798,0.101000003516674,0.1669999957084655,-56.403553,-12.606909,7.973394,-0.043308508
