country,NO&T energy poverty alleviation,NO&T natural gas transmission,NO&T Natural gas prices,NO&T Renewable energy development,NO&T EU Energy Poverty,NO&T National energy infrastructure,NO&T National Grid Development,P&M energy poverty alleviation,P&M natural gas transmission,P&M Natural gas prices,P&M Renewable energy development,P&M EU Energy Poverty,P&M National energy infrastructure,P&M National Grid Development,CS&RP energy poverty alleviation,CS&RP natural gas transmission,CS&RP Natural gas prices,CS&RP Renewable energy development,CS&RP EU Energy Poverty,CS&RP National energy infrastructure,CS&RP National Grid Development,c1,c2,u1,u2
Austria,0.1541000008583068,0.0810000002384185,0.0844999998807907,0.1370999962091446,0.2123000025749206,0.1269000023603439,0.2041999995708465,0.2797999978065491,0.0582000017166137,0.0403999984264373,0.2782000005245209,0.1460999995470047,0.1312000006437301,0.066100001335144,0.1041999980807304,0.1460999995470047,0.1492000073194503,0.1186999976634979,0.1151999980211258,0.1186000034213066,0.2479999959468841,5.2716866,-9.734334,-0.5678951,-1.245687
Belgium,0.4083000123500824,0.0357000008225441,0.050900001078844,0.1142000034451484,0.165800005197525,0.1404000073671341,0.0847000032663345,0.7098000049591064,0.0287999995052814,0.0252000000327825,0.1380999982357025,0.0270000007003545,0.0368999987840652,0.0342000015079975,0.0667999982833862,0.0812999978661537,0.1032000035047531,0.0940999984741211,0.0538999997079372,0.0597000010311603,0.5410000085830688,-1.2159402,-2.972151,15.727846,-11.78426
Bulgaria,0.0926000028848648,0.3815000057220459,0.0447000004351139,0.0522000007331371,0.2989000082015991,0.0851999968290329,0.0447999984025955,0.6621999740600586,0.0878999978303909,0.0331000015139579,0.0443000011146068,0.0750000029802322,0.0430000014603138,0.0544999986886978,0.0381000004708766,0.7109000086784363,0.0666999965906143,0.0494000017642974,0.0318999998271465,0.0381999984383583,0.064699999988079,0.3164515,9.959826,15.298729,-11.459093
Czechia,0.0324999988079071,0.0760999992489814,0.031700000166893,0.0355000011622905,0.7458000183105469,0.0375999994575977,0.0410000011324882,0.0597000010311603,0.0439000017940998,0.0272000003606081,0.0359999984502792,0.7608000040054321,0.0416000001132488,0.0307999998331069,0.0286999996751546,0.8011000156402588,0.0172000005841255,0.0410999990999698,0.0636999979615211,0.0276999995112419,0.0205000005662441,7.9640913,20.757153,0.32888606,-6.014291
Cyprus,0.0789000019431114,0.0627000033855438,0.0537000000476837,0.0641999989748001,0.0794999971985817,0.6087999939918518,0.0522999987006187,0.1879999935626983,0.0584999993443489,0.0516999997198581,0.064300000667572,0.0926999971270561,0.4930000007152557,0.0518999993801116,0.0992999970912933,0.1977999955415725,0.1553999930620193,0.1200999990105629,0.0989999994635582,0.155699998140335,0.1727000027894973,-3.6937673,-17.54415,16.422636,-11.936808
Germany,0.0588000006973743,0.0513999983668327,0.0469999983906745,0.4083000123500824,0.2134999930858612,0.119499996304512,0.1014999970793724,0.135000005364418,0.0255999993532896,0.0190999992191791,0.6191999912261963,0.0808999985456466,0.0887999981641769,0.0313999988138675,0.0948000028729438,0.152099996805191,0.1229000017046928,0.1528999954462051,0.0894000008702278,0.1006999984383583,0.287200003862381,10.276037,-6.100236,0.2089824,-7.0011477
Denmark,0.063400000333786,0.0599999986588954,0.0549000017344951,0.1273999959230423,0.2133000046014785,0.2578999996185303,0.2231000065803527,0.2301999926567077,0.0452999994158744,0.063799999654293,0.093699999153614,0.1106000021100044,0.3582000136375427,0.0982000008225441,0.0507999993860721,0.1777999997138977,0.1247000023722648,0.068400003015995,0.0579999983310699,0.0733999982476234,0.4467999935150146,-2.9747741,-11.340929,16.130993,-11.819096
Estonia,0.0785000026226043,0.0397999994456768,0.4517000019550323,0.0582999996840953,0.2065999954938888,0.1127000004053115,0.0524999983608722,0.1775999963283538,0.0505999997258186,0.2583000063896179,0.1137999966740608,0.1829999983310699,0.1777999997138977,0.0388999991118907,0.0293000005185604,0.1974000036716461,0.6159999966621399,0.0366000011563301,0.0307000000029802,0.0370000004768371,0.0529000014066696,10.074506,-22.80051,0.58297855,-7.343495
Croatia,0.0917000025510788,0.1764000058174133,0.0617999993264675,0.0830999985337257,0.3373999893665313,0.1856999993324279,0.0639000013470649,0.3882000148296356,0.0885000005364418,0.0502999983727932,0.0666999965906143,0.1191999986767768,0.2344000041484832,0.0527999997138977,0.0395999997854232,0.6581000089645386,0.0560999996960163,0.0608999989926815,0.0447999984025955,0.0493000000715255,0.0913000032305717,4.661741,10.901982,-0.30505586,-0.66423213
Finland,0.0750999972224235,0.0540999993681907,0.3257000148296356,0.0636000037193298,0.2576000094413757,0.1272000074386596,0.0966999977827072,0.1845999956130981,0.066100001335144,0.18019999563694,0.0768000036478042,0.2195000052452087,0.2134999930858612,0.0592000000178813,0.0568000003695488,0.2016000002622604,0.3707999885082245,0.0772999972105026,0.0586000010371208,0.0680999979376792,0.1668000072240829,6.331185,-19.758402,-0.5682514,-2.0100374
