,word,topic_id,importance,word_count
0,climate,0,0.02089053,2408
90,energy efficiency,3,0.018422632,2469
30,energy efficiency,1,0.015163915,2469
150,target,5,0.013577033,1662
31,sector,1,0.013567751,2003
151,development,5,0.012420616,1820
91,development,3,0.012317632,1820
92,measure,3,0.012025351,2374
152,eu,5,0.011929337,1437
93,gas,3,0.01147728,1558
32,electricity,1,0.011040256,2338
120,measure,4,0.011034565,2374
60,sector,2,0.010534774,2003
153,policy,5,0.010488227,1928
121,energy efficiency,4,0.010379262,2469
122,climate,4,0.010364059,2408
154,measure,5,0.010322524,2374
33,system,1,0.01029686,1539
1,electricity,0,0.0102369785,2338
123,electricity,4,0.010234313,2338
94,market,3,0.010144206,1752
2,policy,0,0.009941851,1928
34,measure,1,0.009612662,2374
95,system,3,0.009387029,1539
96,electricity,3,0.009020289,2338
3,market,0,0.008912041,1752
124,austria,4,0.008900705,320
61,renewable,2,0.0088299615,1834
62,measure,2,0.008623226,2374
125,renewable,4,0.008564115,1834
63,electricity,2,0.00849217,2338
4,cooperation,0,0.008392502,837
35,renewable,1,0.00816978,1834
36,objective,1,0.008074133,884
5,government,0,0.008023963,771
126,gas,4,0.007826779,1558
97,project,3,0.007762997,1015
155,source,5,0.007696311,949
64,policy,2,0.0075549805,1928
37,development,1,0.0074780365,1820
156,include,5,0.0074721538,1324
38,efficiency,1,0.007374343,1105
39,market,1,0.0073494283,1752
98,sector,3,0.0073203347,2003
6,renewable,0,0.007253851,1834
40,res,1,0.007117902,718
99,efficiency,3,0.0070421295,1105
157,energy efficiency,5,0.0070316894,2469
127,sector,4,0.0069465768,2003
41,gas,1,0.0069273966,1558
158,increase,5,0.0068718335,1355
65,target,2,0.0068610944,1662
159,climate,5,0.006780002,2408
160,consumption,5,0.006738236,1213
161,czech republic,5,0.006693522,303
100,renewable,3,0.0066859345,1834
101,natural gas,3,0.006667059,750
162,sector,5,0.006645452,2003
7,work,0,0.0065939086,576
66,supply,2,0.0065775462,958
8,agreement,0,0.0065682344,440
128,integrated national energy,4,0.0065661,600
163,emission,5,0.006547286,1328
102,emission,3,0.006519795,1328
103,consumption,3,0.0065177185,1213
164,res,5,0.0065022428,718
9,project,0,0.0064835483,1015
67,consumption,2,0.0064447024,1213
10,country,0,0.00641441,775
129,market,4,0.0063719978,1752
104,use,3,0.0063660103,1171
165,electricity,5,0.0063337428,2338
130,increase,4,0.006316455,1355
166,level,5,0.0062964093,967
105,increase,3,0.0062494692,1355
42,transport,1,0.0062465346,1045
43,climate,1,0.006239535,2408
44,policy,1,0.0062390864,1928
11,climate policy,0,0.0061940798,516
131,support,4,0.0061217826,1003
68,emission,2,0.006098212,1328
106,source,3,0.0060258727,949
45,promote,1,0.0060087265,627
107,implementation,3,0.005999611,789
132,system,4,0.0059982343,1539
108,building,3,0.0059194793,665
133,area,4,0.005874983,815
134,european,4,0.005775358,981
69,necp,2,0.0057127667,654
167,draft,5,0.005690143,625
135,target,4,0.005677317,1662
168,republic,5,0.0056754234,408
70,climate,2,0.0056480463,2408
12,eu,0,0.0055668135,1437
46,use,1,0.0055456064,1171
169,document,5,0.0055304086,400
13,support,0,0.0055248863,1003
14,measure,0,0.0054977364,2374
15,regional,0,0.005462395,813
47,include,1,0.0053935754,1324
109,climate,3,0.00538135,2408
110,policy,3,0.005380346,1928
111,strategy,3,0.0053778887,977
136,provide,4,0.005285447,700
137,eu,4,0.005259309,1437
112,eu,3,0.0052264147,1437
170,market,5,0.0051819175,1752
16,wind,0,0.005147699,374
113,transport,3,0.005123759,1045
114,period,3,0.005065249,590
115,act,3,0.0050624614,472
48,new,1,0.0050511197,910
71,gas,2,0.0050461227,1558
116,infrastructure,3,0.0049893064,702
171,share,5,0.0049582752,651
17,include,0,0.0049570478,1324
49,transport sector,1,0.0049520107,411
72,ensure,2,0.004930199,761
73,reduce,2,0.0048861294,711
172,ministry,5,0.0048757684,617
117,target,3,0.0048741503,1662
138,emission,4,0.0048453216,1328
74,transition,2,0.004804775,537
139,policy,4,0.0047953846,1928
173,use,5,0.0047607035,1171
75,energy efficiency,2,0.0047598747,2469
76,system,2,0.004755952,1539
77,set,2,0.0047309804,849
78,use,2,0.0047286334,1171
79,level,2,0.0047221635,967
140,development,4,0.0046926932,1820
118,public,3,0.004680315,846
174,strategy,5,0.0046693655,977
119,include,3,0.00464051,1324
175,production,5,0.0046227206,691
50,consumption,1,0.004590113,1213
51,integrated national energy,1,0.004589361,600
141,necp,4,0.0045735794,654
176,policy measure,5,0.004553619,825
80,aim,2,0.004544791,605
18,develop,0,0.004533417,752
52,emission,1,0.004519475,1328
53,increase,1,0.00450987,1355
142,strategy,4,0.0044937017,977
143,level,4,0.0044554714,967
177,transport,5,0.004445724,1045
19,nordic,0,0.004432509,221
144,efficiency,4,0.004390491,1105
54,technology,1,0.0043864786,483
55,public,1,0.00437758,846
178,objective,5,0.0043771043,884
179,czech,5,0.004374566,198
20,offshore,0,0.0043658963,252
145,objective,4,0.0043610027,884
21,target,0,0.004299008,1662
81,carbon,2,0.0042979266,404
22,increase,0,0.004289702,1355
23,supply,0,0.0042872215,958
82,include,2,0.0042824727,1324
24,new,0,0.0042483704,910
25,energy efficiency,0,0.0042473967,2469
56,establish,1,0.004239743,533
146,transport,4,0.00423882,1045
147,tax,4,0.004227253,232
148,include,4,0.0041969176,1324
149,decarbonisation,4,0.0041806772,503
83,regional,2,0.0041639125,813
57,european,1,0.0041628005,981
58,security,1,0.004144481,803
84,promote,2,0.0041405307,627
59,action,1,0.0041239355,607
85,increase,2,0.004123868,1355
86,process,2,0.0040917736,612
26,transition,0,0.004083399,537
87,base,2,0.004080046,617
27,gas,0,0.0040645166,1558
88,country,2,0.0039873207,775
28,european,0,0.0039312514,981
89,new,2,0.003931041,910
29,energy climate plan,0,0.003885002,582
