,word,topic_id,importance,word_count
90,national,3,0.024950163,1573
120,electricity,4,0.024538564,1322
121,price,4,0.020544577,930
30,support,1,0.015916351,1426
122,gas,4,0.014062944,775
60,system,2,0.013816542,1479
31,project,1,0.0136148045,1327
61,climate,2,0.0131752305,1068
32,research innovation,1,0.01284335,861
0,sector,0,0.012779788,1522
1,increase,0,0.011847337,898
91,sector,3,0.010286569,1522
92,fund,3,0.010118674,812
33,plan,1,0.009954275,1191
62,plan,2,0.009889089,1191
63,programme,2,0.009677996,1047
123,total,4,0.0096768765,606
2,investment,0,0.009502721,811
64,new,2,0.009433344,1050
124,tax,4,0.009325543,369
34,develop,1,0.009225623,774
125,fuel,4,0.008948902,645
3,power,0,0.008909958,448
126,subsidy,4,0.008777789,346
93,plan,3,0.008678715,1191
35,system,1,0.008576827,1479
127,cost,4,0.008394371,629
128,source,4,0.008393185,745
4,source,0,0.008372493,745
129,sector,4,0.008304089,1522
36,policy,1,0.008238905,777
130,natural gas,4,0.008159297,387
131,support,4,0.008085273,1426
5,use,0,0.008023793,1035
132,low,4,0.007965791,679
65,area,2,0.007947035,1120
37,area,1,0.007869116,1120
6,national,0,0.0077997493,1573
94,target,3,0.0076888395,728
7,area,0,0.007680723,1120
95,objective,3,0.007571314,717
38,transition,1,0.007468568,512
96,new,3,0.007456582,1050
97,project,3,0.0074374275,1327
66,national,2,0.0074279094,1573
39,climate,1,0.0074092005,1068
98,investment,3,0.007287652,811
99,competitiveness,3,0.0072593936,599
100,measure,3,0.007246011,781
133,renewable,4,0.007235489,966
134,include,4,0.007214852,1032
40,business,1,0.0071866075,575
41,european,1,0.007175859,734
135,table,4,0.007148012,359
42,programme,1,0.0071112234,1047
8,renewable,0,0.007010714,966
43,set,1,0.007000285,801
101,set,3,0.0069745444,801
136,high,4,0.0069704237,541
9,fuel,0,0.006950877,645
67,sector,2,0.006906802,1522
44,measure,1,0.006810558,781
102,energy efficiency,3,0.0066322815,690
45,new,1,0.0065587857,1050
103,support,3,0.006515045,1426
10,electricity,0,0.006472556,1322
68,renewable,2,0.0063824276,966
137,household,4,0.0062950924,239
69,funding,2,0.0062625445,569
46,competitiveness,1,0.006237952,599
104,include,3,0.0062283147,1032
70,set,2,0.0062186816,801
71,project,2,0.0062080645,1327
105,strategy,3,0.0062009827,506
106,public,3,0.00615453,650
47,national,1,0.0061395145,1573
107,relate,3,0.006131116,583
11,price,0,0.006054494,930
48,cooperation,1,0.0060153906,436
12,project,0,0.0060098697,1327
72,use,2,0.005924151,1035
73,process,2,0.005897264,486
74,develop,2,0.0058971755,774
13,system,0,0.00586515,1479
138,supply,4,0.005834225,393
14,include,0,0.0057508904,1032
49,promote,1,0.0057175527,564
50,use,1,0.0057124184,1035
51,priority,1,0.00566374,489
75,initiative,2,0.005659425,319
108,production,3,0.005652307,689
76,industry,2,0.005646671,697
109,company,3,0.005634934,468
15,poland,0,0.0055803135,197
52,innovative,1,0.0054993066,448
77,european,2,0.0054741036,734
139,fossil fuel,4,0.0054733385,279
16,programme,0,0.00546352,1047
110,integrated national energy,3,0.005456447,399
111,year,3,0.0054100445,536
112,increase,3,0.0054039657,898
78,focus,2,0.0054023126,454
79,policy,2,0.005395845,777
113,research innovation,3,0.0053838617,861
80,storage,2,0.0053822505,664
17,gas,0,0.005331095,775
140,system,4,0.0053302916,1479
141,state,4,0.0052643283,378
18,generation,0,0.005243053,341
114,use,3,0.0052165394,1035
142,act,4,0.0052066767,270
19,cost,0,0.0051946314,629
81,objective,2,0.0051871785,717
53,sector,1,0.0051732506,1522
20,total,0,0.0051185107,606
82,market,2,0.005083737,711
83,include,2,0.0050675725,1032
115,system,3,0.0050185057,1479
54,action,1,0.0049394965,403
55,objective,1,0.0049379556,717
21,support,0,0.0049265823,1426
143,consumption,4,0.004915064,365
56,budget,1,0.004906251,326
84,implementation,2,0.004881456,525
22,year,0,0.0048764916,536
57,sustainable,1,0.0048279166,413
116,carbon,3,0.004822562,573
58,aim,1,0.004801596,455
23,eu,0,0.004776762,553
59,include,1,0.0047737234,1032
144,duty,4,0.0047498797,179
85,target,2,0.0047363476,728
24,research development,0,0.004734053,528
25,market,0,0.0047146827,711
86,solution,2,0.004668135,460
26,nuclear,0,0.0046292637,304
145,current,4,0.004617927,342
27,low,0,0.0046169264,679
117,period,3,0.0046074796,384
146,oil,4,0.004595821,195
28,figure,0,0.004589984,287
87,promote,2,0.0045822044,564
147,number,4,0.004481821,354
29,high,0,0.004448927,541
148,excise,4,0.0043020337,158
118,climate,3,0.0042809104,1068
119,economy,3,0.004278796,442
149,service,4,0.0042142486,393
88,measure,2,0.004203884,781
89,transition,2,0.0041969055,512
