country,c1,c2,u1,u2
Finland,-3.7785428,2.5779142,11.745153,3.3197103
Cyprus,-3.3067026,2.1092896,11.689389,3.926467
Romania,-3.7317832,-1.8176216,8.854637,3.0989335
Hungary,-0.91359377,-0.4412426,7.9900947,4.805855
Croatia,-0.31616324,-2.8880675,7.7713447,3.545576
Ireland,-1.0698533,-1.473239,7.8411865,4.365537
Belgium,-4.3369026,-1.9368922,9.171871,2.781363
Lithuania,-2.005821,0.9593262,10.17865,4.614041
Denmark,-4.6236696,2.0968895,11.406399,2.9230213
Spain,-2.6636682,0.3343756,9.544218,4.810626
Slovakia,-2.7999654,2.9810627,11.343493,3.7193668
Greece,-4.8309956,-0.10671496,9.708541,3.6383882
Malta,-4.222771,3.568208,11.545651,4.347439
Germany,0.98123246,-0.583661,7.175255,4.101252
Austria,-2.3125074,2.1030583,10.925162,4.310477
Luxembourg,-1.7620418,-0.83521444,8.433578,4.397257
France,-3.1853921,-0.32931173,9.279144,4.214088
Estonia,-6.1438093,0.5102208,10.3877945,3.2064617
Italy,0.12049255,-1.9041771,7.503886,4.099834
Sweden,-2.0220442,-0.41247877,8.702831,4.842252
Slovenia,-2.9988222,-0.9026925,8.908789,3.832358
