country,Research Gap Energy,Energy Gap Benefits,Digital Gap Benefits,Digital Transformation Benefits,Innovation Impact Benefits
Finland,0.2003999948501587,0.2037999927997589,0.19750000536441803,0.19769999384880066,0.20059999823570251
Cyprus,0.19990000128746033,0.20180000364780426,0.1988999992609024,0.19850000739097595,0.20090000331401825
Romania,0.19699999690055847,0.19820000231266022,0.19910000264644623,0.20100000500679016,0.20469999313354492
Hungary,0.20000000298023224,0.19660000503063202,0.20250000059604645,0.20170000195503235,0.19920000433921814
Croatia,0.20329999923706055,0.19740000367164612,0.1956000030040741,0.2054000049829483,0.19830000400543213
Ireland,0.20180000364780426,0.195700004696846,0.20059999823570251,0.20029999315738678,0.20160000026226044
Belgium,0.19789999723434448,0.1987999975681305,0.19580000638961792,0.20340000092983246,0.20409999787807465
Lithuania,0.1995999962091446,0.20090000331401825,0.20149999856948853,0.20020000636577606,0.19779999554157257
Denmark,0.2020999938249588,0.20309999585151672,0.19480000436306,0.20069999992847443,0.19920000433921814
Spain,0.1981000006198883,0.20010000467300415,0.20149999856948853,0.20029999315738678,0.20000000298023224
Slovakia,0.20309999585151672,0.2012999951839447,0.1987999975681305,0.19629999995231628,0.2003999948501587
Greece,0.19499999284744263,0.20309999585151672,0.19920000433921814,0.20360000431537628,0.19910000264644623
Malta,0.19750000536441803,0.2029999941587448,0.1987999975681305,0.19609999656677246,0.20469999313354492
Germany,0.21979999542236328,0.18449999392032623,0.23260000348091125,0.18330000340938568,0.17980000376701355
Austria,0.20010000467300415,0.20260000228881836,0.2012999951839447,0.1972000002861023,0.1987999975681305
Luxembourg,0.19990000128746033,0.19760000705718994,0.20149999856948853,0.20020000636577606,0.20069999992847443
France,0.19869999587535858,0.1995999962091446,0.19949999451637268,0.20149999856948853,0.20059999823570251
Estonia,0.1875,0.21459999680519104,0.18880000710487366,0.2037000060081482,0.2053000032901764
Italy,0.2061000019311905,0.19470000267028809,0.19979999959468842,0.2013999968767166,0.1979999989271164
Sweden,0.19979999959468842,0.19830000400543213,0.20090000331401825,0.20059999823570251,0.2003999948501587
Slovenia,0.1979999989271164,0.19869999587535858,0.20020000636577606,0.20229999721050262,0.20080000162124634
