,word,topic_id,importance,word_count
10,plan total allocation,1,0.008268611,45
30,digital transformation,3,0.0073782415,45
11,rrp,1,0.006893395,39
0,research innovation,0,0.0067384713,45
12,digital transformation,1,0.0066352827,45
1,gap,0,0.0065355953,42
2,energy efficiency,0,0.006519222,42
40,plan total allocation,4,0.0065000234,45
31,plan total allocation,3,0.006293694,45
13,research innovation,1,0.006069645,45
20,number,2,0.006005338,36
41,research innovation,4,0.005881175,45
42,energy efficiency,4,0.0058785933,42
3,estimate total cost,0,0.005857929,39
43,rrp,4,0.0058153104,39
32,gap,3,0.0057623535,42
14,economic growth,1,0.0057554883,30
33,rrp,3,0.005579002,39
21,digital transformation,2,0.00555784,45
22,progress,2,0.005557029,32
34,energy efficiency,3,0.005524464,42
35,digitalisation public administration,3,0.0055035753,36
44,justice,4,0.005462377,33
23,research innovation,2,0.0053777755,45
24,improvement,2,0.0053765406,34
45,technology,4,0.0053313626,35
15,benefit,1,0.005311272,38
36,social cohesion,3,0.005259172,33
25,estimate total cost,2,0.0052540237,39
46,digital transformation,4,0.0052031763,45
47,digitalisation public administration,4,0.005147192,36
16,health system,1,0.005078154,36
48,gap,4,0.005077445,42
4,number,0,0.0050570937,36
37,benefit,3,0.005043191,38
38,health system,3,0.005012333,36
17,energy efficiency,1,0.004989792,42
18,number,1,0.0049876035,36
19,estimate total cost,1,0.004975385,39
39,research innovation,3,0.0049538533,45
49,benefit,4,0.0049408134,38
5,impact costing control systems,0,0.004931596,27
6,sme,0,0.004899659,35
7,digital infrastructure,0,0.0048995856,30
8,education skill,0,0.004891791,36
26,gap,2,0.0048374278,42
9,digitalisation public administration,0,0.0048223464,36
27,benefit,2,0.004806184,38
28,health system,2,0.004803022,36
29,digital objective,2,0.0046431855,30
