country,c1,c2,u1,u2
Finland,25.127386,-3.3116183,6.8228607,18.505932
Cyprus,-15.8259,-57.81846,0.8070047,17.766111
Hungary,-17.37537,34.35535,4.568293,16.641302
Croatia,-6.998462,-6.0086546,4.171251,18.398512
Ireland,-15.275075,5.9087973,6.2634373,17.860693
Belgium,14.192817,-18.676022,5.06965,18.599396
Lithuania,-7.6794305,-28.210081,2.041686,18.421888
Denmark,5.731709,-6.4533796,5.581032,18.351118
Spain,33.66324,-9.898927,6.338114,18.93444
Slovakia,-6.32078,36.52062,4.8994155,16.643114
Greece,-23.21814,-47.394573,0.88530356,18.33398
Malta,-10.277051,-46.831215,1.3014698,18.017044
Germany,37.62944,5.4673867,6.354822,18.539434
Austria,19.937407,20.08184,3.4727092,18.269201
Luxembourg,13.053194,1.6630151,5.706435,17.904064
France,-6.575811,16.571,5.2176037,17.343891
Estonia,9.803239,14.4175,4.015766,17.870474
Italy,-16.300318,-35.923954,1.3890629,18.437973
Sweden,-1.409588,5.0034084,4.924022,17.82596
Slovenia,2.4464114,25.914186,4.2946334,17.313326
