,word,topic_id,importance,word_count
20,rrp,2,0.015571161,149
0,rrp,0,0.012929644,149
30,rrp,3,0.012672035,149
10,rrp,1,0.012034197,149
31,policy area,3,0.008724136,81
21,policy area,2,0.007685192,81
22,eu average,2,0.007590923,60
11,policy area,1,0.007200403,81
12,public sector,1,0.0059527988,57
13,eur million,1,0.0058149802,54
32,eur million,3,0.0057637757,54
14,renewable energy,1,0.0054801423,54
1,policy area,0,0.0054796766,81
23,cohesion policy,2,0.0053687966,51
33,eu average,3,0.0052148015,60
2,health system,0,0.0051087444,54
15,health system,1,0.005082862,54
24,public sector,2,0.004964119,57
25,health system,2,0.0049173883,54
3,public sector,0,0.0048926147,57
4,renewable energy,0,0.004837263,54
26,gender equality,2,0.0048362873,48
34,gender equality,3,0.004801797,48
35,public sector,3,0.004753355,57
5,communication strategy,0,0.004740405,48
27,renewable energy,2,0.0047375793,54
28,implementation phase,2,0.0046924828,42
36,research innovation,3,0.004664801,48
16,cohesion policy,1,0.0046507386,51
37,ministry finance,3,0.0046377336,48
6,cohesion policy,0,0.0045547173,51
38,renewable energy,3,0.0044446825,54
17,eu average,1,0.0044392846,60
7,eu average,0,0.0043999413,60
39,health system,3,0.00439264,54
8,research innovation,0,0.00438681,48
9,eur million,0,0.0043538637,54
29,ministry finance,2,0.0042608017,48
18,seek,1,0.004232501,38
19,equal opportunity,1,0.00422839,42
